round,alpha,seed,noise_mode,noise_ratio,avg_loss,aggregated_delta_norm,aggregated_model_hash,pre_mrr,pre_recall_at_k,pre_ndcg_at_k,post_mrr,post_recall_at_k,post_ndcg_at_k,client_0_loss,client_0_num_examples,client_0_quality_score,client_0_size_weight,client_0_weight,client_0_delta_norm,client_0_loss_source,client_0_loss_stage,client_1_loss,client_1_num_examples,client_1_quality_score,client_1_size_weight,client_1_weight,client_1_delta_norm,client_1_loss_source,client_1_loss_stage,client_2_loss,client_2_num_examples,client_2_quality_score,client_2_size_weight,client_2_weight,client_2_delta_norm,client_2_loss_source,client_2_loss_stage
1,0.7,42,shuffle,0.70,0.000701,0.244919,7d6b290c08b8f77067812eb81a59f1af,0.049476,0.096667,0.060667,0.049734,0.100000,0.061410,0.000685,502,0.340858,0.334667,0.338753,0.266201,lsr_training_loss,post_local_training,0.000730,503,0.319564,0.335333,0.324926,0.261072,lsr_training_loss,post_local_training,0.000687,495,0.339578,0.330000,0.336321,0.256115,lsr_training_loss,post_local_training
2,0.7,42,shuffle,0.70,0.000342,0.284268,9a66237bb20d98c97b164f9523801e46,0.049476,0.096667,0.060667,0.011865,0.036667,0.017713,0.000323,502,0.352623,0.334667,0.346518,0.292578,lsr_training_loss,post_local_training,0.000355,503,0.321163,0.335333,0.325981,0.294959,lsr_training_loss,post_local_training,0.000349,495,0.326214,0.330000,0.327501,0.300277,lsr_training_loss,post_local_training
3,0.7,42,shuffle,0.70,0.000142,0.258535,de39b21f323108f568b17d011e35919e,0.049476,0.096667,0.060667,0.000952,0.006667,0.002222,0.000136,502,0.347284,0.334667,0.342994,0.268264,lsr_training_loss,post_local_training,0.000146,503,0.321669,0.335333,0.326315,0.262752,lsr_training_loss,post_local_training,0.000142,495,0.331047,0.330000,0.330691,0.271606,lsr_training_loss,post_local_training
4,0.7,42,shuffle,0.70,0.000060,0.261026,3865d5fa63a46c755a5e78a4201e2207,0.049476,0.096667,0.060667,0.000000,0.000000,0.000000,0.000054,502,0.368348,0.334667,0.356896,0.244204,lsr_training_loss,post_local_training,0.000064,503,0.313175,0.335333,0.320709,0.278356,lsr_training_loss,post_local_training,0.000062,495,0.318477,0.330000,0.322395,0.294476,lsr_training_loss,post_local_training
5,0.7,42,shuffle,0.70,0.000030,0.232867,fa04cbba3a9122637493695932c86acf,0.049476,0.096667,0.060667,0.000000,0.000000,0.000000,0.000029,502,0.349382,0.334667,0.344379,0.235534,lsr_training_loss,post_local_training,0.000030,503,0.337804,0.335333,0.336964,0.238345,lsr_training_loss,post_local_training,0.000032,495,0.312815,0.330000,0.318658,0.251068,lsr_training_loss,post_local_training
6,0.7,42,shuffle,0.70,0.000023,0.220233,8c26df575a26f94cb0e239bdcbcae250,0.049476,0.096667,0.060667,0.000000,0.000000,0.000000,0.000022,502,0.353680,0.334667,0.347216,0.227746,lsr_training_loss,post_local_training,0.000024,503,0.318487,0.335333,0.324215,0.230813,lsr_training_loss,post_local_training,0.000024,495,0.327833,0.330000,0.328570,0.233596,lsr_training_loss,post_local_training
7,0.7,42,shuffle,0.70,0.000012,0.154246,974d66d60d5aa8a0717e3abdb52622be,0.049476,0.096667,0.060667,0.000000,0.000000,0.000000,0.000011,502,0.347722,0.334667,0.343283,0.162544,lsr_training_loss,post_local_training,0.000014,503,0.291583,0.335333,0.306458,0.177879,lsr_training_loss,post_local_training,0.000011,495,0.360695,0.330000,0.350259,0.160319,lsr_training_loss,post_local_training
8,0.7,42,shuffle,0.70,0.000008,0.136116,bce10eb22e530153eb3f0c32f444d252,0.049476,0.096667,0.060667,0.000000,0.000000,0.000000,0.000007,502,0.334813,0.334667,0.334763,0.145430,lsr_training_loss,post_local_training,0.000008,503,0.313059,0.335333,0.320632,0.144959,lsr_training_loss,post_local_training,0.000007,495,0.352128,0.330000,0.344604,0.143371,lsr_training_loss,post_local_training
