round,seed,target_dataset,avg_loss,aggregated_delta_norm,aggregated_model_hash,num_selected,num_total,best_round_so_far,selected_best_round,pre_server_val_mrr,pre_server_val_recall_at_k,pre_server_val_ndcg_at_k,pre_final_test_mrr,pre_final_test_recall_at_k,pre_final_test_ndcg_at_k,server_val_mrr,server_val_recall_at_k,server_val_ndcg_at_k,final_test_mrr,final_test_recall_at_k,final_test_ndcg_at_k,client_0_domain,client_0_relevance,client_0_selected,client_0_loss,client_0_num_examples,client_0_domain_weight,client_0_delta_norm,client_1_domain,client_1_relevance,client_1_selected,client_1_loss,client_1_num_examples,client_1_domain_weight,client_1_delta_norm,client_2_domain,client_2_relevance,client_2_selected,client_2_loss,client_2_num_examples,client_2_domain_weight,client_2_delta_norm,client_3_domain,client_3_relevance,client_3_selected,client_3_loss,client_3_num_examples,client_3_domain_weight,client_3_delta_norm,client_4_domain,client_4_relevance,client_4_selected,client_4_loss,client_4_num_examples,client_4_domain_weight,client_4_delta_norm
1,42,nfcorpus,1.748542,0.024886,157002544382a37b0dd2ad5850cc8d32,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022200,0.057500,0.030264,0.027088,0.078000,0.038718,medical,1.0000,1,2.307486,4000,0.538929,0.046234,science,0.4791,1,0.171335,239,0.258191,0.006383,finance,0.0130,1,0.280316,168,0.007004,0.005092,argument,0.0422,1,0.127714,981,0.022748,0.013822,biomedical,0.3212,1,1.529433,101,0.173128,0.004320
2,42,nfcorpus,1.710771,0.023898,7cc71abb9c984aad955d16a72c924998,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021957,0.057500,0.030042,0.027088,0.078000,0.038718,medical,1.0000,1,2.255659,4000,0.538929,0.044429,science,0.4791,1,0.171699,239,0.258191,0.006405,finance,0.0130,1,0.279423,168,0.007004,0.005090,argument,0.0422,1,0.128328,981,0.022748,0.013917,biomedical,0.3212,1,1.523921,101,0.173128,0.004316
3,42,nfcorpus,1.676811,0.022984,ffabaa9a827d9baeff88d53755ec3ca5,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.027088,0.078000,0.038718,medical,1.0000,1,2.209046,4000,0.538929,0.042762,science,0.4791,1,0.172209,239,0.258191,0.006431,finance,0.0130,1,0.278736,168,0.007004,0.005089,argument,0.0422,1,0.128969,981,0.022748,0.014016,biomedical,0.3212,1,1.518100,101,0.173128,0.004311
4,42,nfcorpus,1.646132,0.022149,0bad509d41a818bdd559549fd189c104,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.027088,0.078000,0.038718,medical,1.0000,1,2.166921,4000,0.538929,0.041238,science,0.4791,1,0.172847,239,0.258191,0.006458,finance,0.0130,1,0.278240,168,0.007004,0.005088,argument,0.0422,1,0.129633,981,0.022748,0.014118,biomedical,0.3212,1,1.512019,101,0.173128,0.004308
5,42,nfcorpus,1.618283,0.021390,1a5640570d92eb90148a2d3f0d1f4d00,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.027088,0.078000,0.038718,medical,1.0000,1,2.128664,4000,0.538929,0.039854,science,0.4791,1,0.173596,239,0.258191,0.006488,finance,0.0130,1,0.277916,168,0.007004,0.005087,argument,0.0422,1,0.130317,981,0.022748,0.014223,biomedical,0.3212,1,1.505734,101,0.173128,0.004305
6,42,nfcorpus,1.592882,0.020703,f74694684464e31a2c2e5a037e4de04e,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.027088,0.078000,0.038718,medical,1.0000,1,2.093755,4000,0.538929,0.038599,science,0.4791,1,0.174441,239,0.258191,0.006519,finance,0.0130,1,0.277748,168,0.007004,0.005086,argument,0.0422,1,0.131015,981,0.022748,0.014330,biomedical,0.3212,1,1.499305,101,0.173128,0.004302
7,42,nfcorpus,1.569614,0.020079,80177be4e5b9257ed76d7d9abd6c40e5,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.027088,0.078000,0.038718,medical,1.0000,1,2.061763,4000,0.538929,0.037461,science,0.4791,1,0.175367,239,0.258191,0.006552,finance,0.0130,1,0.277717,168,0.007004,0.005086,argument,0.0422,1,0.131723,981,0.022748,0.014440,biomedical,0.3212,1,1.492792,101,0.173128,0.004301
8,42,nfcorpus,1.548220,0.019511,16d352c9c9b55f9bc7d26c44e18ce6f5,5,5,8,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022207,0.060000,0.030765,0.027088,0.078000,0.038718,medical,1.0000,1,2.032332,4000,0.538929,0.036423,science,0.4791,1,0.176359,239,0.258191,0.006584,finance,0.0130,1,0.277807,168,0.007004,0.005086,argument,0.0422,1,0.132435,981,0.022748,0.014552,biomedical,0.3212,1,1.486258,101,0.173128,0.004299
