round,alpha,seed,noise_mode,noise_ratio,avg_loss,avg_train_loss,aggregated_delta_norm,aggregated_model_hash,pre_mrr,pre_recall_at_k,pre_ndcg_at_k,pre_probe_mrr,pre_probe_recall_at_k,pre_probe_ndcg_at_k,post_mrr,post_recall_at_k,post_ndcg_at_k,client_0_loss,client_0_train_loss,client_0_num_examples,client_0_quality_score,client_0_quality_metric_name,client_0_quality_metric_value,client_0_size_weight,client_0_weight,client_0_delta_norm,client_0_probe_size,client_0_probe_mrr,client_0_probe_recall_at_k,client_0_probe_ndcg_at_k,client_0_loss_source,client_0_loss_stage,client_1_loss,client_1_train_loss,client_1_num_examples,client_1_quality_score,client_1_quality_metric_name,client_1_quality_metric_value,client_1_size_weight,client_1_weight,client_1_delta_norm,client_1_probe_size,client_1_probe_mrr,client_1_probe_recall_at_k,client_1_probe_ndcg_at_k,client_1_loss_source,client_1_loss_stage,client_2_loss,client_2_train_loss,client_2_num_examples,client_2_quality_score,client_2_quality_metric_name,client_2_quality_metric_value,client_2_size_weight,client_2_weight,client_2_delta_norm,client_2_probe_size,client_2_probe_mrr,client_2_probe_recall_at_k,client_2_probe_ndcg_at_k,client_2_loss_source,client_2_loss_stage
1,0.0,42,hard_negative,0.80,3.914994,0.001098,0.046865,71369224950ea92f798d329cd34a8dc9,0.052878,0.116667,0.067838,0.015393,0.043333,0.021894,0.053536,0.120000,0.069080,3.679737,0.001051,360,0.353290,log_mean_mrr_ndcg_holdout,0.025230,0.300000,0.300000,0.046835,90,0.021204,0.055556,0.029255,client_clean_holdout_retrieval,post_local_training_clean_holdout,4.054762,0.001299,360,0.320614,log_mean_mrr_ndcg_holdout,0.017340,0.300000,0.300000,0.049110,90,0.013624,0.044444,0.021055,client_clean_holdout_retrieval,post_local_training_clean_holdout,3.986610,0.000982,480,0.326095,log_mean_mrr_ndcg_holdout,0.018563,0.400000,0.400000,0.060281,120,0.015648,0.041667,0.021477,client_clean_holdout_retrieval,post_local_training_clean_holdout
2,0.0,42,hard_negative,0.80,3.882497,0.000941,0.046437,986e0b496b3ae99a1756320f3ac54e83,0.052878,0.116667,0.067838,0.015393,0.043333,0.021894,0.055489,0.120000,0.070538,3.679737,0.000909,360,0.350541,log_mean_mrr_ndcg_holdout,0.025230,0.300000,0.300000,0.046216,90,0.021204,0.055556,0.029255,client_clean_holdout_retrieval,post_local_training_clean_holdout,3.992850,0.001123,360,0.323052,log_mean_mrr_ndcg_holdout,0.018447,0.300000,0.300000,0.049244,90,0.014815,0.044444,0.022079,client_clean_holdout_retrieval,post_local_training_clean_holdout,3.951801,0.000829,480,0.326408,log_mean_mrr_ndcg_holdout,0.019220,0.400000,0.400000,0.059466,120,0.016343,0.041667,0.022098,client_clean_holdout_retrieval,post_local_training_clean_holdout
3,0.0,42,hard_negative,0.80,3.869474,0.000807,0.045517,98d88b61a2980b4e7d742cfc20d0d635,0.052878,0.116667,0.067838,0.015393,0.043333,0.021894,0.057361,0.120000,0.071945,3.679737,0.000787,360,0.349593,log_mean_mrr_ndcg_holdout,0.025230,0.300000,0.300000,0.045603,90,0.021204,0.055556,0.029255,client_clean_holdout_retrieval,post_local_training_clean_holdout,3.992850,0.000971,360,0.322178,log_mean_mrr_ndcg_holdout,0.018447,0.300000,0.300000,0.048749,90,0.014815,0.044444,0.022079,client_clean_holdout_retrieval,post_local_training_clean_holdout,3.919243,0.000699,480,0.328229,log_mean_mrr_ndcg_holdout,0.019856,0.400000,0.400000,0.058442,120,0.017037,0.041667,0.022675,client_clean_holdout_retrieval,post_local_training_clean_holdout
4,0.0,42,hard_negative,0.80,3.951032,0.000695,0.044620,88121451dbe9ee36c9947e94816d9cbe,0.052878,0.116667,0.067838,0.015393,0.043333,0.021894,0.057836,0.120000,0.072326,3.700614,0.000680,360,0.353637,log_mean_mrr_ndcg_holdout,0.024708,0.300000,0.300000,0.045546,90,0.020648,0.055556,0.028769,client_clean_holdout_retrieval,post_local_training_clean_holdout,3.992850,0.000843,360,0.327755,log_mean_mrr_ndcg_holdout,0.018447,0.300000,0.300000,0.048014,90,0.014815,0.044444,0.022079,client_clean_holdout_retrieval,post_local_training_clean_holdout,4.107481,0.000594,480,0.318608,log_mean_mrr_ndcg_holdout,0.016449,0.400000,0.400000,0.057065,120,0.013079,0.041667,0.019820,client_clean_holdout_retrieval,post_local_training_clean_holdout
