round,seed,target_dataset,avg_loss,aggregated_delta_norm,aggregated_model_hash,num_selected,num_total,best_round_so_far,selected_best_round,pre_server_val_mrr,pre_server_val_recall_at_k,pre_server_val_ndcg_at_k,pre_final_test_mrr,pre_final_test_recall_at_k,pre_final_test_ndcg_at_k,server_val_mrr,server_val_recall_at_k,server_val_ndcg_at_k,final_test_mrr,final_test_recall_at_k,final_test_ndcg_at_k,client_0_domain,client_0_relevance,client_0_selected,client_0_loss,client_0_num_examples,client_0_domain_weight,client_0_delta_norm,client_1_domain,client_1_relevance,client_1_selected,client_1_loss,client_1_num_examples,client_1_domain_weight,client_1_delta_norm,client_2_domain,client_2_relevance,client_2_selected,client_2_loss,client_2_num_examples,client_2_domain_weight,client_2_delta_norm,client_3_domain,client_3_relevance,client_3_selected,client_3_loss,client_3_num_examples,client_3_domain_weight,client_3_delta_norm,client_4_domain,client_4_relevance,client_4_selected,client_4_loss,client_4_num_examples,client_4_domain_weight,client_4_delta_norm
1,42,nfcorpus,1.748542,0.033611,469541d06031bcf01f51d2b3beda3ff1,5,5,1,6,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022200,0.057500,0.030264,0.027088,0.078000,0.038718,medical,1.0000,1,2.307486,4000,0.728730,0.046234,science,0.4791,1,0.171335,239,0.043542,0.006383,finance,0.0130,1,0.280316,168,0.030607,0.005092,argument,0.0422,1,0.127714,981,0.178721,0.013822,biomedical,0.3212,1,1.529433,101,0.018400,0.004320
2,42,nfcorpus,1.698118,0.031817,eba3f06b7f0d58a2871553c1b24345c6,5,5,1,6,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.027088,0.078000,0.038718,medical,1.0000,1,2.238339,4000,0.728730,0.043788,science,0.4791,1,0.173492,239,0.043542,0.006412,finance,0.0130,1,0.278983,168,0.030607,0.005090,argument,0.0422,1,0.127616,981,0.178721,0.013935,biomedical,0.3212,1,1.525637,101,0.018400,0.004315
3,42,nfcorpus,1.654417,0.030221,9152fc7df16b6d97de7a5746000035a6,5,5,1,6,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.027088,0.078000,0.038718,medical,1.0000,1,2.178398,4000,0.728730,0.041612,science,0.4791,1,0.175910,239,0.043542,0.006446,finance,0.0130,1,0.278017,168,0.030607,0.005088,argument,0.0422,1,0.127536,981,0.178721,0.014053,biomedical,0.3212,1,1.521189,101,0.018400,0.004311
4,42,nfcorpus,1.616184,0.028824,33e108e56da40e1283c4c1daf24ba6fe,5,5,1,6,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.027088,0.078000,0.038718,medical,1.0000,1,2.125945,4000,0.728730,0.039706,science,0.4791,1,0.178550,239,0.043542,0.006483,finance,0.0130,1,0.277376,168,0.030607,0.005087,argument,0.0422,1,0.127465,981,0.178721,0.014173,biomedical,0.3212,1,1.516215,101,0.018400,0.004308
5,42,nfcorpus,1.582426,0.027607,e17144a125f6b4e3330c314986c66521,5,5,1,6,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.027088,0.078000,0.038718,medical,1.0000,1,2.079619,4000,0.728730,0.038045,science,0.4791,1,0.181372,239,0.043542,0.006522,finance,0.0130,1,0.277017,168,0.030607,0.005087,argument,0.0422,1,0.127396,981,0.178721,0.014296,biomedical,0.3212,1,1.510858,101,0.018400,0.004306
6,42,nfcorpus,1.552376,0.026542,29a6498f09eec20b4904cc01e45144e6,5,5,6,6,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022207,0.060000,0.030765,0.027088,0.078000,0.038718,medical,1.0000,1,2.038371,4000,0.728730,0.036589,science,0.4791,1,0.184339,239,0.043542,0.006561,finance,0.0130,1,0.276894,168,0.030607,0.005086,argument,0.0422,1,0.127321,981,0.178721,0.014420,biomedical,0.3212,1,1.505270,101,0.018400,0.004305
7,42,nfcorpus,1.525444,0.025601,61c7fcfea1c74c383e20e8adb063ccca,5,5,6,6,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021999,0.060000,0.030592,0.027088,0.078000,0.038718,medical,1.0000,1,2.001392,4000,0.728730,0.035300,science,0.4791,1,0.187413,239,0.043542,0.006600,finance,0.0130,1,0.276968,168,0.030607,0.005086,argument,0.0422,1,0.127231,981,0.178721,0.014546,biomedical,0.3212,1,1.499603,101,0.018400,0.004304
8,42,nfcorpus,1.501171,0.024758,73f3443df2e8f395d9d2489642a496d8,5,5,6,6,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021814,0.060000,0.030425,0.027088,0.078000,0.038718,medical,1.0000,1,1.968055,4000,0.728730,0.034143,science,0.4791,1,0.190553,239,0.043542,0.006641,finance,0.0130,1,0.277200,168,0.030607,0.005087,argument,0.0422,1,0.127118,981,0.178721,0.014670,biomedical,0.3212,1,1.493991,101,0.018400,0.004305
