round,tau,seed,target_dataset,avg_loss,aggregated_delta_norm,aggregated_model_hash,num_selected,num_total,best_round_so_far,selected_best_round,pre_server_val_mrr,pre_server_val_recall_at_k,pre_server_val_ndcg_at_k,pre_final_test_mrr,pre_final_test_recall_at_k,pre_final_test_ndcg_at_k,server_val_mrr,server_val_recall_at_k,server_val_ndcg_at_k,final_test_mrr,final_test_recall_at_k,final_test_ndcg_at_k,client_0_domain,client_0_relevance,client_0_selected,client_0_loss,client_0_num_examples,client_0_size_weight,client_0_delta_norm,client_1_domain,client_1_relevance,client_1_selected,client_1_loss,client_1_num_examples,client_1_size_weight,client_1_delta_norm,client_2_domain,client_2_relevance,client_2_selected,client_2_loss,client_2_num_examples,client_2_size_weight,client_2_delta_norm,client_3_domain,client_3_relevance,client_3_selected,client_3_loss,client_3_num_examples,client_3_size_weight,client_3_delta_norm,client_4_domain,client_4_relevance,client_4_selected,client_4_loss,client_4_num_examples,client_4_size_weight,client_4_delta_norm
1,0.00,42,nfcorpus,0.001283,0.293148,3cdbdc1aa6f7c7552403276b930fe8c1,5,5,1,1,0.015954,0.037500,0.020978,0.016872,0.050000,0.024488,0.011246,0.032500,0.016241,0.011793,0.036000,0.017382,medical,1.0000,1,0.000547,4000,0.729528,0.400312,science,0.4791,1,0.001689,237,0.043225,0.029441,finance,0.0130,1,0.001049,166,0.030275,0.022705,argument,0.0422,1,0.004313,980,0.178734,0.119658,biomedical,0.3212,1,0.000426,100,0.018238,0.022562
2,0.00,42,nfcorpus,0.000941,0.258919,1f41a8bd514e2321bd252134e17f5c44,5,5,1,1,0.015954,0.037500,0.020978,0.016872,0.050000,0.024488,0.000670,0.005000,0.001622,0.011793,0.036000,0.017382,medical,1.0000,1,0.000204,4000,0.729528,0.351239,science,0.4791,1,0.001356,237,0.043225,0.039826,finance,0.0130,1,0.000999,166,0.030275,0.023906,argument,0.0422,1,0.003882,980,0.178734,0.127512,biomedical,0.3212,1,0.000506,100,0.018238,0.023677
3,0.00,42,nfcorpus,0.000761,0.196463,ff4734b9337e28b44d09a031fa008ac4,5,5,1,1,0.015954,0.037500,0.020978,0.016872,0.050000,0.024488,0.000937,0.005000,0.001865,0.011793,0.036000,0.017382,medical,1.0000,1,0.000081,4000,0.729528,0.263611,science,0.4791,1,0.001174,237,0.043225,0.049962,finance,0.0130,1,0.000977,166,0.030275,0.024529,argument,0.0422,1,0.003406,980,0.178734,0.140971,biomedical,0.3212,1,0.000721,100,0.018238,0.026029
4,0.00,42,nfcorpus,0.000613,0.255187,7645e648521a3887d2802aaad7414455,5,5,1,1,0.015954,0.037500,0.020978,0.016872,0.050000,0.024488,0.001458,0.005000,0.002327,0.011793,0.036000,0.017382,medical,1.0000,1,0.000045,4000,0.729528,0.344063,science,0.4791,1,0.000647,237,0.043225,0.047411,finance,0.0130,1,0.000932,166,0.030275,0.025192,argument,0.0422,1,0.002900,980,0.178734,0.159014,biomedical,0.3212,1,0.000324,100,0.018238,0.025397
