round,alpha,seed,noisy_client_id,client_split_mode,noise_mode,noise_ratio,avg_loss,avg_train_loss,aggregated_delta_norm,aggregated_model_hash,pre_server_val_mrr,pre_server_val_recall_at_k,pre_server_val_ndcg_at_k,pre_final_test_mrr,pre_final_test_recall_at_k,pre_final_test_ndcg_at_k,pre_probe_mrr,pre_probe_recall_at_k,pre_probe_ndcg_at_k,pre_shared_quality_mrr,pre_shared_quality_recall_at_k,pre_shared_quality_ndcg_at_k,pre_shared_quality_mean_rank,server_val_mrr,server_val_recall_at_k,server_val_ndcg_at_k,post_mrr,post_recall_at_k,post_ndcg_at_k,best_round_so_far,best_server_val_mrr_so_far,best_server_val_ndcg_so_far,selected_best_round,final_test_mrr,final_test_recall_at_k,final_test_ndcg_at_k,client_0_loss,client_0_train_loss,client_0_num_examples,client_0_quality_score,client_0_quality_metric_name,client_0_quality_metric_value,client_0_size_weight,client_0_weight,client_0_delta_norm,client_0_probe_size,client_0_probe_mrr,client_0_probe_recall_at_k,client_0_probe_ndcg_at_k,client_0_shared_quality_size,client_0_shared_quality_mrr,client_0_shared_quality_recall_at_k,client_0_shared_quality_ndcg_at_k,client_0_shared_quality_mean_rank_before,client_0_shared_quality_mean_rank_after,client_0_shared_quality_mean_rank_delta,client_0_shared_quality_mean_positive_delta,client_0_shared_quality_mean_negative_delta,client_0_shared_quality_degradation_rate,client_0_shared_quality_improvement_rate,client_0_loss_source,client_0_loss_stage,client_1_loss,client_1_train_loss,client_1_num_examples,client_1_quality_score,client_1_quality_metric_name,client_1_quality_metric_value,client_1_size_weight,client_1_weight,client_1_delta_norm,client_1_probe_size,client_1_probe_mrr,client_1_probe_recall_at_k,client_1_probe_ndcg_at_k,client_1_shared_quality_size,client_1_shared_quality_mrr,client_1_shared_quality_recall_at_k,client_1_shared_quality_ndcg_at_k,client_1_shared_quality_mean_rank_before,client_1_shared_quality_mean_rank_after,client_1_shared_quality_mean_rank_delta,client_1_shared_quality_mean_positive_delta,client_1_shared_quality_mean_negative_delta,client_1_shared_quality_degradation_rate,client_1_shared_quality_improvement_rate,client_1_loss_source,client_1_loss_stage,client_2_loss,client_2_train_loss,client_2_num_examples,client_2_quality_score,client_2_quality_metric_name,client_2_quality_metric_value,client_2_size_weight,client_2_weight,client_2_delta_norm,client_2_probe_size,client_2_probe_mrr,client_2_probe_recall_at_k,client_2_probe_ndcg_at_k,client_2_shared_quality_size,client_2_shared_quality_mrr,client_2_shared_quality_recall_at_k,client_2_shared_quality_ndcg_at_k,client_2_shared_quality_mean_rank_before,client_2_shared_quality_mean_rank_after,client_2_shared_quality_mean_rank_delta,client_2_shared_quality_mean_positive_delta,client_2_shared_quality_mean_negative_delta,client_2_shared_quality_degradation_rate,client_2_shared_quality_improvement_rate,client_2_loss_source,client_2_loss_stage,client_3_loss,client_3_train_loss,client_3_num_examples,client_3_quality_score,client_3_quality_metric_name,client_3_quality_metric_value,client_3_size_weight,client_3_weight,client_3_delta_norm,client_3_probe_size,client_3_probe_mrr,client_3_probe_recall_at_k,client_3_probe_ndcg_at_k,client_3_shared_quality_size,client_3_shared_quality_mrr,client_3_shared_quality_recall_at_k,client_3_shared_quality_ndcg_at_k,client_3_shared_quality_mean_rank_before,client_3_shared_quality_mean_rank_after,client_3_shared_quality_mean_rank_delta,client_3_shared_quality_mean_positive_delta,client_3_shared_quality_mean_negative_delta,client_3_shared_quality_degradation_rate,client_3_shared_quality_improvement_rate,client_3_loss_source,client_3_loss_stage,client_4_loss,client_4_train_loss,client_4_num_examples,client_4_quality_score,client_4_quality_metric_name,client_4_quality_metric_value,client_4_size_weight,client_4_weight,client_4_delta_norm,client_4_probe_size,client_4_probe_mrr,client_4_probe_recall_at_k,client_4_probe_ndcg_at_k,client_4_shared_quality_size,client_4_shared_quality_mrr,client_4_shared_quality_recall_at_k,client_4_shared_quality_ndcg_at_k,client_4_shared_quality_mean_rank_before,client_4_shared_quality_mean_rank_after,client_4_shared_quality_mean_rank_delta,client_4_shared_quality_mean_positive_delta,client_4_shared_quality_mean_negative_delta,client_4_shared_quality_degradation_rate,client_4_shared_quality_improvement_rate,client_4_loss_source,client_4_loss_stage
1,0.7,42,4,unequal,hard_negative,0.80,0.014563,0.000929,0.123132,2b8823edbf5aaeb927b66cecaabad9ff,0.024253,0.065000,0.033658,0.019739,0.072000,0.031826,0.026287,0.071250,0.036573,0.041409,0.090000,0.052784,27.857500,0.024392,0.060000,0.032670,0.024392,0.060000,0.032670,1,0.024392,0.032670,2,0.019663,0.072000,0.031713,0.025000,0.000939,480,0.000000,shared_rank_displacement,-0.025000,0.150000,0.045000,0.058762,120,0.027639,0.058333,0.034929,400,0.042270,0.095000,0.054510,27.857500,27.860000,0.002500,0.047500,0.045000,0.027500,0.025000,shared_rank_displacement,post_local_training_shared_comparison,0.020000,0.001056,480,0.000040,shared_rank_displacement,-0.020000,0.150000,0.045028,0.060934,120,0.038436,0.108333,0.054071,400,0.043478,0.092500,0.054883,27.857500,27.847500,-0.010000,0.050000,0.060000,0.025000,0.030000,shared_rank_displacement,post_local_training_shared_comparison,0.013750,0.001058,480,0.010956,shared_rank_displacement,-0.013750,0.150000,0.052669,0.058701,120,0.019385,0.066667,0.029892,400,0.041770,0.090000,0.053065,27.857500,27.840000,-0.017500,0.045000,0.062500,0.022500,0.030000,shared_rank_displacement,post_local_training_shared_comparison,0.015000,0.000961,480,0.003558,shared_rank_displacement,-0.015000,0.150000,0.047490,0.060176,120,0.027533,0.091667,0.042161,400,0.042478,0.095000,0.054683,27.857500,27.845000,-0.012500,0.042500,0.055000,0.017500,0.030000,shared_rank_displacement,post_local_training_shared_comparison,0.008750,0.000817,1280,0.985446,shared_rank_displacement,-0.008750,0.400000,0.809813,0.140589,320,0.023380,0.056250,0.031043,400,0.046906,0.090000,0.056992,27.857500,27.777500,-0.080000,0.097500,0.177500,0.030000,0.060000,shared_rank_displacement,post_local_training_shared_comparison
2,0.7,42,4,unequal,hard_negative,0.80,0.078313,0.000625,0.062872,61a81e37beb36f59995c091f56a7f3a9,0.024253,0.065000,0.033658,0.019739,0.072000,0.031826,0.026287,0.071250,0.036573,0.041409,0.090000,0.052784,27.857500,0.026895,0.055000,0.033494,0.026895,0.055000,0.033494,2,0.026895,0.033494,2,0.019663,0.072000,0.031713,0.027500,0.000640,480,0.099448,shared_rank_displacement,-0.027500,0.150000,0.114614,0.056706,120,0.026667,0.058333,0.034161,400,0.046871,0.090000,0.056956,27.790000,27.795000,0.005000,0.050000,0.045000,0.030000,0.022500,shared_rank_displacement,post_local_training_shared_comparison,0.056250,0.000714,480,0.006825,shared_rank_displacement,-0.056250,0.150000,0.049777,0.060474,120,0.038843,0.100000,0.052765,400,0.046784,0.090000,0.056869,27.790000,27.820000,0.030000,0.082500,0.052500,0.047500,0.020000,shared_rank_displacement,post_local_training_shared_comparison,0.007500,0.000725,480,0.641206,shared_rank_displacement,-0.007500,0.150000,0.493844,0.058554,120,0.017384,0.050000,0.024726,400,0.046906,0.090000,0.056992,27.790000,27.767500,-0.022500,0.037500,0.060000,0.020000,0.027500,shared_rank_displacement,post_local_training_shared_comparison,0.017500,0.000633,480,0.252521,shared_rank_displacement,-0.017500,0.150000,0.221765,0.059709,120,0.024974,0.075000,0.036457,400,0.046906,0.090000,0.056992,27.790000,27.782500,-0.007500,0.042500,0.050000,0.025000,0.025000,shared_rank_displacement,post_local_training_shared_comparison,0.155000,0.000546,1280,0.000001,shared_rank_displacement,-0.155000,0.400000,0.120000,0.138736,320,0.024618,0.053125,0.031254,400,0.045582,0.092500,0.056504,27.790000,27.850000,0.060000,0.250000,0.190000,0.062500,0.040000,shared_rank_displacement,post_local_training_shared_comparison
3,0.7,42,4,unequal,hard_negative,0.80,0.192937,0.000520,0.064644,10f0b37052acba583558d9107b7d3b19,0.024253,0.065000,0.033658,0.019739,0.072000,0.031826,0.026287,0.071250,0.036573,0.041409,0.090000,0.052784,27.857500,0.025714,0.052500,0.032080,0.025714,0.052500,0.032080,2,0.026895,0.033494,2,0.019663,0.072000,0.031713,0.071250,0.000526,480,0.249893,shared_rank_displacement,-0.071250,0.150000,0.219925,0.057646,120,0.027083,0.058333,0.034526,400,0.048023,0.092500,0.058292,27.787500,27.805000,0.017500,0.125000,0.107500,0.045000,0.035000,shared_rank_displacement,post_local_training_shared_comparison,0.077500,0.000586,480,0.193191,shared_rank_displacement,-0.077500,0.150000,0.180234,0.061268,120,0.038125,0.091667,0.050718,400,0.046360,0.090000,0.056491,27.787500,27.797500,0.010000,0.145000,0.135000,0.047500,0.032500,shared_rank_displacement,post_local_training_shared_comparison,0.071250,0.000592,480,0.249893,shared_rank_displacement,-0.071250,0.150000,0.219925,0.060600,120,0.017384,0.050000,0.024726,400,0.047784,0.092500,0.058064,27.787500,27.795000,0.007500,0.135000,0.127500,0.042500,0.035000,shared_rank_displacement,post_local_training_shared_comparison,0.066250,0.000518,480,0.307022,shared_rank_displacement,-0.066250,0.150000,0.259915,0.061309,120,0.025033,0.075000,0.036528,400,0.047537,0.090000,0.057353,27.787500,27.792500,0.005000,0.127500,0.122500,0.047500,0.032500,shared_rank_displacement,post_local_training_shared_comparison,0.375000,0.000466,1280,0.000001,shared_rank_displacement,-0.375000,0.400000,0.120001,0.149896,320,0.025507,0.046875,0.030597,400,0.040107,0.082500,0.049908,27.787500,28.072500,0.285000,0.465000,0.180000,0.080000,0.035000,shared_rank_displacement,post_local_training_shared_comparison
4,0.7,42,4,unequal,hard_negative,0.80,0.607187,0.000441,0.072734,a0639b5832220efcf59a658d586f3338,0.024253,0.065000,0.033658,0.019739,0.072000,0.031826,0.026287,0.071250,0.036573,0.041409,0.090000,0.052784,27.857500,0.021538,0.047500,0.027677,0.021538,0.047500,0.027677,2,0.026895,0.033494,2,0.019663,0.072000,0.031713,0.208750,0.000437,480,0.305600,shared_rank_displacement,-0.208750,0.150000,0.258920,0.062507,120,0.026885,0.050000,0.032458,400,0.043604,0.087500,0.053762,27.805000,27.992500,0.187500,0.230000,0.042500,0.070000,0.022500,shared_rank_displacement,post_local_training_shared_comparison,0.240000,0.000479,480,0.203023,shared_rank_displacement,-0.240000,0.150000,0.187116,0.066169,120,0.036944,0.075000,0.046193,400,0.042764,0.085000,0.052530,27.805000,28.022500,0.217500,0.262500,0.045000,0.072500,0.022500,shared_rank_displacement,post_local_training_shared_comparison,0.237500,0.000496,480,0.209776,shared_rank_displacement,-0.237500,0.150000,0.191843,0.066601,120,0.017116,0.050000,0.024510,400,0.041146,0.085000,0.051308,27.805000,28.017500,0.212500,0.262500,0.050000,0.077500,0.025000,shared_rank_displacement,post_local_training_shared_comparison,0.215000,0.000426,480,0.281600,shared_rank_displacement,-0.215000,0.150000,0.242120,0.067044,120,0.019742,0.066667,0.030962,400,0.042806,0.087500,0.053066,27.805000,27.997500,0.192500,0.237500,0.045000,0.072500,0.022500,shared_rank_displacement,post_local_training_shared_comparison,1.180000,0.000414,1280,0.000001,shared_rank_displacement,-1.180000,0.400000,0.120001,0.173029,320,0.018063,0.043750,0.023862,400,0.023632,0.060000,0.032193,27.805000,28.925000,1.120000,1.240000,0.120000,0.112500,0.022500,shared_rank_displacement,post_local_training_shared_comparison
