round,seed,target_dataset,avg_loss,aggregated_delta_norm,aggregated_model_hash,num_selected,num_total,best_round_so_far,selected_best_round,pre_server_val_mrr,pre_server_val_recall_at_k,pre_server_val_ndcg_at_k,pre_final_test_mrr,pre_final_test_recall_at_k,pre_final_test_ndcg_at_k,server_val_mrr,server_val_recall_at_k,server_val_ndcg_at_k,final_test_mrr,final_test_recall_at_k,final_test_ndcg_at_k,client_0_domain,client_0_relevance,client_0_selected,client_0_loss,client_0_num_examples,client_0_domain_weight,client_0_delta_norm,client_1_domain,client_1_relevance,client_1_selected,client_1_loss,client_1_num_examples,client_1_domain_weight,client_1_delta_norm,client_2_domain,client_2_relevance,client_2_selected,client_2_loss,client_2_num_examples,client_2_domain_weight,client_2_delta_norm,client_3_domain,client_3_relevance,client_3_selected,client_3_loss,client_3_num_examples,client_3_domain_weight,client_3_delta_norm,client_4_domain,client_4_relevance,client_4_selected,client_4_loss,client_4_num_examples,client_4_domain_weight,client_4_delta_norm
1,256,nfcorpus,1.755114,0.025043,9234d077ad6b672c4bf75e1434ec649d,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022200,0.057500,0.030264,0.027555,0.080000,0.039533,medical,1.0000,1,2.308684,4000,0.538929,0.046567,science,0.4791,1,0.210334,239,0.258191,0.006419,finance,0.0130,1,0.315493,168,0.007004,0.005044,argument,0.0422,1,0.139003,981,0.022748,0.014037,biomedical,0.3212,1,1.578742,101,0.173128,0.004263
2,256,nfcorpus,1.716602,0.024058,a920465e3d72d4048e65da96c2baa64b,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022200,0.057500,0.030264,0.027555,0.080000,0.039533,medical,1.0000,1,2.255917,4000,0.538929,0.044752,science,0.4791,1,0.211323,239,0.258191,0.006435,finance,0.0130,1,0.314680,168,0.007004,0.005043,argument,0.0422,1,0.139250,981,0.022748,0.014125,biomedical,0.3212,1,1.572133,101,0.173128,0.004260
3,256,nfcorpus,1.681914,0.023156,ce094d59c096010191bb6a6febe3a416,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022075,0.057500,0.030155,0.027555,0.080000,0.039533,medical,1.0000,1,2.208385,4000,0.538929,0.043090,science,0.4791,1,0.212530,239,0.258191,0.006451,finance,0.0130,1,0.314096,168,0.007004,0.005042,argument,0.0422,1,0.139495,981,0.022748,0.014217,biomedical,0.3212,1,1.565123,101,0.173128,0.004258
4,256,nfcorpus,1.650541,0.022330,d49e9bed754db84c2b767006083a9baf,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022075,0.057500,0.030155,0.027555,0.080000,0.039533,medical,1.0000,1,2.165393,4000,0.538929,0.041569,science,0.4791,1,0.213916,239,0.258191,0.006469,finance,0.0130,1,0.313707,168,0.007004,0.005042,argument,0.0422,1,0.139736,981,0.022748,0.014320,biomedical,0.3212,1,1.557837,101,0.173128,0.004255
5,256,nfcorpus,1.622058,0.021573,1a7a798e7c4dd459e357b1d4003191f9,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.027555,0.080000,0.039533,medical,1.0000,1,2.126354,4000,0.538929,0.040175,science,0.4791,1,0.215448,239,0.258191,0.006488,finance,0.0130,1,0.313486,168,0.007004,0.005041,argument,0.0422,1,0.139973,981,0.022748,0.014432,biomedical,0.3212,1,1.550390,101,0.173128,0.004253
6,256,nfcorpus,1.596102,0.020878,592bc6c4d7f2dce7b0212df790fd2d13,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.027555,0.080000,0.039533,medical,1.0000,1,2.090773,4000,0.538929,0.038896,science,0.4791,1,0.217093,239,0.258191,0.006508,finance,0.0130,1,0.313405,168,0.007004,0.005041,argument,0.0422,1,0.140206,981,0.022748,0.014549,biomedical,0.3212,1,1.542883,101,0.173128,0.004251
7,256,nfcorpus,1.572364,0.020240,3816bbf125df3ef09a313175a40cadbb,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.027555,0.080000,0.039533,medical,1.0000,1,2.058227,4000,0.538929,0.037723,science,0.4791,1,0.218819,239,0.258191,0.006528,finance,0.0130,1,0.313441,168,0.007004,0.005040,argument,0.0422,1,0.140434,981,0.022748,0.014666,biomedical,0.3212,1,1.535405,101,0.173128,0.004250
8,256,nfcorpus,1.550578,0.019655,a150ea524d63fc3bb3a6faac7eeb2879,5,5,8,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022235,0.060000,0.030795,0.027555,0.080000,0.039533,medical,1.0000,1,2.028351,4000,0.538929,0.036644,science,0.4791,1,0.220600,239,0.258191,0.006549,finance,0.0130,1,0.313574,168,0.007004,0.005040,argument,0.0422,1,0.140658,981,0.022748,0.014776,biomedical,0.3212,1,1.528032,101,0.173128,0.004248
