round,alpha,seed,noisy_client_id,client_split_mode,noise_mode,noise_ratio,avg_loss,avg_train_loss,aggregated_delta_norm,aggregated_model_hash,pre_server_val_mrr,pre_server_val_recall_at_k,pre_server_val_ndcg_at_k,pre_final_test_mrr,pre_final_test_recall_at_k,pre_final_test_ndcg_at_k,pre_probe_mrr,pre_probe_recall_at_k,pre_probe_ndcg_at_k,pre_shared_quality_mrr,pre_shared_quality_recall_at_k,pre_shared_quality_ndcg_at_k,pre_shared_quality_mean_rank,server_val_mrr,server_val_recall_at_k,server_val_ndcg_at_k,post_mrr,post_recall_at_k,post_ndcg_at_k,best_round_so_far,best_server_val_mrr_so_far,best_server_val_ndcg_so_far,selected_best_round,final_test_mrr,final_test_recall_at_k,final_test_ndcg_at_k,client_0_loss,client_0_train_loss,client_0_num_examples,client_0_quality_score,client_0_quality_metric_name,client_0_quality_metric_value,client_0_size_weight,client_0_weight,client_0_delta_norm,client_0_probe_size,client_0_probe_mrr,client_0_probe_recall_at_k,client_0_probe_ndcg_at_k,client_0_shared_quality_size,client_0_shared_quality_mrr,client_0_shared_quality_recall_at_k,client_0_shared_quality_ndcg_at_k,client_0_shared_quality_mean_rank_before,client_0_shared_quality_mean_rank_after,client_0_shared_quality_mean_rank_delta,client_0_shared_quality_mean_positive_delta,client_0_shared_quality_mean_negative_delta,client_0_shared_quality_degradation_rate,client_0_shared_quality_improvement_rate,client_0_loss_source,client_0_loss_stage,client_1_loss,client_1_train_loss,client_1_num_examples,client_1_quality_score,client_1_quality_metric_name,client_1_quality_metric_value,client_1_size_weight,client_1_weight,client_1_delta_norm,client_1_probe_size,client_1_probe_mrr,client_1_probe_recall_at_k,client_1_probe_ndcg_at_k,client_1_shared_quality_size,client_1_shared_quality_mrr,client_1_shared_quality_recall_at_k,client_1_shared_quality_ndcg_at_k,client_1_shared_quality_mean_rank_before,client_1_shared_quality_mean_rank_after,client_1_shared_quality_mean_rank_delta,client_1_shared_quality_mean_positive_delta,client_1_shared_quality_mean_negative_delta,client_1_shared_quality_degradation_rate,client_1_shared_quality_improvement_rate,client_1_loss_source,client_1_loss_stage,client_2_loss,client_2_train_loss,client_2_num_examples,client_2_quality_score,client_2_quality_metric_name,client_2_quality_metric_value,client_2_size_weight,client_2_weight,client_2_delta_norm,client_2_probe_size,client_2_probe_mrr,client_2_probe_recall_at_k,client_2_probe_ndcg_at_k,client_2_shared_quality_size,client_2_shared_quality_mrr,client_2_shared_quality_recall_at_k,client_2_shared_quality_ndcg_at_k,client_2_shared_quality_mean_rank_before,client_2_shared_quality_mean_rank_after,client_2_shared_quality_mean_rank_delta,client_2_shared_quality_mean_positive_delta,client_2_shared_quality_mean_negative_delta,client_2_shared_quality_degradation_rate,client_2_shared_quality_improvement_rate,client_2_loss_source,client_2_loss_stage,client_3_loss,client_3_train_loss,client_3_num_examples,client_3_quality_score,client_3_quality_metric_name,client_3_quality_metric_value,client_3_size_weight,client_3_weight,client_3_delta_norm,client_3_probe_size,client_3_probe_mrr,client_3_probe_recall_at_k,client_3_probe_ndcg_at_k,client_3_shared_quality_size,client_3_shared_quality_mrr,client_3_shared_quality_recall_at_k,client_3_shared_quality_ndcg_at_k,client_3_shared_quality_mean_rank_before,client_3_shared_quality_mean_rank_after,client_3_shared_quality_mean_rank_delta,client_3_shared_quality_mean_positive_delta,client_3_shared_quality_mean_negative_delta,client_3_shared_quality_degradation_rate,client_3_shared_quality_improvement_rate,client_3_loss_source,client_3_loss_stage,client_4_loss,client_4_train_loss,client_4_num_examples,client_4_quality_score,client_4_quality_metric_name,client_4_quality_metric_value,client_4_size_weight,client_4_weight,client_4_delta_norm,client_4_probe_size,client_4_probe_mrr,client_4_probe_recall_at_k,client_4_probe_ndcg_at_k,client_4_shared_quality_size,client_4_shared_quality_mrr,client_4_shared_quality_recall_at_k,client_4_shared_quality_ndcg_at_k,client_4_shared_quality_mean_rank_before,client_4_shared_quality_mean_rank_after,client_4_shared_quality_mean_rank_delta,client_4_shared_quality_mean_positive_delta,client_4_shared_quality_mean_negative_delta,client_4_shared_quality_degradation_rate,client_4_shared_quality_improvement_rate,client_4_loss_source,client_4_loss_stage
1,0.0,42,4,unequal,hard_negative,0.80,0.014563,0.000929,0.086434,328cfee64f57fa070f7674d59d8ceb43,0.024253,0.065000,0.033658,0.019739,0.072000,0.031826,0.026287,0.071250,0.036573,0.041409,0.090000,0.052784,27.857500,0.024437,0.065000,0.033778,0.024437,0.065000,0.033778,1,0.024437,0.033778,2,0.019746,0.072000,0.031795,0.025000,0.000939,480,0.000000,shared_rank_displacement,-0.025000,0.150000,0.150000,0.058762,120,0.027639,0.058333,0.034929,400,0.042270,0.095000,0.054510,27.857500,27.860000,0.002500,0.047500,0.045000,0.027500,0.025000,shared_rank_displacement,post_local_training_shared_comparison,0.020000,0.001056,480,0.000040,shared_rank_displacement,-0.020000,0.150000,0.150000,0.060934,120,0.038436,0.108333,0.054071,400,0.043478,0.092500,0.054883,27.857500,27.847500,-0.010000,0.050000,0.060000,0.025000,0.030000,shared_rank_displacement,post_local_training_shared_comparison,0.013750,0.001058,480,0.010956,shared_rank_displacement,-0.013750,0.150000,0.150000,0.058701,120,0.019385,0.066667,0.029892,400,0.041770,0.090000,0.053065,27.857500,27.840000,-0.017500,0.045000,0.062500,0.022500,0.030000,shared_rank_displacement,post_local_training_shared_comparison,0.015000,0.000961,480,0.003558,shared_rank_displacement,-0.015000,0.150000,0.150000,0.060176,120,0.027533,0.091667,0.042161,400,0.042478,0.095000,0.054683,27.857500,27.845000,-0.012500,0.042500,0.055000,0.017500,0.030000,shared_rank_displacement,post_local_training_shared_comparison,0.008750,0.000817,1280,0.985446,shared_rank_displacement,-0.008750,0.400000,0.400000,0.140589,320,0.023380,0.056250,0.031043,400,0.046906,0.090000,0.056992,27.857500,27.777500,-0.080000,0.097500,0.177500,0.030000,0.060000,shared_rank_displacement,post_local_training_shared_comparison
2,0.0,42,4,unequal,hard_negative,0.80,0.040625,0.000700,0.085831,48afa3ad27b02ec2b5794783c986e29b,0.024253,0.065000,0.033658,0.019739,0.072000,0.031826,0.026287,0.071250,0.036573,0.041409,0.090000,0.052784,27.857500,0.026895,0.055000,0.033494,0.026895,0.055000,0.033494,2,0.026895,0.033494,2,0.019746,0.072000,0.031795,0.016250,0.000713,480,0.055616,shared_rank_displacement,-0.016250,0.150000,0.150000,0.057251,120,0.026667,0.058333,0.034161,400,0.046638,0.090000,0.056762,27.815000,27.802500,-0.012500,0.045000,0.057500,0.020000,0.037500,shared_rank_displacement,post_local_training_shared_comparison,0.023750,0.000800,480,0.015774,shared_rank_displacement,-0.023750,0.150000,0.150000,0.061633,120,0.038843,0.100000,0.052765,400,0.046850,0.090000,0.056931,27.815000,27.807500,-0.007500,0.055000,0.062500,0.027500,0.032500,shared_rank_displacement,post_local_training_shared_comparison,0.005000,0.000808,480,0.368201,shared_rank_displacement,-0.005000,0.150000,0.150000,0.059244,120,0.018366,0.058333,0.027284,400,0.047263,0.090000,0.057263,27.815000,27.782500,-0.032500,0.042500,0.075000,0.020000,0.040000,shared_rank_displacement,post_local_training_shared_comparison,0.002500,0.000713,480,0.560408,shared_rank_displacement,-0.002500,0.150000,0.150000,0.060276,120,0.024974,0.075000,0.036457,400,0.046846,0.090000,0.056935,27.815000,27.777500,-0.037500,0.042500,0.080000,0.020000,0.040000,shared_rank_displacement,post_local_training_shared_comparison,0.083750,0.000611,1280,0.000001,shared_rank_displacement,-0.083750,0.400000,0.400000,0.138333,320,0.023524,0.056250,0.031141,400,0.047984,0.092500,0.058260,27.815000,27.805000,-0.010000,0.177500,0.187500,0.055000,0.050000,shared_rank_displacement,post_local_training_shared_comparison
3,0.0,42,4,unequal,hard_negative,0.80,0.176563,0.000533,0.088849,1e1b45b01b0d81e0309ed3ce7d41a5de,0.024253,0.065000,0.033658,0.019739,0.072000,0.031826,0.026287,0.071250,0.036573,0.041409,0.090000,0.052784,27.857500,0.024149,0.055000,0.031407,0.024149,0.055000,0.031407,2,0.026895,0.033494,2,0.019746,0.072000,0.031795,0.072500,0.000539,480,0.245092,shared_rank_displacement,-0.072500,0.150000,0.150000,0.057609,120,0.027083,0.058333,0.034526,400,0.047898,0.090000,0.057679,27.782500,27.807500,0.025000,0.120000,0.095000,0.045000,0.027500,shared_rank_displacement,post_local_training_shared_comparison,0.086250,0.000602,480,0.126030,shared_rank_displacement,-0.086250,0.150000,0.150000,0.061135,120,0.038218,0.091667,0.050817,400,0.046180,0.090000,0.056379,27.782500,27.810000,0.027500,0.145000,0.117500,0.050000,0.025000,shared_rank_displacement,post_local_training_shared_comparison,0.070000,0.000613,480,0.276598,shared_rank_displacement,-0.070000,0.150000,0.150000,0.059776,120,0.017384,0.050000,0.024726,400,0.047895,0.092500,0.058170,27.782500,27.795000,0.012500,0.127500,0.115000,0.045000,0.030000,shared_rank_displacement,post_local_training_shared_comparison,0.065000,0.000532,480,0.352280,shared_rank_displacement,-0.065000,0.150000,0.150000,0.060734,120,0.025182,0.075000,0.036677,400,0.047859,0.092500,0.058150,27.782500,27.787500,0.005000,0.125000,0.120000,0.047500,0.032500,shared_rank_displacement,post_local_training_shared_comparison,0.331250,0.000474,1280,0.000001,shared_rank_displacement,-0.331250,0.400000,0.400000,0.146302,320,0.024938,0.046875,0.030148,400,0.040785,0.085000,0.050995,27.782500,28.022500,0.240000,0.422500,0.182500,0.085000,0.035000,shared_rank_displacement,post_local_training_shared_comparison
4,0.0,42,4,unequal,hard_negative,0.80,0.652438,0.000434,0.105684,80a135ebb204d3f3331bbef56af3b54c,0.024253,0.065000,0.033658,0.019739,0.072000,0.031826,0.026287,0.071250,0.036573,0.041409,0.090000,0.052784,27.857500,0.019802,0.040000,0.024548,0.019802,0.040000,0.024548,2,0.026895,0.033494,2,0.019746,0.072000,0.031795,0.186250,0.000432,480,0.325959,shared_rank_displacement,-0.186250,0.150000,0.150000,0.062877,120,0.027083,0.050000,0.032648,400,0.042035,0.082500,0.051401,27.850000,28.017500,0.167500,0.205000,0.037500,0.055000,0.025000,shared_rank_displacement,post_local_training_shared_comparison,0.236250,0.000473,480,0.184954,shared_rank_displacement,-0.236250,0.150000,0.150000,0.067805,120,0.036250,0.075000,0.045616,400,0.040437,0.085000,0.050700,27.850000,28.072500,0.222500,0.250000,0.027500,0.067500,0.022500,shared_rank_displacement,post_local_training_shared_comparison,0.205000,0.000493,480,0.263558,shared_rank_displacement,-0.205000,0.150000,0.150000,0.068786,120,0.015450,0.058333,0.024885,400,0.040725,0.082500,0.050421,27.850000,28.035000,0.185000,0.225000,0.040000,0.060000,0.027500,shared_rank_displacement,post_local_training_shared_comparison,0.218750,0.000426,480,0.225527,shared_rank_displacement,-0.218750,0.150000,0.150000,0.068987,120,0.019742,0.066667,0.030962,400,0.040825,0.082500,0.050493,27.850000,28.050000,0.200000,0.237500,0.037500,0.067500,0.022500,shared_rank_displacement,post_local_training_shared_comparison,1.313750,0.000400,1280,0.000001,shared_rank_displacement,-1.313750,0.400000,0.400000,0.175829,320,0.017130,0.040625,0.022409,400,0.021187,0.052500,0.028496,27.850000,29.107500,1.257500,1.370000,0.112500,0.110000,0.022500,shared_rank_displacement,post_local_training_shared_comparison
