round,alpha,seed,noise_mode,noise_ratio,avg_loss,aggregated_delta_norm,aggregated_model_hash,pre_mrr,pre_recall_at_k,pre_ndcg_at_k,post_mrr,post_recall_at_k,post_ndcg_at_k,client_0_loss,client_0_num_examples,client_0_quality_score,client_0_size_weight,client_0_weight,client_0_delta_norm,client_0_loss_source,client_0_loss_stage,client_1_loss,client_1_num_examples,client_1_quality_score,client_1_size_weight,client_1_weight,client_1_delta_norm,client_1_loss_source,client_1_loss_stage,client_2_loss,client_2_num_examples,client_2_quality_score,client_2_size_weight,client_2_weight,client_2_delta_norm,client_2_loss_source,client_2_loss_stage
1,1.0,42,shuffle,0.70,0.000944,0.064477,2f37a296eb9dd8d31e9ca046ca29b925,0.064305,0.120482,0.077805,0.065309,0.120482,0.078640,0.000918,167,0.342065,0.334000,0.342065,0.068596,lsr_training_loss,post_local_training,0.000994,168,0.315848,0.336000,0.315848,0.074558,lsr_training_loss,post_local_training,0.000918,165,0.342087,0.330000,0.342087,0.073151,lsr_training_loss,post_local_training
2,1.0,42,shuffle,0.70,0.000725,0.060962,fd9553ff742f5c96591998bffb0466ae,0.064305,0.120482,0.077805,0.066466,0.132530,0.082082,0.000716,167,0.336904,0.334000,0.336904,0.064738,lsr_training_loss,post_local_training,0.000763,168,0.315861,0.336000,0.315861,0.072098,lsr_training_loss,post_local_training,0.000694,165,0.347236,0.330000,0.347236,0.070205,lsr_training_loss,post_local_training
3,1.0,42,shuffle,0.70,0.000571,0.056516,d4268d8df088027fab34bbaf69970751,0.064305,0.120482,0.077805,0.067484,0.120482,0.080392,0.000578,167,0.328534,0.334000,0.328534,0.061311,lsr_training_loss,post_local_training,0.000593,168,0.320326,0.336000,0.320326,0.069358,lsr_training_loss,post_local_training,0.000541,165,0.351140,0.330000,0.351140,0.064503,lsr_training_loss,post_local_training
4,1.0,42,shuffle,0.70,0.000475,0.054371,70332852fc71ee7b1cde76c831ff0d23,0.064305,0.120482,0.077805,0.067771,0.120482,0.080667,0.000489,167,0.323478,0.334000,0.323478,0.062199,lsr_training_loss,post_local_training,0.000491,168,0.322222,0.336000,0.322222,0.067379,lsr_training_loss,post_local_training,0.000446,165,0.354300,0.330000,0.354300,0.061038,lsr_training_loss,post_local_training
5,1.0,42,shuffle,0.70,0.000415,0.055163,74b0945b7730aac8befb21e2fd1c977b,0.064305,0.120482,0.077805,0.065161,0.120482,0.078624,0.000436,167,0.316237,0.334000,0.316237,0.062578,lsr_training_loss,post_local_training,0.000420,168,0.328771,0.336000,0.328771,0.066924,lsr_training_loss,post_local_training,0.000389,165,0.354993,0.330000,0.354993,0.063086,lsr_training_loss,post_local_training
6,1.0,42,shuffle,0.70,0.000375,0.059842,967e4c256d8b9029c0c88032c71e2ca0,0.064305,0.120482,0.077805,0.062751,0.108434,0.073963,0.000393,167,0.317347,0.334000,0.317347,0.067146,lsr_training_loss,post_local_training,0.000374,168,0.333764,0.336000,0.333764,0.068890,lsr_training_loss,post_local_training,0.000358,165,0.348889,0.330000,0.348889,0.068192,lsr_training_loss,post_local_training
7,1.0,42,shuffle,0.70,0.000346,0.062426,4063e2e8b6f19e8741e02009818994a3,0.064305,0.120482,0.077805,0.045683,0.096386,0.058303,0.000366,167,0.314631,0.334000,0.314631,0.068867,lsr_training_loss,post_local_training,0.000340,168,0.338476,0.336000,0.338476,0.070222,lsr_training_loss,post_local_training,0.000332,165,0.346894,0.330000,0.346894,0.070737,lsr_training_loss,post_local_training
8,1.0,42,shuffle,0.70,0.000330,0.065762,c9965bc14e079d7e9351b0c67269b487,0.064305,0.120482,0.077805,0.036847,0.084337,0.047720,0.000347,167,0.316030,0.334000,0.316030,0.069906,lsr_training_loss,post_local_training,0.000333,168,0.328817,0.336000,0.328817,0.075860,lsr_training_loss,post_local_training,0.000309,165,0.355153,0.330000,0.355153,0.072611,lsr_training_loss,post_local_training
