round,seed,target_dataset,avg_loss,aggregated_delta_norm,aggregated_model_hash,num_selected,num_total,best_round_so_far,selected_best_round,pre_server_val_mrr,pre_server_val_recall_at_k,pre_server_val_ndcg_at_k,pre_final_test_mrr,pre_final_test_recall_at_k,pre_final_test_ndcg_at_k,server_val_mrr,server_val_recall_at_k,server_val_ndcg_at_k,final_test_mrr,final_test_recall_at_k,final_test_ndcg_at_k,client_0_domain,client_0_relevance,client_0_selected,client_0_loss,client_0_num_examples,client_0_domain_weight,client_0_delta_norm,client_1_domain,client_1_relevance,client_1_selected,client_1_loss,client_1_num_examples,client_1_domain_weight,client_1_delta_norm,client_2_domain,client_2_relevance,client_2_selected,client_2_loss,client_2_num_examples,client_2_domain_weight,client_2_delta_norm,client_3_domain,client_3_relevance,client_3_selected,client_3_loss,client_3_num_examples,client_3_domain_weight,client_3_delta_norm,client_4_domain,client_4_relevance,client_4_selected,client_4_loss,client_4_num_examples,client_4_domain_weight,client_4_delta_norm
1,42,nfcorpus,1.658765,0.164409,a741448844189ecc55d86f3210f5e758,5,5,1,1,0.015954,0.037500,0.020978,0.016872,0.050000,0.024488,0.015899,0.037500,0.020918,0.016238,0.046000,0.023198,medical,1.0000,1,2.193201,4000,0.954838,0.172283,science,0.4791,1,0.136787,237,0.027104,0.026622,finance,0.0130,1,0.469506,166,0.000515,0.020255,argument,0.0422,1,0.088329,980,0.009875,0.053875,biomedical,0.3212,1,1.252826,100,0.007668,0.018528
2,42,nfcorpus,1.493550,0.132931,b0ca1f452555c1db850e30dcb5438188,5,5,1,1,0.015954,0.037500,0.020978,0.016872,0.050000,0.024488,0.015125,0.037500,0.020412,0.016238,0.046000,0.023198,medical,1.0000,1,1.965444,4000,0.954838,0.139346,science,0.4791,1,0.158198,237,0.027104,0.027491,finance,0.0130,1,0.465237,166,0.000515,0.020281,argument,0.0422,1,0.091887,980,0.009875,0.057564,biomedical,0.3212,1,1.225855,100,0.007668,0.018280
3,42,nfcorpus,1.400188,0.113201,a3e31ebd8e76db558dcff4c6f5fd5798,5,5,1,1,0.015954,0.037500,0.020978,0.016872,0.050000,0.024488,0.015864,0.042500,0.022070,0.016238,0.046000,0.023198,medical,1.0000,1,1.835500,4000,0.954838,0.118679,science,0.4791,1,0.186995,237,0.027104,0.029174,finance,0.0130,1,0.462626,166,0.000515,0.020316,argument,0.0422,1,0.095134,980,0.009875,0.061420,biomedical,0.3212,1,1.208866,100,0.007668,0.018154
4,42,nfcorpus,1.341031,0.101929,10747518c3dfaeee3f561c51240e016a,5,5,1,1,0.015954,0.037500,0.020978,0.016872,0.050000,0.024488,0.015621,0.042500,0.021860,0.016238,0.046000,0.023198,medical,1.0000,1,1.752704,4000,0.954838,0.106820,science,0.4791,1,0.212032,237,0.027104,0.030866,finance,0.0130,1,0.459626,166,0.000515,0.020340,argument,0.0422,1,0.097163,980,0.009875,0.064563,biomedical,0.3212,1,1.202887,100,0.007668,0.018185
