round,seed,target_dataset,avg_loss,aggregated_delta_norm,aggregated_model_hash,num_selected,num_total,best_round_so_far,selected_best_round,pre_server_val_mrr,pre_server_val_recall_at_k,pre_server_val_ndcg_at_k,pre_final_test_mrr,pre_final_test_recall_at_k,pre_final_test_ndcg_at_k,server_val_mrr,server_val_recall_at_k,server_val_ndcg_at_k,final_test_mrr,final_test_recall_at_k,final_test_ndcg_at_k,client_0_domain,client_0_relevance,client_0_selected,client_0_loss,client_0_num_examples,client_0_domain_weight,client_0_delta_norm,client_1_domain,client_1_relevance,client_1_selected,client_1_loss,client_1_num_examples,client_1_domain_weight,client_1_delta_norm,client_2_domain,client_2_relevance,client_2_selected,client_2_loss,client_2_num_examples,client_2_domain_weight,client_2_delta_norm,client_3_domain,client_3_relevance,client_3_selected,client_3_loss,client_3_num_examples,client_3_domain_weight,client_3_delta_norm,client_4_domain,client_4_relevance,client_4_selected,client_4_loss,client_4_num_examples,client_4_domain_weight,client_4_delta_norm
1,123,nfcorpus,1.682749,0.064083,0cede6e2c0f8f277ca6fb0d38c000ca4,5,5,1,6,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022166,0.057500,0.030228,0.026374,0.078000,0.038222,medical,1.0000,1,2.219404,4000,0.538929,0.119457,science,0.4791,1,0.155901,239,0.258191,0.013365,finance,0.0130,1,0.259572,168,0.007004,0.009746,argument,0.0422,1,0.123954,981,0.022748,0.032801,biomedical,0.3212,1,1.549770,101,0.173128,0.009521
2,123,nfcorpus,1.606285,0.058104,7e7268d9a62c81602ea5c9b495f78c0f,5,5,1,6,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.026374,0.078000,0.038222,medical,1.0000,1,2.114575,4000,0.538929,0.108587,science,0.4791,1,0.159570,239,0.258191,0.013645,finance,0.0130,1,0.258564,168,0.007004,0.009759,argument,0.0422,1,0.124541,981,0.022748,0.033719,biomedical,0.3212,1,1.533147,101,0.173128,0.009484
3,123,nfcorpus,1.546389,0.053190,bf8177aaceca3de9be798c746e8ee391,5,5,1,6,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.026374,0.078000,0.038222,medical,1.0000,1,2.032336,4000,0.538929,0.099680,science,0.4791,1,0.164601,239,0.258191,0.014048,finance,0.0130,1,0.258496,168,0.007004,0.009780,argument,0.0422,1,0.125220,981,0.022748,0.034682,biomedical,0.3212,1,1.516589,101,0.173128,0.009459
4,123,nfcorpus,1.498641,0.049092,5aaabb19c00fffe1f9ddd72c58a1dc24,5,5,1,6,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021999,0.060000,0.030592,0.026374,0.078000,0.038222,medical,1.0000,1,1.966635,4000,0.538929,0.092267,science,0.4791,1,0.170689,239,0.258191,0.014563,finance,0.0130,1,0.259105,168,0.007004,0.009806,argument,0.0422,1,0.126000,981,0.022748,0.035698,biomedical,0.3212,1,1.500678,101,0.173128,0.009446
5,123,nfcorpus,1.460129,0.045579,602954ee8cd2e8a74147047e8621385e,5,5,1,6,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021902,0.060000,0.030512,0.026374,0.078000,0.038222,medical,1.0000,1,1.913500,4000,0.538929,0.085898,science,0.4791,1,0.177432,239,0.258191,0.015180,finance,0.0130,1,0.260153,168,0.007004,0.009834,argument,0.0422,1,0.126876,981,0.022748,0.036760,biomedical,0.3212,1,1.485855,101,0.173128,0.009446
6,123,nfcorpus,1.428771,0.042534,ee036da4104ca8da1d1497900dc3d6ee,5,5,6,6,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022267,0.062500,0.031338,0.026374,0.078000,0.038222,medical,1.0000,1,1.870111,4000,0.538929,0.080334,science,0.4791,1,0.184346,239,0.258191,0.015858,finance,0.0130,1,0.261429,168,0.007004,0.009862,argument,0.0422,1,0.127814,981,0.022748,0.037830,biomedical,0.3212,1,1.472455,101,0.173128,0.009457
7,123,nfcorpus,1.402935,0.039932,27b7ffe214aff97a80386a751c71b3f1,5,5,6,6,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021684,0.057500,0.029817,0.026374,0.078000,0.038222,medical,1.0000,1,1.834275,4000,0.538929,0.075506,science,0.4791,1,0.190931,239,0.258191,0.016540,finance,0.0130,1,0.262751,168,0.007004,0.009889,argument,0.0422,1,0.128751,981,0.022748,0.038853,biomedical,0.3212,1,1.460706,101,0.173128,0.009477
8,123,nfcorpus,1.381282,0.037772,2de07d2305f4a35388b5942b85eeb73b,5,5,6,6,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021822,0.057500,0.029954,0.026374,0.078000,0.038222,medical,1.0000,1,1.804207,4000,0.538929,0.071412,science,0.4791,1,0.196729,239,0.258191,0.017211,finance,0.0130,1,0.263981,168,0.007004,0.009914,argument,0.0422,1,0.129601,981,0.022748,0.039823,biomedical,0.3212,1,1.450702,101,0.173128,0.009504
