round,alpha,seed,noisy_client_id,client_split_mode,noise_mode,noise_ratio,avg_loss,avg_train_loss,aggregated_delta_norm,aggregated_model_hash,pre_server_val_mrr,pre_server_val_recall_at_k,pre_server_val_ndcg_at_k,pre_final_test_mrr,pre_final_test_recall_at_k,pre_final_test_ndcg_at_k,pre_probe_mrr,pre_probe_recall_at_k,pre_probe_ndcg_at_k,pre_shared_quality_mrr,pre_shared_quality_recall_at_k,pre_shared_quality_ndcg_at_k,pre_shared_quality_mean_rank,server_val_mrr,server_val_recall_at_k,server_val_ndcg_at_k,post_mrr,post_recall_at_k,post_ndcg_at_k,best_round_so_far,best_server_val_mrr_so_far,best_server_val_ndcg_so_far,selected_best_round,final_test_mrr,final_test_recall_at_k,final_test_ndcg_at_k,client_0_loss,client_0_train_loss,client_0_num_examples,client_0_quality_score,client_0_quality_metric_name,client_0_quality_metric_value,client_0_size_weight,client_0_weight,client_0_delta_norm,client_0_probe_size,client_0_probe_mrr,client_0_probe_recall_at_k,client_0_probe_ndcg_at_k,client_0_shared_quality_size,client_0_shared_quality_mrr,client_0_shared_quality_recall_at_k,client_0_shared_quality_ndcg_at_k,client_0_shared_quality_mean_rank_before,client_0_shared_quality_mean_rank_after,client_0_shared_quality_mean_rank_delta,client_0_shared_quality_mean_positive_delta,client_0_shared_quality_mean_negative_delta,client_0_shared_quality_degradation_rate,client_0_shared_quality_improvement_rate,client_0_loss_source,client_0_loss_stage,client_1_loss,client_1_train_loss,client_1_num_examples,client_1_quality_score,client_1_quality_metric_name,client_1_quality_metric_value,client_1_size_weight,client_1_weight,client_1_delta_norm,client_1_probe_size,client_1_probe_mrr,client_1_probe_recall_at_k,client_1_probe_ndcg_at_k,client_1_shared_quality_size,client_1_shared_quality_mrr,client_1_shared_quality_recall_at_k,client_1_shared_quality_ndcg_at_k,client_1_shared_quality_mean_rank_before,client_1_shared_quality_mean_rank_after,client_1_shared_quality_mean_rank_delta,client_1_shared_quality_mean_positive_delta,client_1_shared_quality_mean_negative_delta,client_1_shared_quality_degradation_rate,client_1_shared_quality_improvement_rate,client_1_loss_source,client_1_loss_stage,client_2_loss,client_2_train_loss,client_2_num_examples,client_2_quality_score,client_2_quality_metric_name,client_2_quality_metric_value,client_2_size_weight,client_2_weight,client_2_delta_norm,client_2_probe_size,client_2_probe_mrr,client_2_probe_recall_at_k,client_2_probe_ndcg_at_k,client_2_shared_quality_size,client_2_shared_quality_mrr,client_2_shared_quality_recall_at_k,client_2_shared_quality_ndcg_at_k,client_2_shared_quality_mean_rank_before,client_2_shared_quality_mean_rank_after,client_2_shared_quality_mean_rank_delta,client_2_shared_quality_mean_positive_delta,client_2_shared_quality_mean_negative_delta,client_2_shared_quality_degradation_rate,client_2_shared_quality_improvement_rate,client_2_loss_source,client_2_loss_stage,client_3_loss,client_3_train_loss,client_3_num_examples,client_3_quality_score,client_3_quality_metric_name,client_3_quality_metric_value,client_3_size_weight,client_3_weight,client_3_delta_norm,client_3_probe_size,client_3_probe_mrr,client_3_probe_recall_at_k,client_3_probe_ndcg_at_k,client_3_shared_quality_size,client_3_shared_quality_mrr,client_3_shared_quality_recall_at_k,client_3_shared_quality_ndcg_at_k,client_3_shared_quality_mean_rank_before,client_3_shared_quality_mean_rank_after,client_3_shared_quality_mean_rank_delta,client_3_shared_quality_mean_positive_delta,client_3_shared_quality_mean_negative_delta,client_3_shared_quality_degradation_rate,client_3_shared_quality_improvement_rate,client_3_loss_source,client_3_loss_stage,client_4_loss,client_4_train_loss,client_4_num_examples,client_4_quality_score,client_4_quality_metric_name,client_4_quality_metric_value,client_4_size_weight,client_4_weight,client_4_delta_norm,client_4_probe_size,client_4_probe_mrr,client_4_probe_recall_at_k,client_4_probe_ndcg_at_k,client_4_shared_quality_size,client_4_shared_quality_mrr,client_4_shared_quality_recall_at_k,client_4_shared_quality_ndcg_at_k,client_4_shared_quality_mean_rank_before,client_4_shared_quality_mean_rank_after,client_4_shared_quality_mean_rank_delta,client_4_shared_quality_mean_positive_delta,client_4_shared_quality_mean_negative_delta,client_4_shared_quality_degradation_rate,client_4_shared_quality_improvement_rate,client_4_loss_source,client_4_loss_stage
1,0.7,42,4,equal,shuffle,0.70,0.012000,0.000957,0.072328,1805b3689478f81420a0e60facc48bba,0.024253,0.065000,0.033658,0.019739,0.072000,0.031826,0.015715,0.045000,0.022527,0.041409,0.090000,0.052784,27.857500,0.024620,0.065000,0.033961,0.024620,0.065000,0.033961,1,0.024620,0.033961,3,0.020040,0.076000,0.032825,0.011250,0.000931,640,0.000386,shared_rank_displacement,-0.011250,0.200000,0.060271,0.076770,160,0.013611,0.043750,0.020773,400,0.044912,0.092500,0.055958,27.857500,27.830000,-0.027500,0.050000,0.077500,0.022500,0.032500,shared_rank_displacement,post_local_training_shared_comparison,0.002500,0.001022,640,0.999222,shared_rank_displacement,-0.002500,0.200000,0.759456,0.074818,160,0.006979,0.031250,0.012687,400,0.044471,0.095000,0.056219,27.857500,27.817500,-0.040000,0.045000,0.085000,0.020000,0.037500,shared_rank_displacement,post_local_training_shared_comparison,0.011250,0.000922,640,0.000386,shared_rank_displacement,-0.011250,0.200000,0.060271,0.074825,160,0.016518,0.037500,0.021652,400,0.042537,0.092500,0.054223,27.857500,27.832500,-0.025000,0.047500,0.072500,0.025000,0.037500,shared_rank_displacement,post_local_training_shared_comparison,0.016250,0.000949,640,0.000004,shared_rank_displacement,-0.016250,0.200000,0.060003,0.076552,160,0.021563,0.050000,0.028132,400,0.043409,0.092500,0.054818,27.857500,27.832500,-0.025000,0.057500,0.082500,0.025000,0.037500,shared_rank_displacement,post_local_training_shared_comparison,0.018750,0.000962,640,0.000000,shared_rank_displacement,-0.018750,0.200000,0.060000,0.076050,160,0.018142,0.043750,0.024240,400,0.042427,0.092500,0.054126,27.857500,27.837500,-0.020000,0.057500,0.077500,0.027500,0.042500,shared_rank_displacement,post_local_training_shared_comparison
2,0.7,42,4,equal,shuffle,0.70,0.006250,0.000759,0.071104,0aefb4b2014da629060ab8890da88906,0.024253,0.065000,0.033658,0.019739,0.072000,0.031826,0.015715,0.045000,0.022527,0.041409,0.090000,0.052784,27.857500,0.026524,0.065000,0.035385,0.026524,0.065000,0.035385,2,0.026524,0.035385,3,0.020040,0.076000,0.032825,0.006250,0.000736,640,0.001309,shared_rank_displacement,-0.006250,0.200000,0.060916,0.074000,160,0.016094,0.043750,0.022626,400,0.046704,0.090000,0.056824,27.827500,27.785000,-0.042500,0.055000,0.097500,0.020000,0.045000,shared_rank_displacement,post_local_training_shared_comparison,0.002500,0.000806,640,0.022281,shared_rank_displacement,-0.002500,0.200000,0.075596,0.072983,160,0.006830,0.031250,0.012544,400,0.045423,0.095000,0.056918,27.827500,27.782500,-0.045000,0.050000,0.095000,0.022500,0.045000,shared_rank_displacement,post_local_training_shared_comparison,-0.002500,0.000735,640,0.975902,shared_rank_displacement,0.002500,0.200000,0.743131,0.074011,160,0.012351,0.037500,0.018527,400,0.047200,0.092500,0.057758,27.827500,27.775000,-0.052500,0.047500,0.100000,0.017500,0.050000,shared_rank_displacement,post_local_training_shared_comparison,0.017500,0.000757,640,0.000000,shared_rank_displacement,-0.017500,0.200000,0.060000,0.074652,160,0.021563,0.043750,0.026936,400,0.046350,0.090000,0.056527,27.827500,27.797500,-0.030000,0.065000,0.095000,0.030000,0.040000,shared_rank_displacement,post_local_training_shared_comparison,0.007500,0.000763,640,0.000509,shared_rank_displacement,-0.007500,0.200000,0.060356,0.075879,160,0.014427,0.043750,0.021425,400,0.045714,0.092500,0.056620,27.827500,27.790000,-0.037500,0.052500,0.090000,0.022500,0.040000,shared_rank_displacement,post_local_training_shared_comparison
3,0.7,42,4,equal,shuffle,0.70,0.039000,0.000604,0.069976,21d09d4c40c63a8584120b68a81cc473,0.024253,0.065000,0.033658,0.019739,0.072000,0.031826,0.015715,0.045000,0.022527,0.041409,0.090000,0.052784,27.857500,0.027474,0.060000,0.035020,0.027474,0.060000,0.035020,3,0.027474,0.035020,3,0.020040,0.076000,0.032825,0.035000,0.000585,640,0.021840,shared_rank_displacement,-0.035000,0.200000,0.075288,0.072814,160,0.012247,0.043750,0.019804,400,0.048152,0.090000,0.057873,27.780000,27.775000,-0.005000,0.075000,0.080000,0.040000,0.037500,shared_rank_displacement,post_local_training_shared_comparison,0.028750,0.000645,640,0.956209,shared_rank_displacement,-0.028750,0.200000,0.729346,0.072729,160,0.008445,0.031250,0.013815,400,0.047027,0.092500,0.057563,27.780000,27.765000,-0.015000,0.072500,0.087500,0.037500,0.042500,shared_rank_displacement,post_local_training_shared_comparison,0.043750,0.000580,640,0.000110,shared_rank_displacement,-0.043750,0.200000,0.060077,0.074070,160,0.014539,0.043750,0.021537,400,0.048180,0.090000,0.057902,27.780000,27.785000,0.005000,0.082500,0.077500,0.040000,0.040000,shared_rank_displacement,post_local_training_shared_comparison,0.052500,0.000604,640,0.000001,shared_rank_displacement,-0.052500,0.200000,0.060000,0.073109,160,0.021354,0.043750,0.026745,400,0.046610,0.090000,0.056732,27.780000,27.782500,0.002500,0.102500,0.100000,0.035000,0.035000,shared_rank_displacement,post_local_training_shared_comparison,0.035000,0.000606,640,0.021840,shared_rank_displacement,-0.035000,0.200000,0.075288,0.076499,160,0.016615,0.043750,0.022847,400,0.047801,0.090000,0.057598,27.780000,27.777500,-0.002500,0.072500,0.075000,0.035000,0.035000,shared_rank_displacement,post_local_training_shared_comparison
4,0.7,42,4,equal,shuffle,0.70,0.147500,0.000489,0.075640,f2b1ee6264ad8cfa70c4c4c25e857aaf,0.024253,0.065000,0.033658,0.019739,0.072000,0.031826,0.015715,0.045000,0.022527,0.041409,0.090000,0.052784,27.857500,0.025704,0.055000,0.032579,0.025704,0.055000,0.032579,3,0.027474,0.035020,3,0.020040,0.076000,0.032825,0.153750,0.000476,640,0.000002,shared_rank_displacement,-0.153750,0.200000,0.060002,0.076620,160,0.013497,0.050000,0.022046,400,0.045478,0.092500,0.056116,27.770000,27.860000,0.090000,0.217500,0.127500,0.062500,0.025000,shared_rank_displacement,post_local_training_shared_comparison,0.152500,0.000515,640,0.000005,shared_rank_displacement,-0.152500,0.200000,0.060004,0.077523,160,0.008914,0.031250,0.014261,400,0.045286,0.090000,0.055425,27.770000,27.852500,0.082500,0.222500,0.140000,0.062500,0.027500,shared_rank_displacement,post_local_training_shared_comparison,0.135000,0.000471,640,0.997691,shared_rank_displacement,-0.135000,0.200000,0.758384,0.078515,160,0.015417,0.037500,0.020587,400,0.045981,0.092500,0.056529,27.770000,27.840000,0.070000,0.200000,0.130000,0.060000,0.022500,shared_rank_displacement,post_local_training_shared_comparison,0.152500,0.000490,640,0.000005,shared_rank_displacement,-0.152500,0.200000,0.060004,0.075138,160,0.021042,0.043750,0.026471,400,0.046056,0.090000,0.056085,27.770000,27.857500,0.087500,0.217500,0.130000,0.052500,0.027500,shared_rank_displacement,post_local_training_shared_comparison,0.143750,0.000493,640,0.002296,shared_rank_displacement,-0.143750,0.200000,0.061607,0.080654,160,0.015365,0.031250,0.019233,400,0.044638,0.092500,0.055524,27.770000,27.845000,0.075000,0.212500,0.137500,0.062500,0.032500,shared_rank_displacement,post_local_training_shared_comparison
