round,alpha,seed,noisy_client_id,client_split_mode,noise_mode,noise_ratio,avg_loss,avg_train_loss,aggregated_delta_norm,aggregated_model_hash,pre_server_val_mrr,pre_server_val_recall_at_k,pre_server_val_ndcg_at_k,pre_final_test_mrr,pre_final_test_recall_at_k,pre_final_test_ndcg_at_k,pre_probe_mrr,pre_probe_recall_at_k,pre_probe_ndcg_at_k,pre_shared_quality_mrr,pre_shared_quality_recall_at_k,pre_shared_quality_ndcg_at_k,pre_shared_quality_mean_rank,server_val_mrr,server_val_recall_at_k,server_val_ndcg_at_k,post_mrr,post_recall_at_k,post_ndcg_at_k,best_round_so_far,best_server_val_mrr_so_far,best_server_val_ndcg_so_far,selected_best_round,final_test_mrr,final_test_recall_at_k,final_test_ndcg_at_k,client_0_loss,client_0_train_loss,client_0_num_examples,client_0_quality_score,client_0_quality_metric_name,client_0_quality_metric_value,client_0_size_weight,client_0_weight,client_0_delta_norm,client_0_probe_size,client_0_probe_mrr,client_0_probe_recall_at_k,client_0_probe_ndcg_at_k,client_0_shared_quality_size,client_0_shared_quality_mrr,client_0_shared_quality_recall_at_k,client_0_shared_quality_ndcg_at_k,client_0_shared_quality_mean_rank_before,client_0_shared_quality_mean_rank_after,client_0_shared_quality_mean_rank_delta,client_0_shared_quality_mean_positive_delta,client_0_shared_quality_mean_negative_delta,client_0_shared_quality_degradation_rate,client_0_shared_quality_improvement_rate,client_0_loss_source,client_0_loss_stage,client_1_loss,client_1_train_loss,client_1_num_examples,client_1_quality_score,client_1_quality_metric_name,client_1_quality_metric_value,client_1_size_weight,client_1_weight,client_1_delta_norm,client_1_probe_size,client_1_probe_mrr,client_1_probe_recall_at_k,client_1_probe_ndcg_at_k,client_1_shared_quality_size,client_1_shared_quality_mrr,client_1_shared_quality_recall_at_k,client_1_shared_quality_ndcg_at_k,client_1_shared_quality_mean_rank_before,client_1_shared_quality_mean_rank_after,client_1_shared_quality_mean_rank_delta,client_1_shared_quality_mean_positive_delta,client_1_shared_quality_mean_negative_delta,client_1_shared_quality_degradation_rate,client_1_shared_quality_improvement_rate,client_1_loss_source,client_1_loss_stage,client_2_loss,client_2_train_loss,client_2_num_examples,client_2_quality_score,client_2_quality_metric_name,client_2_quality_metric_value,client_2_size_weight,client_2_weight,client_2_delta_norm,client_2_probe_size,client_2_probe_mrr,client_2_probe_recall_at_k,client_2_probe_ndcg_at_k,client_2_shared_quality_size,client_2_shared_quality_mrr,client_2_shared_quality_recall_at_k,client_2_shared_quality_ndcg_at_k,client_2_shared_quality_mean_rank_before,client_2_shared_quality_mean_rank_after,client_2_shared_quality_mean_rank_delta,client_2_shared_quality_mean_positive_delta,client_2_shared_quality_mean_negative_delta,client_2_shared_quality_degradation_rate,client_2_shared_quality_improvement_rate,client_2_loss_source,client_2_loss_stage,client_3_loss,client_3_train_loss,client_3_num_examples,client_3_quality_score,client_3_quality_metric_name,client_3_quality_metric_value,client_3_size_weight,client_3_weight,client_3_delta_norm,client_3_probe_size,client_3_probe_mrr,client_3_probe_recall_at_k,client_3_probe_ndcg_at_k,client_3_shared_quality_size,client_3_shared_quality_mrr,client_3_shared_quality_recall_at_k,client_3_shared_quality_ndcg_at_k,client_3_shared_quality_mean_rank_before,client_3_shared_quality_mean_rank_after,client_3_shared_quality_mean_rank_delta,client_3_shared_quality_mean_positive_delta,client_3_shared_quality_mean_negative_delta,client_3_shared_quality_degradation_rate,client_3_shared_quality_improvement_rate,client_3_loss_source,client_3_loss_stage,client_4_loss,client_4_train_loss,client_4_num_examples,client_4_quality_score,client_4_quality_metric_name,client_4_quality_metric_value,client_4_size_weight,client_4_weight,client_4_delta_norm,client_4_probe_size,client_4_probe_mrr,client_4_probe_recall_at_k,client_4_probe_ndcg_at_k,client_4_shared_quality_size,client_4_shared_quality_mrr,client_4_shared_quality_recall_at_k,client_4_shared_quality_ndcg_at_k,client_4_shared_quality_mean_rank_before,client_4_shared_quality_mean_rank_after,client_4_shared_quality_mean_rank_delta,client_4_shared_quality_mean_positive_delta,client_4_shared_quality_mean_negative_delta,client_4_shared_quality_degradation_rate,client_4_shared_quality_improvement_rate,client_4_loss_source,client_4_loss_stage
1,1.0,42,4,equal,shuffle,0.70,0.012000,0.000957,0.074808,0cb75ca9f212c899340e28ba58fc9047,0.024253,0.065000,0.033658,0.019739,0.072000,0.031826,0.015715,0.045000,0.022527,0.041409,0.090000,0.052784,27.857500,0.024696,0.065000,0.034033,0.024696,0.065000,0.034033,1,0.024696,0.034033,3,0.020063,0.078000,0.033252,0.011250,0.000931,640,0.000386,shared_rank_displacement,-0.011250,0.200000,0.000386,0.076770,160,0.013611,0.043750,0.020773,400,0.044912,0.092500,0.055958,27.857500,27.830000,-0.027500,0.050000,0.077500,0.022500,0.032500,shared_rank_displacement,post_local_training_shared_comparison,0.002500,0.001022,640,0.999222,shared_rank_displacement,-0.002500,0.200000,0.999222,0.074818,160,0.006979,0.031250,0.012687,400,0.044471,0.095000,0.056219,27.857500,27.817500,-0.040000,0.045000,0.085000,0.020000,0.037500,shared_rank_displacement,post_local_training_shared_comparison,0.011250,0.000922,640,0.000386,shared_rank_displacement,-0.011250,0.200000,0.000386,0.074825,160,0.016518,0.037500,0.021652,400,0.042537,0.092500,0.054223,27.857500,27.832500,-0.025000,0.047500,0.072500,0.025000,0.037500,shared_rank_displacement,post_local_training_shared_comparison,0.016250,0.000949,640,0.000004,shared_rank_displacement,-0.016250,0.200000,0.000004,0.076552,160,0.021563,0.050000,0.028132,400,0.043409,0.092500,0.054818,27.857500,27.832500,-0.025000,0.057500,0.082500,0.025000,0.037500,shared_rank_displacement,post_local_training_shared_comparison,0.018750,0.000962,640,0.000000,shared_rank_displacement,-0.018750,0.200000,0.000000,0.076050,160,0.018142,0.043750,0.024240,400,0.042427,0.092500,0.054126,27.857500,27.837500,-0.020000,0.057500,0.077500,0.027500,0.042500,shared_rank_displacement,post_local_training_shared_comparison
2,1.0,42,4,equal,shuffle,0.70,0.013000,0.000759,0.070499,038a60eceb0188eef486b61d6da58e33,0.024253,0.065000,0.033658,0.019739,0.072000,0.031826,0.015715,0.045000,0.022527,0.041409,0.090000,0.052784,27.857500,0.026468,0.065000,0.035338,0.026468,0.065000,0.035338,2,0.026468,0.035338,3,0.020063,0.078000,0.033252,0.018750,0.000737,640,0.000008,shared_rank_displacement,-0.018750,0.200000,0.000008,0.073928,160,0.016719,0.050000,0.024432,400,0.046829,0.092500,0.057437,27.817500,27.797500,-0.020000,0.057500,0.077500,0.022500,0.042500,shared_rank_displacement,post_local_training_shared_comparison,0.006250,0.000802,640,0.499879,shared_rank_displacement,-0.006250,0.200000,0.499879,0.073151,160,0.007143,0.031250,0.012818,400,0.045457,0.095000,0.056954,27.817500,27.780000,-0.037500,0.050000,0.087500,0.022500,0.045000,shared_rank_displacement,post_local_training_shared_comparison,0.006250,0.000734,640,0.499879,shared_rank_displacement,-0.006250,0.200000,0.499879,0.073952,160,0.012351,0.037500,0.018527,400,0.047200,0.092500,0.057758,27.817500,27.777500,-0.040000,0.052500,0.092500,0.020000,0.047500,shared_rank_displacement,post_local_training_shared_comparison,0.018750,0.000757,640,0.000008,shared_rank_displacement,-0.018750,0.200000,0.000008,0.074450,160,0.021205,0.043750,0.026602,400,0.046572,0.092500,0.057220,27.817500,27.790000,-0.027500,0.065000,0.092500,0.032500,0.045000,shared_rank_displacement,post_local_training_shared_comparison,0.015000,0.000764,640,0.000225,shared_rank_displacement,-0.015000,0.200000,0.000225,0.075832,160,0.014427,0.043750,0.021425,400,0.045714,0.092500,0.056620,27.817500,27.792500,-0.025000,0.055000,0.080000,0.022500,0.040000,shared_rank_displacement,post_local_training_shared_comparison
3,1.0,42,4,equal,shuffle,0.70,0.027750,0.000605,0.072074,ed66d604cca564bf96911d0c10aadd6d,0.024253,0.065000,0.033658,0.019739,0.072000,0.031826,0.015715,0.045000,0.022527,0.041409,0.090000,0.052784,27.857500,0.027224,0.057500,0.034298,0.027224,0.057500,0.034298,3,0.027224,0.034298,3,0.020063,0.078000,0.033252,0.021250,0.000588,640,0.985880,shared_rank_displacement,-0.021250,0.200000,0.985880,0.072270,160,0.013289,0.043750,0.020622,400,0.048107,0.090000,0.057828,27.780000,27.767500,-0.012500,0.055000,0.067500,0.032500,0.027500,shared_rank_displacement,post_local_training_shared_comparison,0.027500,0.000639,640,0.000759,shared_rank_displacement,-0.027500,0.200000,0.000759,0.071963,160,0.008445,0.031250,0.013815,400,0.046677,0.090000,0.056749,27.780000,27.770000,-0.010000,0.065000,0.075000,0.037500,0.032500,shared_rank_displacement,post_local_training_shared_comparison,0.032500,0.000583,640,0.000002,shared_rank_displacement,-0.032500,0.200000,0.000002,0.073455,160,0.015327,0.043750,0.022247,400,0.048305,0.092500,0.058516,27.780000,27.775000,-0.005000,0.070000,0.075000,0.035000,0.037500,shared_rank_displacement,post_local_training_shared_comparison,0.032500,0.000605,640,0.000002,shared_rank_displacement,-0.032500,0.200000,0.000002,0.072576,160,0.021354,0.043750,0.026745,400,0.047027,0.090000,0.057059,27.780000,27.765000,-0.015000,0.080000,0.095000,0.035000,0.037500,shared_rank_displacement,post_local_training_shared_comparison,0.025000,0.000609,640,0.013356,shared_rank_displacement,-0.025000,0.200000,0.013356,0.075911,160,0.012865,0.037500,0.018733,400,0.047510,0.090000,0.057344,27.780000,27.767500,-0.012500,0.062500,0.075000,0.037500,0.035000,shared_rank_displacement,post_local_training_shared_comparison
4,1.0,42,4,equal,shuffle,0.70,0.148250,0.000492,0.075017,2038536dd8e9feecfe353bc6f3a39901,0.024253,0.065000,0.033658,0.019739,0.072000,0.031826,0.015715,0.045000,0.022527,0.041409,0.090000,0.052784,27.857500,0.026086,0.055000,0.032926,0.026086,0.055000,0.032926,3,0.027224,0.034298,3,0.020063,0.078000,0.033252,0.157500,0.000464,640,0.000003,shared_rank_displacement,-0.157500,0.200000,0.000003,0.074652,160,0.013497,0.050000,0.022046,400,0.044044,0.090000,0.054526,27.767500,27.860000,0.092500,0.222500,0.130000,0.062500,0.030000,shared_rank_displacement,post_local_training_shared_comparison,0.150000,0.000523,640,0.000131,shared_rank_displacement,-0.150000,0.200000,0.000131,0.074939,160,0.011830,0.031250,0.016376,400,0.044987,0.090000,0.055156,27.767500,27.847500,0.080000,0.220000,0.140000,0.062500,0.030000,shared_rank_displacement,post_local_training_shared_comparison,0.132500,0.000478,640,0.993824,shared_rank_displacement,-0.132500,0.200000,0.993824,0.075068,160,0.015858,0.050000,0.023588,400,0.045558,0.090000,0.055634,27.767500,27.832500,0.065000,0.200000,0.135000,0.060000,0.027500,shared_rank_displacement,post_local_training_shared_comparison,0.158750,0.000494,640,0.000002,shared_rank_displacement,-0.158750,0.200000,0.000002,0.074023,160,0.021250,0.043750,0.026662,400,0.045784,0.090000,0.055831,27.767500,27.862500,0.095000,0.222500,0.127500,0.055000,0.027500,shared_rank_displacement,post_local_training_shared_comparison,0.142500,0.000498,640,0.006040,shared_rank_displacement,-0.142500,0.200000,0.006040,0.079116,160,0.015365,0.031250,0.019233,400,0.045610,0.090000,0.055694,27.767500,27.840000,0.072500,0.212500,0.140000,0.062500,0.035000,shared_rank_displacement,post_local_training_shared_comparison
