round,alpha,seed,noise_mode,noise_ratio,avg_loss,aggregated_delta_norm,aggregated_model_hash,pre_mrr,pre_recall_at_k,pre_ndcg_at_k,post_mrr,post_recall_at_k,post_ndcg_at_k,client_0_loss,client_0_num_examples,client_0_quality_score,client_0_size_weight,client_0_weight,client_0_delta_norm,client_0_loss_source,client_0_loss_stage,client_1_loss,client_1_num_examples,client_1_quality_score,client_1_size_weight,client_1_weight,client_1_delta_norm,client_1_loss_source,client_1_loss_stage,client_2_loss,client_2_num_examples,client_2_quality_score,client_2_size_weight,client_2_weight,client_2_delta_norm,client_2_loss_source,client_2_loss_stage
1,0.3,42,mixed,0.70,0.000944,0.064517,0a2105b673eaff37ca6cab3cca6cb5ca,0.064305,0.120482,0.077805,0.065309,0.120482,0.078640,0.000918,167,0.342065,0.334000,0.336661,0.068596,lsr_training_loss,post_local_training,0.000994,168,0.315848,0.336000,0.329350,0.074558,lsr_training_loss,post_local_training,0.000918,165,0.342087,0.330000,0.333989,0.073151,lsr_training_loss,post_local_training
2,0.3,42,mixed,0.70,0.000725,0.061002,6c1a7d74100183d91f797c70143d8180,0.064305,0.120482,0.077805,0.066466,0.132530,0.082082,0.000715,167,0.336956,0.334000,0.334975,0.064786,lsr_training_loss,post_local_training,0.000763,168,0.316126,0.336000,0.329442,0.072087,lsr_training_loss,post_local_training,0.000695,165,0.346918,0.330000,0.335583,0.070208,lsr_training_loss,post_local_training
3,0.3,42,mixed,0.70,0.000571,0.056434,87dade9bf263d683761cbe5f8b854a2c,0.064305,0.120482,0.077805,0.067484,0.120482,0.080392,0.000578,167,0.328638,0.334000,0.332231,0.061235,lsr_training_loss,post_local_training,0.000591,168,0.321077,0.336000,0.331075,0.069224,lsr_training_loss,post_local_training,0.000542,165,0.350285,0.330000,0.336694,0.064462,lsr_training_loss,post_local_training
4,0.3,42,mixed,0.70,0.000475,0.054258,851ec2daf59a473fba139532e126982e,0.064305,0.120482,0.077805,0.067771,0.120482,0.080667,0.000488,167,0.323863,0.334000,0.330655,0.061708,lsr_training_loss,post_local_training,0.000489,168,0.322914,0.336000,0.331682,0.067297,lsr_training_loss,post_local_training,0.000447,165,0.353223,0.330000,0.337663,0.061102,lsr_training_loss,post_local_training
5,0.3,42,mixed,0.70,0.000414,0.054920,786e24beb34ec10e7430ecb7a0f757b7,0.064305,0.120482,0.077805,0.065161,0.120482,0.078624,0.000436,167,0.315900,0.334000,0.328027,0.062431,lsr_training_loss,post_local_training,0.000417,168,0.330353,0.336000,0.334136,0.067029,lsr_training_loss,post_local_training,0.000389,165,0.353747,0.330000,0.337836,0.062487,lsr_training_loss,post_local_training
6,0.3,42,mixed,0.70,0.000375,0.059425,2c3817bc385e09ea3c34620465629e16,0.064305,0.120482,0.077805,0.062751,0.108434,0.073963,0.000393,167,0.317214,0.334000,0.328461,0.066935,lsr_training_loss,post_local_training,0.000372,168,0.335091,0.336000,0.335700,0.068695,lsr_training_loss,post_local_training,0.000359,165,0.347695,0.330000,0.335839,0.067683,lsr_training_loss,post_local_training
7,0.3,42,mixed,0.70,0.000346,0.062180,75b10ce89d8317500d2715e27172f80b,0.064305,0.120482,0.077805,0.045898,0.096386,0.058519,0.000365,167,0.315242,0.334000,0.327810,0.068652,lsr_training_loss,post_local_training,0.000340,168,0.339010,0.336000,0.336993,0.070106,lsr_training_loss,post_local_training,0.000333,165,0.345748,0.330000,0.335197,0.070419,lsr_training_loss,post_local_training
8,0.3,42,mixed,0.70,0.000330,0.065001,c6af91094e45b7ae920e7590c65f5d80,0.064305,0.120482,0.077805,0.036847,0.084337,0.047720,0.000346,167,0.317213,0.334000,0.328460,0.069241,lsr_training_loss,post_local_training,0.000331,168,0.331622,0.336000,0.334555,0.075121,lsr_training_loss,post_local_training,0.000312,165,0.351164,0.330000,0.336984,0.072134,lsr_training_loss,post_local_training
