round,alpha,seed,noise_mode,noise_ratio,avg_loss,aggregated_delta_norm,aggregated_model_hash,pre_mrr,pre_recall_at_k,pre_ndcg_at_k,post_mrr,post_recall_at_k,post_ndcg_at_k,client_0_loss,client_0_num_examples,client_0_quality_score,client_0_size_weight,client_0_weight,client_0_delta_norm,client_0_loss_source,client_0_loss_stage,client_1_loss,client_1_num_examples,client_1_quality_score,client_1_size_weight,client_1_weight,client_1_delta_norm,client_1_loss_source,client_1_loss_stage,client_2_loss,client_2_num_examples,client_2_quality_score,client_2_size_weight,client_2_weight,client_2_delta_norm,client_2_loss_source,client_2_loss_stage
1,0.7,42,shuffle,0.70,0.000944,0.064496,6916f41963942dce8f6a73bdf27e112c,0.064305,0.120482,0.077805,0.065309,0.120482,0.078640,0.000918,167,0.342065,0.334000,0.339323,0.068596,lsr_training_loss,post_local_training,0.000994,168,0.315848,0.336000,0.322699,0.074558,lsr_training_loss,post_local_training,0.000918,165,0.342087,0.330000,0.337978,0.073151,lsr_training_loss,post_local_training
2,0.7,42,shuffle,0.70,0.000725,0.060989,7651676c1ee6505b5171467aeff17f0d,0.064305,0.120482,0.077805,0.066466,0.132530,0.082082,0.000715,167,0.337008,0.334000,0.335985,0.064788,lsr_training_loss,post_local_training,0.000763,168,0.315963,0.336000,0.322776,0.072092,lsr_training_loss,post_local_training,0.000695,165,0.347029,0.330000,0.341239,0.070206,lsr_training_loss,post_local_training
3,0.7,42,shuffle,0.70,0.000571,0.056544,f87de42366616a57d68fcd7f58d45006,0.064305,0.120482,0.077805,0.067484,0.120482,0.080392,0.000579,167,0.328466,0.334000,0.330348,0.061314,lsr_training_loss,post_local_training,0.000593,168,0.320666,0.336000,0.325879,0.069339,lsr_training_loss,post_local_training,0.000542,165,0.350868,0.330000,0.343773,0.064561,lsr_training_loss,post_local_training
4,0.7,42,shuffle,0.70,0.000475,0.054303,476cbfbcfe8906ea367f59536529f267,0.064305,0.120482,0.077805,0.067771,0.120482,0.080667,0.000488,167,0.323694,0.334000,0.327198,0.061910,lsr_training_loss,post_local_training,0.000490,168,0.322594,0.336000,0.327152,0.067435,lsr_training_loss,post_local_training,0.000447,165,0.353713,0.330000,0.345650,0.061056,lsr_training_loss,post_local_training
5,0.7,42,shuffle,0.70,0.000415,0.055086,4065313eb57a4e9d4ff47d122260ed90,0.064305,0.120482,0.077805,0.065161,0.120482,0.078624,0.000436,167,0.315987,0.334000,0.322111,0.062477,lsr_training_loss,post_local_training,0.000418,168,0.330158,0.336000,0.332144,0.066840,lsr_training_loss,post_local_training,0.000390,165,0.353855,0.330000,0.345745,0.062956,lsr_training_loss,post_local_training
6,0.7,42,shuffle,0.70,0.000375,0.059784,e68fc9f11826bf98e300fba34c4915c1,0.064305,0.120482,0.077805,0.062751,0.108434,0.073963,0.000393,167,0.317260,0.334000,0.322952,0.067158,lsr_training_loss,post_local_training,0.000373,168,0.334807,0.336000,0.335213,0.068842,lsr_training_loss,post_local_training,0.000359,165,0.347932,0.330000,0.341835,0.068191,lsr_training_loss,post_local_training
7,0.7,42,shuffle,0.70,0.000347,0.062465,146421869de6ff473025eb974585bd2c,0.064305,0.120482,0.077805,0.045683,0.096386,0.058303,0.000366,167,0.314857,0.334000,0.321366,0.068878,lsr_training_loss,post_local_training,0.000340,168,0.338995,0.336000,0.337976,0.070287,lsr_training_loss,post_local_training,0.000333,165,0.346148,0.330000,0.340658,0.070749,lsr_training_loss,post_local_training
8,0.7,42,shuffle,0.70,0.000330,0.065491,56c642c8c081500d446a58b0046a31f2,0.064305,0.120482,0.077805,0.036847,0.084337,0.047720,0.000347,167,0.316088,0.334000,0.322178,0.069454,lsr_training_loss,post_local_training,0.000333,168,0.329484,0.336000,0.331699,0.075764,lsr_training_loss,post_local_training,0.000309,165,0.354428,0.330000,0.346123,0.072475,lsr_training_loss,post_local_training
