round,alpha,seed,noise_mode,noise_ratio,avg_loss,aggregated_delta_norm,aggregated_model_hash,pre_mrr,pre_recall_at_k,pre_ndcg_at_k,post_mrr,post_recall_at_k,post_ndcg_at_k,client_0_loss,client_0_num_examples,client_0_quality_score,client_0_size_weight,client_0_weight,client_0_delta_norm,client_0_loss_source,client_0_loss_stage,client_1_loss,client_1_num_examples,client_1_quality_score,client_1_size_weight,client_1_weight,client_1_delta_norm,client_1_loss_source,client_1_loss_stage,client_2_loss,client_2_num_examples,client_2_quality_score,client_2_size_weight,client_2_weight,client_2_delta_norm,client_2_loss_source,client_2_loss_stage
1,0.0,42,shuffle,0.70,0.000701,0.244944,5b061d464af08634bd95912b56451aee,0.049476,0.096667,0.060667,0.049456,0.100000,0.061179,0.000685,502,0.340858,0.334667,0.334667,0.266201,lsr_training_loss,post_local_training,0.000730,503,0.319564,0.335333,0.335333,0.261072,lsr_training_loss,post_local_training,0.000687,495,0.339578,0.330000,0.330000,0.256115,lsr_training_loss,post_local_training
2,0.0,42,shuffle,0.70,0.000343,0.284590,da4bef272781dc92ea2f87f4d8dd4ea2,0.049476,0.096667,0.060667,0.011865,0.036667,0.017713,0.000324,502,0.352011,0.334667,0.334667,0.293204,lsr_training_loss,post_local_training,0.000355,503,0.321735,0.335333,0.335333,0.294955,lsr_training_loss,post_local_training,0.000350,495,0.326254,0.330000,0.330000,0.300414,lsr_training_loss,post_local_training
3,0.0,42,shuffle,0.70,0.000142,0.258000,61cc566c9699944d3df1977dbbedad84,0.049476,0.096667,0.060667,0.000952,0.006667,0.002222,0.000136,502,0.347554,0.334667,0.334667,0.267174,lsr_training_loss,post_local_training,0.000147,503,0.322058,0.335333,0.335333,0.262051,lsr_training_loss,post_local_training,0.000143,495,0.330388,0.330000,0.330000,0.271697,lsr_training_loss,post_local_training
4,0.0,42,shuffle,0.70,0.000060,0.261689,85b35471f468854240362af97111487f,0.049476,0.096667,0.060667,0.000000,0.000000,0.000000,0.000054,502,0.370696,0.334667,0.334667,0.243934,lsr_training_loss,post_local_training,0.000064,503,0.310801,0.335333,0.335333,0.278509,lsr_training_loss,post_local_training,0.000063,495,0.318503,0.330000,0.330000,0.293491,lsr_training_loss,post_local_training
5,0.0,42,shuffle,0.70,0.000031,0.231939,3214974244e053a02d7d9798d664dbd8,0.049476,0.096667,0.060667,0.000000,0.000000,0.000000,0.000029,502,0.354349,0.334667,0.334667,0.235060,lsr_training_loss,post_local_training,0.000031,503,0.327571,0.335333,0.335333,0.235949,lsr_training_loss,post_local_training,0.000032,495,0.318080,0.330000,0.330000,0.249544,lsr_training_loss,post_local_training
6,0.0,42,shuffle,0.70,0.000023,0.219569,5f163f9ed53c22e63bd5b5245ce3dc98,0.049476,0.096667,0.060667,0.000000,0.000000,0.000000,0.000022,502,0.353108,0.334667,0.334667,0.227145,lsr_training_loss,post_local_training,0.000024,503,0.318528,0.335333,0.335333,0.228643,lsr_training_loss,post_local_training,0.000023,495,0.328364,0.330000,0.330000,0.233914,lsr_training_loss,post_local_training
7,0.0,42,shuffle,0.70,0.000012,0.153758,162b247d7717256d4d6c30be3aaf4c38,0.049476,0.096667,0.060667,0.000000,0.000000,0.000000,0.000011,502,0.343332,0.334667,0.334667,0.161072,lsr_training_loss,post_local_training,0.000013,503,0.296448,0.335333,0.335333,0.177775,lsr_training_loss,post_local_training,0.000011,495,0.360220,0.330000,0.330000,0.159179,lsr_training_loss,post_local_training
8,0.0,42,shuffle,0.70,0.000007,0.131464,8195359382e7b5e31da69eb821c34518,0.049476,0.096667,0.060667,0.000000,0.000000,0.000000,0.000007,502,0.325578,0.334667,0.334667,0.139309,lsr_training_loss,post_local_training,0.000008,503,0.312847,0.335333,0.335333,0.142486,lsr_training_loss,post_local_training,0.000007,495,0.361574,0.330000,0.330000,0.138621,lsr_training_loss,post_local_training
