round,alpha,seed,noise_mode,noise_ratio,avg_loss,aggregated_delta_norm,aggregated_model_hash,pre_mrr,pre_recall_at_k,pre_ndcg_at_k,post_mrr,post_recall_at_k,post_ndcg_at_k,client_0_loss,client_0_num_examples,client_0_quality_score,client_0_size_weight,client_0_weight,client_0_delta_norm,client_0_loss_source,client_0_loss_stage,client_1_loss,client_1_num_examples,client_1_quality_score,client_1_size_weight,client_1_weight,client_1_delta_norm,client_1_loss_source,client_1_loss_stage,client_2_loss,client_2_num_examples,client_2_quality_score,client_2_size_weight,client_2_weight,client_2_delta_norm,client_2_loss_source,client_2_loss_stage
1,0.3,42,shuffle,0.70,0.000701,0.244930,f103919072305c244750ea0e6d212529,0.049476,0.096667,0.060667,0.049456,0.100000,0.061179,0.000685,502,0.340858,0.334667,0.336710,0.266201,lsr_training_loss,post_local_training,0.000730,503,0.319564,0.335333,0.330129,0.261072,lsr_training_loss,post_local_training,0.000687,495,0.339578,0.330000,0.333161,0.256115,lsr_training_loss,post_local_training
2,0.3,42,shuffle,0.70,0.000343,0.284488,23e3452263a12fb123f8b720b5951e50,0.049476,0.096667,0.060667,0.011865,0.036667,0.017713,0.000324,502,0.351956,0.334667,0.340372,0.293188,lsr_training_loss,post_local_training,0.000355,503,0.321552,0.335333,0.330785,0.294999,lsr_training_loss,post_local_training,0.000349,495,0.326492,0.330000,0.328842,0.300218,lsr_training_loss,post_local_training
3,0.3,42,shuffle,0.70,0.000142,0.257920,76056e65975d646fbc659c90b00b29f5,0.049476,0.096667,0.060667,0.001032,0.006667,0.002298,0.000136,502,0.346810,0.334667,0.338674,0.267286,lsr_training_loss,post_local_training,0.000146,503,0.322798,0.335333,0.331197,0.261791,lsr_training_loss,post_local_training,0.000143,495,0.330391,0.330000,0.330129,0.271511,lsr_training_loss,post_local_training
4,0.3,42,shuffle,0.70,0.000060,0.261483,6ead2a29a1983aadc72456007b5e779f,0.049476,0.096667,0.060667,0.000000,0.000000,0.000000,0.000054,502,0.369652,0.334667,0.346212,0.244313,lsr_training_loss,post_local_training,0.000064,503,0.311563,0.335333,0.327489,0.278511,lsr_training_loss,post_local_training,0.000063,495,0.318785,0.330000,0.326299,0.293724,lsr_training_loss,post_local_training
5,0.3,42,shuffle,0.70,0.000031,0.231816,3b042c346a1cde4a7b39895581a67f3e,0.049476,0.096667,0.060667,0.000000,0.000000,0.000000,0.000029,502,0.354324,0.334667,0.341153,0.234350,lsr_training_loss,post_local_training,0.000031,503,0.329026,0.335333,0.333252,0.236482,lsr_training_loss,post_local_training,0.000032,495,0.316650,0.330000,0.325595,0.249712,lsr_training_loss,post_local_training
6,0.3,42,shuffle,0.70,0.000023,0.220176,cff24e04dbe6ebda864b103414bdfa89,0.049476,0.096667,0.060667,0.000000,0.000000,0.000000,0.000022,502,0.352605,0.334667,0.340586,0.227761,lsr_training_loss,post_local_training,0.000024,503,0.319250,0.335333,0.330026,0.228950,lsr_training_loss,post_local_training,0.000023,495,0.328145,0.330000,0.329388,0.234570,lsr_training_loss,post_local_training
7,0.3,42,shuffle,0.70,0.000012,0.154436,fea04a33ac8719d97abbf4f4ee17998b,0.049476,0.096667,0.060667,0.000000,0.000000,0.000000,0.000012,502,0.343807,0.334667,0.337683,0.162441,lsr_training_loss,post_local_training,0.000013,503,0.293789,0.335333,0.321624,0.177587,lsr_training_loss,post_local_training,0.000011,495,0.362404,0.330000,0.340693,0.161256,lsr_training_loss,post_local_training
8,0.3,42,shuffle,0.70,0.000007,0.133221,b9e16b406cd2922abf588e5cb171ed4e,0.049476,0.096667,0.060667,0.000000,0.000000,0.000000,0.000007,502,0.328569,0.334667,0.332654,0.141115,lsr_training_loss,post_local_training,0.000008,503,0.311247,0.335333,0.327385,0.145270,lsr_training_loss,post_local_training,0.000007,495,0.360184,0.330000,0.339961,0.139743,lsr_training_loss,post_local_training
