round,alpha,seed,noise_mode,noise_ratio,avg_loss,avg_train_loss,aggregated_delta_norm,aggregated_model_hash,pre_mrr,pre_recall_at_k,pre_ndcg_at_k,pre_probe_mrr,pre_probe_recall_at_k,pre_probe_ndcg_at_k,post_mrr,post_recall_at_k,post_ndcg_at_k,client_0_loss,client_0_train_loss,client_0_num_examples,client_0_quality_score,client_0_quality_metric_name,client_0_quality_metric_value,client_0_size_weight,client_0_weight,client_0_delta_norm,client_0_probe_size,client_0_probe_mrr,client_0_probe_recall_at_k,client_0_probe_ndcg_at_k,client_0_loss_source,client_0_loss_stage,client_1_loss,client_1_train_loss,client_1_num_examples,client_1_quality_score,client_1_quality_metric_name,client_1_quality_metric_value,client_1_size_weight,client_1_weight,client_1_delta_norm,client_1_probe_size,client_1_probe_mrr,client_1_probe_recall_at_k,client_1_probe_ndcg_at_k,client_1_loss_source,client_1_loss_stage,client_2_loss,client_2_train_loss,client_2_num_examples,client_2_quality_score,client_2_quality_metric_name,client_2_quality_metric_value,client_2_size_weight,client_2_weight,client_2_delta_norm,client_2_probe_size,client_2_probe_mrr,client_2_probe_recall_at_k,client_2_probe_ndcg_at_k,client_2_loss_source,client_2_loss_stage
1,1.0,42,shuffle,0.70,0.985747,0.001066,0.058515,d3a49f9b9b1c6e338be17630fdd3896f,0.052878,0.116667,0.067838,0.016667,0.016667,0.016667,0.053782,0.120000,0.069303,0.990576,0.001051,500,0.331705,mean_mrr_ndcg,0.009424,0.333333,0.331705,0.062458,60,0.008333,0.016667,0.010515,clean_probe_retrieval,post_local_training_clean_probe,0.983333,0.001143,500,0.334148,mean_mrr_ndcg,0.016667,0.333333,0.334148,0.061518,60,0.016667,0.016667,0.016667,clean_probe_retrieval,post_local_training_clean_probe,0.983333,0.001002,500,0.334148,mean_mrr_ndcg,0.016667,0.333333,0.334148,0.066586,60,0.016667,0.016667,0.016667,clean_probe_retrieval,post_local_training_clean_probe
2,1.0,42,shuffle,0.70,0.985747,0.000874,0.057304,94f5905589ccbcba10f424e411f8e830,0.052878,0.116667,0.067838,0.016667,0.016667,0.016667,0.055587,0.120000,0.070628,0.990576,0.000872,500,0.331705,mean_mrr_ndcg,0.009424,0.333333,0.331705,0.061520,60,0.008333,0.016667,0.010515,clean_probe_retrieval,post_local_training_clean_probe,0.983333,0.000945,500,0.334148,mean_mrr_ndcg,0.016667,0.333333,0.334148,0.060596,60,0.016667,0.016667,0.016667,clean_probe_retrieval,post_local_training_clean_probe,0.983333,0.000807,500,0.334148,mean_mrr_ndcg,0.016667,0.333333,0.334148,0.064973,60,0.016667,0.016667,0.016667,clean_probe_retrieval,post_local_training_clean_probe
3,1.0,42,shuffle,0.70,0.985747,0.000722,0.055884,b952cbf8daaf2338c3f099b715bedf7a,0.052878,0.116667,0.067838,0.016667,0.016667,0.016667,0.058948,0.120000,0.073056,0.990576,0.000724,500,0.331705,mean_mrr_ndcg,0.009424,0.333333,0.331705,0.060367,60,0.008333,0.016667,0.010515,clean_probe_retrieval,post_local_training_clean_probe,0.983333,0.000786,500,0.334148,mean_mrr_ndcg,0.016667,0.333333,0.334148,0.060001,60,0.016667,0.016667,0.016667,clean_probe_retrieval,post_local_training_clean_probe,0.983333,0.000654,500,0.334148,mean_mrr_ndcg,0.016667,0.333333,0.334148,0.063043,60,0.016667,0.016667,0.016667,clean_probe_retrieval,post_local_training_clean_probe
4,1.0,42,shuffle,0.70,0.983333,0.000598,0.054934,2339cdbdf2a9b460db631be68fb5bde4,0.052878,0.116667,0.067838,0.016667,0.016667,0.016667,0.056012,0.120000,0.070824,0.983333,0.000604,500,0.333333,mean_mrr_ndcg,0.016667,0.333333,0.333333,0.059407,60,0.016667,0.016667,0.016667,clean_probe_retrieval,post_local_training_clean_probe,0.983333,0.000658,500,0.333333,mean_mrr_ndcg,0.016667,0.333333,0.333333,0.059640,60,0.016667,0.016667,0.016667,clean_probe_retrieval,post_local_training_clean_probe,0.983333,0.000532,500,0.333333,mean_mrr_ndcg,0.016667,0.333333,0.333333,0.062107,60,0.016667,0.016667,0.016667,clean_probe_retrieval,post_local_training_clean_probe
