round,seed,target_dataset,avg_loss,aggregated_delta_norm,aggregated_model_hash,num_selected,num_total,best_round_so_far,selected_best_round,pre_server_val_mrr,pre_server_val_recall_at_k,pre_server_val_ndcg_at_k,pre_final_test_mrr,pre_final_test_recall_at_k,pre_final_test_ndcg_at_k,server_val_mrr,server_val_recall_at_k,server_val_ndcg_at_k,final_test_mrr,final_test_recall_at_k,final_test_ndcg_at_k,client_0_domain,client_0_relevance,client_0_selected,client_0_loss,client_0_num_examples,client_0_domain_weight,client_0_delta_norm,client_1_domain,client_1_relevance,client_1_selected,client_1_loss,client_1_num_examples,client_1_domain_weight,client_1_delta_norm,client_2_domain,client_2_relevance,client_2_selected,client_2_loss,client_2_num_examples,client_2_domain_weight,client_2_delta_norm,client_3_domain,client_3_relevance,client_3_selected,client_3_loss,client_3_num_examples,client_3_domain_weight,client_3_delta_norm,client_4_domain,client_4_relevance,client_4_selected,client_4_loss,client_4_num_examples,client_4_domain_weight,client_4_delta_norm
1,256,nfcorpus,1.660834,0.122612,a6b71c86a3b17c5b690a8cf3bead8452,5,5,1,2,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022041,0.057500,0.030119,0.027888,0.080000,0.039784,medical,1.0000,1,2.180474,4000,0.728730,0.168524,science,0.4791,1,0.208754,239,0.043542,0.025639,finance,0.0130,1,0.315385,168,0.030607,0.020171,argument,0.0422,1,0.136371,981,0.178721,0.054783,biomedical,0.3212,1,1.562042,101,0.018400,0.017041
2,256,nfcorpus,1.532070,0.105411,27e2e102f2a229ff539f013b911f09ff,5,5,2,2,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022660,0.062500,0.031679,0.027888,0.080000,0.039784,medical,1.0000,1,2.004391,4000,0.728730,0.144961,science,0.4791,1,0.222777,239,0.043542,0.025992,finance,0.0130,1,0.312639,168,0.030607,0.020156,argument,0.0422,1,0.133575,981,0.178721,0.056169,biomedical,0.3212,1,1.536276,101,0.018400,0.016993
3,256,nfcorpus,1.447118,0.093053,b5cbc8db302f87b40fe086edd22a5c8e,5,5,2,2,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022170,0.060000,0.030755,0.027888,0.080000,0.039784,medical,1.0000,1,1.888203,4000,0.728730,0.127974,science,0.4791,1,0.239035,239,0.043542,0.026450,finance,0.0130,1,0.313024,168,0.030607,0.020149,argument,0.0422,1,0.130629,981,0.178721,0.057952,biomedical,0.3212,1,1.510436,101,0.018400,0.016974
4,256,nfcorpus,1.388009,0.084304,0e47ea6b3b6b4efce6cf52db1081dd00,5,5,2,2,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022041,0.060000,0.030650,0.027888,0.080000,0.039784,medical,1.0000,1,1.807336,4000,0.728730,0.115783,science,0.4791,1,0.253872,239,0.043542,0.027029,finance,0.0130,1,0.314331,168,0.030607,0.020143,argument,0.0422,1,0.127665,981,0.178721,0.059649,biomedical,0.3212,1,1.492249,101,0.018400,0.016980
5,256,nfcorpus,1.343891,0.078706,08e7833c6e858648ee42c98cae0172c0,5,5,2,2,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022006,0.060000,0.030614,0.027888,0.080000,0.039784,medical,1.0000,1,1.747045,4000,0.728730,0.107767,science,0.4791,1,0.264981,239,0.043542,0.027615,finance,0.0130,1,0.315350,168,0.030607,0.020137,argument,0.0422,1,0.124642,981,0.178721,0.060844,biomedical,0.3212,1,1.483748,101,0.018400,0.016998
6,256,nfcorpus,1.307876,0.075562,c926f29935ba4c55bd5cd2f2d738541b,5,5,2,2,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021891,0.060000,0.030510,0.027888,0.080000,0.039784,medical,1.0000,1,1.698010,4000,0.728730,0.103087,science,0.4791,1,0.271336,239,0.043542,0.028030,finance,0.0130,1,0.315660,168,0.030607,0.020132,argument,0.0422,1,0.121486,981,0.178721,0.061363,biomedical,0.3212,1,1.483518,101,0.018400,0.017020
7,256,nfcorpus,1.275961,0.073955,ef8e820f218641aa5ef98d0b2a9911ff,5,5,2,2,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021710,0.057500,0.029859,0.027888,0.080000,0.039784,medical,1.0000,1,1.654773,4000,0.728730,0.100597,science,0.4791,1,0.273303,239,0.043542,0.028187,finance,0.0130,1,0.315325,168,0.030607,0.020126,argument,0.0422,1,0.118210,981,0.178721,0.061137,biomedical,0.3212,1,1.489135,101,0.018400,0.017037
8,256,nfcorpus,1.246013,0.073144,856ba4b467e28bef60b44cff87e349a9,5,5,2,2,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021825,0.057500,0.029960,0.027888,0.080000,0.039784,medical,1.0000,1,1.614341,4000,0.728730,0.099329,science,0.4791,1,0.272101,239,0.043542,0.028114,finance,0.0130,1,0.314594,168,0.030607,0.020122,argument,0.0422,1,0.114952,981,0.178721,0.060254,biomedical,0.3212,1,1.498509,101,0.018400,0.017045
