round,seed,target_dataset,avg_loss,aggregated_delta_norm,aggregated_model_hash,num_selected,num_total,best_round_so_far,selected_best_round,pre_server_val_mrr,pre_server_val_recall_at_k,pre_server_val_ndcg_at_k,pre_final_test_mrr,pre_final_test_recall_at_k,pre_final_test_ndcg_at_k,server_val_mrr,server_val_recall_at_k,server_val_ndcg_at_k,final_test_mrr,final_test_recall_at_k,final_test_ndcg_at_k,client_0_domain,client_0_relevance,client_0_selected,client_0_loss,client_0_num_examples,client_0_domain_weight,client_0_delta_norm,client_1_domain,client_1_relevance,client_1_selected,client_1_loss,client_1_num_examples,client_1_domain_weight,client_1_delta_norm,client_2_domain,client_2_relevance,client_2_selected,client_2_loss,client_2_num_examples,client_2_domain_weight,client_2_delta_norm,client_3_domain,client_3_relevance,client_3_selected,client_3_loss,client_3_num_examples,client_3_domain_weight,client_3_delta_norm,client_4_domain,client_4_relevance,client_4_selected,client_4_loss,client_4_num_examples,client_4_domain_weight,client_4_delta_norm
1,123,nfcorpus,1.695655,0.161005,57898842879ec4b8b3adb9834c2f051c,5,5,1,4,0.015732,0.042500,0.021899,0.026921,0.060000,0.034617,0.016638,0.047500,0.023687,0.030691,0.064000,0.038412,medical,1.0000,1,2.236108,4000,0.954838,0.168677,science,0.4791,1,0.172013,237,0.027104,0.025911,finance,0.0130,1,0.333919,166,0.000515,0.020357,argument,0.0422,1,0.102170,980,0.009875,0.056618,biomedical,0.3212,1,1.565196,100,0.007668,0.017888
2,123,nfcorpus,1.530255,0.133046,2c157b7f9b11bdd54e743430afa26a5c,5,5,1,4,0.015732,0.042500,0.021899,0.026921,0.060000,0.034617,0.016399,0.045000,0.022980,0.030691,0.064000,0.038412,medical,1.0000,1,2.009721,4000,0.954838,0.139451,science,0.4791,1,0.182302,237,0.027104,0.026806,finance,0.0130,1,0.324372,166,0.000515,0.020341,argument,0.0422,1,0.104221,980,0.009875,0.059857,biomedical,0.3212,1,1.523158,100,0.007668,0.017842
3,123,nfcorpus,1.431942,0.114523,6032d43a08e086fd69684037fe0bd104,5,5,3,4,0.015732,0.042500,0.021899,0.026921,0.060000,0.034617,0.016680,0.045000,0.023265,0.030691,0.064000,0.038412,medical,1.0000,1,1.874780,4000,0.954838,0.120060,science,0.4791,1,0.197055,237,0.027104,0.028050,finance,0.0130,1,0.319653,166,0.000515,0.020351,argument,0.0422,1,0.106281,980,0.009875,0.063021,biomedical,0.3212,1,1.482950,100,0.007668,0.017822
4,123,nfcorpus,1.368912,0.102943,443e085c20ed40799dfbd45b4346ba10,5,5,4,4,0.015732,0.042500,0.021899,0.026921,0.060000,0.034617,0.017138,0.047500,0.024173,0.030691,0.064000,0.038412,medical,1.0000,1,1.787855,4000,0.954838,0.107886,science,0.4791,1,0.212235,237,0.027104,0.029385,finance,0.0130,1,0.317564,166,0.000515,0.020354,argument,0.0422,1,0.107953,980,0.009875,0.065490,biomedical,0.3212,1,1.455134,100,0.007668,0.017844
