round,seed,target_dataset,avg_loss,aggregated_delta_norm,aggregated_model_hash,num_selected,num_total,best_round_so_far,selected_best_round,pre_server_val_mrr,pre_server_val_recall_at_k,pre_server_val_ndcg_at_k,pre_final_test_mrr,pre_final_test_recall_at_k,pre_final_test_ndcg_at_k,server_val_mrr,server_val_recall_at_k,server_val_ndcg_at_k,final_test_mrr,final_test_recall_at_k,final_test_ndcg_at_k,client_0_domain,client_0_relevance,client_0_selected,client_0_loss,client_0_num_examples,client_0_domain_weight,client_0_delta_norm,client_1_domain,client_1_relevance,client_1_selected,client_1_loss,client_1_num_examples,client_1_domain_weight,client_1_delta_norm,client_2_domain,client_2_relevance,client_2_selected,client_2_loss,client_2_num_examples,client_2_domain_weight,client_2_delta_norm,client_3_domain,client_3_relevance,client_3_selected,client_3_loss,client_3_num_examples,client_3_domain_weight,client_3_delta_norm,client_4_domain,client_4_relevance,client_4_selected,client_4_loss,client_4_num_examples,client_4_domain_weight,client_4_delta_norm
1,123,nfcorpus,1.769772,0.025163,2275e066c953e877c7d7d4ef6fe09fe2,5,5,1,1,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022200,0.057500,0.030264,0.027137,0.080000,0.039158,medical,1.0000,1,2.335860,4000,0.538929,0.046875,science,0.4791,1,0.175270,239,0.258191,0.006612,finance,0.0130,1,0.287170,168,0.007004,0.005125,argument,0.0422,1,0.117812,981,0.022748,0.014439,biomedical,0.3212,1,1.634996,101,0.173128,0.004258
2,123,nfcorpus,1.730472,0.024242,3c9170d194a48340af587453496fa039,5,5,1,1,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022200,0.057500,0.030264,0.027137,0.080000,0.039158,medical,1.0000,1,2.281949,4000,0.538929,0.045192,science,0.4791,1,0.176099,239,0.258191,0.006641,finance,0.0130,1,0.286206,168,0.007004,0.005125,argument,0.0422,1,0.118317,981,0.022748,0.014537,biomedical,0.3212,1,1.628974,101,0.173128,0.004253
3,123,nfcorpus,1.694996,0.023378,d8c9dc1dfc2a9e874bef66ce7e30c182,5,5,1,1,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022200,0.057500,0.030264,0.027137,0.080000,0.039158,medical,1.0000,1,2.233270,4000,0.538929,0.043611,science,0.4791,1,0.177070,239,0.258191,0.006674,finance,0.0130,1,0.285399,168,0.007004,0.005125,argument,0.0422,1,0.118832,981,0.022748,0.014647,biomedical,0.3212,1,1.622892,101,0.173128,0.004248
4,123,nfcorpus,1.662892,0.022567,965ebd3ae0897475fc5f1da705bf91e5,5,5,1,1,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.027137,0.080000,0.039158,medical,1.0000,1,2.189204,4000,0.538929,0.042127,science,0.4791,1,0.178161,239,0.258191,0.006711,finance,0.0130,1,0.284734,168,0.007004,0.005126,argument,0.0422,1,0.119352,981,0.022748,0.014763,biomedical,0.3212,1,1.616797,101,0.173128,0.004244
5,123,nfcorpus,1.633768,0.021807,ba772d147a4cdf6e5ff225eee2c6d16a,5,5,1,1,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.027137,0.080000,0.039158,medical,1.0000,1,2.149215,4000,0.538929,0.040735,science,0.4791,1,0.179355,239,0.258191,0.006751,finance,0.0130,1,0.284197,168,0.007004,0.005126,argument,0.0422,1,0.119875,981,0.022748,0.014875,biomedical,0.3212,1,1.610733,101,0.173128,0.004240
6,123,nfcorpus,1.607282,0.021095,6ffff01aa3d4c17905e6196149bb6e1d,5,5,1,1,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.027137,0.080000,0.039158,medical,1.0000,1,2.112834,4000,0.538929,0.039428,science,0.4791,1,0.180635,239,0.258191,0.006792,finance,0.0130,1,0.283773,168,0.007004,0.005128,argument,0.0422,1,0.120397,981,0.022748,0.014989,biomedical,0.3212,1,1.604736,101,0.173128,0.004236
7,123,nfcorpus,1.583133,0.020428,fcd68c88d7f9f47782cfce059da22c4c,5,5,1,1,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021985,0.057500,0.030072,0.027137,0.080000,0.039158,medical,1.0000,1,2.079651,4000,0.538929,0.038202,science,0.4791,1,0.181983,239,0.258191,0.006835,finance,0.0130,1,0.283448,168,0.007004,0.005129,argument,0.0422,1,0.120916,981,0.022748,0.015104,biomedical,0.3212,1,1.598837,101,0.173128,0.004233
8,123,nfcorpus,1.561058,0.019805,5ef312292e90f61f6a20a66ca163597f,5,5,1,1,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021985,0.057500,0.030072,0.027137,0.080000,0.039158,medical,1.0000,1,2.049305,4000,0.538929,0.037054,science,0.4791,1,0.183383,239,0.258191,0.006879,finance,0.0130,1,0.283208,168,0.007004,0.005130,argument,0.0422,1,0.121430,981,0.022748,0.015219,biomedical,0.3212,1,1.593058,101,0.173128,0.004231
