round,seed,target_dataset,avg_loss,aggregated_delta_norm,aggregated_model_hash,num_selected,num_total,best_round_so_far,selected_best_round,pre_server_val_mrr,pre_server_val_recall_at_k,pre_server_val_ndcg_at_k,pre_final_test_mrr,pre_final_test_recall_at_k,pre_final_test_ndcg_at_k,server_val_mrr,server_val_recall_at_k,server_val_ndcg_at_k,final_test_mrr,final_test_recall_at_k,final_test_ndcg_at_k,client_0_domain,client_0_relevance,client_0_selected,client_0_loss,client_0_num_examples,client_0_domain_weight,client_0_delta_norm,client_1_domain,client_1_relevance,client_1_selected,client_1_loss,client_1_num_examples,client_1_domain_weight,client_1_delta_norm,client_2_domain,client_2_relevance,client_2_selected,client_2_loss,client_2_num_examples,client_2_domain_weight,client_2_delta_norm,client_3_domain,client_3_relevance,client_3_selected,client_3_loss,client_3_num_examples,client_3_domain_weight,client_3_delta_norm,client_4_domain,client_4_relevance,client_4_selected,client_4_loss,client_4_num_examples,client_4_domain_weight,client_4_delta_norm
1,42,nfcorpus,1.654482,0.122000,7ed2c697562fcd678ae7055470aab5f5,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.025522,0.080000,0.037862,medical,1.0000,1,2.179597,4000,0.728730,0.167686,science,0.4791,1,0.170189,239,0.043542,0.025492,finance,0.0130,1,0.280129,168,0.030607,0.020364,argument,0.0422,1,0.124085,981,0.178721,0.054395,biomedical,0.3212,1,1.520770,101,0.018400,0.017255
2,42,nfcorpus,1.528418,0.104850,f10eeb53ed8ce20c2f676a75bafbad4d,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021814,0.060000,0.030425,0.025522,0.080000,0.037862,medical,1.0000,1,2.007034,4000,0.728730,0.144325,science,0.4791,1,0.179360,239,0.043542,0.026047,finance,0.0130,1,0.277221,168,0.030607,0.020345,argument,0.0422,1,0.122756,981,0.178721,0.055981,biomedical,0.3212,1,1.499861,101,0.018400,0.017201
3,42,nfcorpus,1.444216,0.092909,fa7890d110303f202b508f6a8ac42848,5,5,3,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022041,0.062500,0.031128,0.025522,0.080000,0.037862,medical,1.0000,1,1.891625,4000,0.728730,0.127946,science,0.4791,1,0.190993,239,0.043542,0.026703,finance,0.0130,1,0.277992,168,0.030607,0.020347,argument,0.0422,1,0.121628,981,0.178721,0.057736,biomedical,0.3212,1,1.476582,101,0.018400,0.017205
4,42,nfcorpus,1.385234,0.084374,686066fede0739b8235c01d240f65885,5,5,3,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022041,0.062500,0.031128,0.025522,0.080000,0.037862,medical,1.0000,1,1.810700,4000,0.728730,0.116037,science,0.4791,1,0.202760,239,0.043542,0.027417,finance,0.0130,1,0.280302,168,0.030607,0.020359,argument,0.0422,1,0.120244,981,0.178721,0.059405,biomedical,0.3212,1,1.457822,101,0.018400,0.017246
5,42,nfcorpus,1.341052,0.078865,38b307e1225247306e75631bbab09c1b,5,5,3,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021666,0.057500,0.029792,0.025522,0.080000,0.037862,medical,1.0000,1,1.750208,4000,0.728730,0.108110,science,0.4791,1,0.212308,239,0.043542,0.028110,finance,0.0130,1,0.282473,168,0.030607,0.020371,argument,0.0422,1,0.118201,981,0.178721,0.060607,biomedical,0.3212,1,1.446041,101,0.018400,0.017299
6,42,nfcorpus,1.304905,0.075780,b618e08883f6eb2c05377ba71f48bc8f,5,5,3,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021666,0.057500,0.029792,0.025522,0.080000,0.037862,medical,1.0000,1,1.701037,4000,0.728730,0.103467,science,0.4791,1,0.218140,239,0.043542,0.028614,finance,0.0130,1,0.283603,168,0.030607,0.020380,argument,0.0422,1,0.115387,981,0.178721,0.061096,biomedical,0.3212,1,1.440600,101,0.018400,0.017344
7,42,nfcorpus,1.272829,0.074240,41af422c57c5be69b9d811d304abf7d4,5,5,3,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021916,0.060000,0.030515,0.025522,0.080000,0.037862,medical,1.0000,1,1.657756,4000,0.728730,0.101025,science,0.4791,1,0.220178,239,0.043542,0.028828,finance,0.0130,1,0.283512,168,0.030607,0.020384,argument,0.0422,1,0.111975,981,0.178721,0.060907,biomedical,0.3212,1,1.439937,101,0.018400,0.017374
8,42,nfcorpus,1.242693,0.073511,84a5f097aadb33a2e543f77949b75de8,5,5,8,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022374,0.062500,0.031411,0.025522,0.080000,0.037862,medical,1.0000,1,1.617346,4000,0.728730,0.099818,science,0.4791,1,0.219371,239,0.043542,0.028774,finance,0.0130,1,0.282415,168,0.030607,0.020385,argument,0.0422,1,0.108231,981,0.178721,0.060246,biomedical,0.3212,1,1.442645,101,0.018400,0.017389
