round,seed,target_dataset,avg_loss,aggregated_delta_norm,aggregated_model_hash,num_selected,num_total,best_round_so_far,selected_best_round,pre_server_val_mrr,pre_server_val_recall_at_k,pre_server_val_ndcg_at_k,pre_final_test_mrr,pre_final_test_recall_at_k,pre_final_test_ndcg_at_k,server_val_mrr,server_val_recall_at_k,server_val_ndcg_at_k,final_test_mrr,final_test_recall_at_k,final_test_ndcg_at_k,client_0_domain,client_0_relevance,client_0_selected,client_0_loss,client_0_num_examples,client_0_domain_weight,client_0_delta_norm,client_1_domain,client_1_relevance,client_1_selected,client_1_loss,client_1_num_examples,client_1_domain_weight,client_1_delta_norm,client_2_domain,client_2_relevance,client_2_selected,client_2_loss,client_2_num_examples,client_2_domain_weight,client_2_delta_norm,client_3_domain,client_3_relevance,client_3_selected,client_3_loss,client_3_num_examples,client_3_domain_weight,client_3_delta_norm,client_4_domain,client_4_relevance,client_4_selected,client_4_loss,client_4_num_examples,client_4_domain_weight,client_4_delta_norm
1,123,nfcorpus,1.769772,0.034020,a38646978c12d9affe955cece66af9b6,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022200,0.057500,0.030264,0.026155,0.076000,0.037628,medical,1.0000,1,2.335860,4000,0.728730,0.046875,science,0.4791,1,0.175270,239,0.043542,0.006612,finance,0.0130,1,0.287170,168,0.030607,0.005125,argument,0.0422,1,0.117812,981,0.178721,0.014439,biomedical,0.3212,1,1.634996,101,0.018400,0.004258
2,123,nfcorpus,1.717259,0.032337,13d4efd4653bdffb3b7db54019f91a49,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022200,0.057500,0.030264,0.026155,0.076000,0.037628,medical,1.0000,1,2.263850,4000,0.728730,0.044580,science,0.4791,1,0.177830,239,0.043542,0.006654,finance,0.0130,1,0.285662,168,0.030607,0.005125,argument,0.0422,1,0.117702,981,0.178721,0.014550,biomedical,0.3212,1,1.630430,101,0.018400,0.004252
3,123,nfcorpus,1.671557,0.030800,2636a673a115c2330dee789d6db8a9d3,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.026155,0.076000,0.037628,medical,1.0000,1,2.201168,4000,0.728730,0.042481,science,0.4791,1,0.180672,239,0.043542,0.006703,finance,0.0130,1,0.284421,168,0.030607,0.005125,argument,0.0422,1,0.117574,981,0.178721,0.014671,biomedical,0.3212,1,1.625740,101,0.018400,0.004246
4,123,nfcorpus,1.631583,0.029397,61f632bc2308bb291a2605c9b3d0f814,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.026155,0.076000,0.037628,medical,1.0000,1,2.146328,4000,0.728730,0.040562,science,0.4791,1,0.183751,239,0.043542,0.006756,finance,0.0130,1,0.283413,168,0.030607,0.005126,argument,0.0422,1,0.117423,981,0.178721,0.014797,biomedical,0.3212,1,1.621041,101,0.018400,0.004241
5,123,nfcorpus,1.596447,0.028115,d2835b180f9d4547f9311ef02f19ee65,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.026155,0.076000,0.037628,medical,1.0000,1,2.098111,4000,0.728730,0.038808,science,0.4791,1,0.187021,239,0.043542,0.006812,finance,0.0130,1,0.282602,168,0.030607,0.005127,argument,0.0422,1,0.117246,981,0.178721,0.014923,biomedical,0.3212,1,1.616425,101,0.018400,0.004238
6,123,nfcorpus,1.565407,0.026946,646737671546919193385fee6fd2bab7,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021985,0.057500,0.030072,0.026155,0.076000,0.037628,medical,1.0000,1,2.055504,4000,0.728730,0.037205,science,0.4791,1,0.190437,239,0.043542,0.006870,finance,0.0130,1,0.281952,168,0.030607,0.005128,argument,0.0422,1,0.117041,981,0.178721,0.015049,biomedical,0.3212,1,1.611956,101,0.018400,0.004234
7,123,nfcorpus,1.537846,0.025884,a255ceeb5508c4403ca6f81b6f663c99,5,5,7,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022235,0.060000,0.030795,0.026155,0.076000,0.037628,medical,1.0000,1,2.017659,4000,0.728730,0.035746,science,0.4791,1,0.193948,239,0.043542,0.006929,finance,0.0130,1,0.281433,168,0.030607,0.005130,argument,0.0422,1,0.116809,981,0.178721,0.015173,biomedical,0.3212,1,1.607679,101,0.018400,0.004232
8,123,nfcorpus,1.513241,0.024923,db53bf8f44dadfa9f5b0286dbb798369,5,5,8,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022322,0.060000,0.030882,0.026155,0.076000,0.037628,medical,1.0000,1,1.983866,4000,0.728730,0.034422,science,0.4791,1,0.197506,239,0.043542,0.006988,finance,0.0130,1,0.281014,168,0.030607,0.005131,argument,0.0422,1,0.116548,981,0.178721,0.015295,biomedical,0.3212,1,1.603621,101,0.018400,0.004230
