round,seed,target_dataset,avg_loss,aggregated_delta_norm,aggregated_model_hash,num_selected,num_total,best_round_so_far,selected_best_round,pre_server_val_mrr,pre_server_val_recall_at_k,pre_server_val_ndcg_at_k,pre_final_test_mrr,pre_final_test_recall_at_k,pre_final_test_ndcg_at_k,server_val_mrr,server_val_recall_at_k,server_val_ndcg_at_k,final_test_mrr,final_test_recall_at_k,final_test_ndcg_at_k,client_0_domain,client_0_relevance,client_0_selected,client_0_loss,client_0_num_examples,client_0_domain_weight,client_0_delta_norm,client_1_domain,client_1_relevance,client_1_selected,client_1_loss,client_1_num_examples,client_1_domain_weight,client_1_delta_norm,client_2_domain,client_2_relevance,client_2_selected,client_2_loss,client_2_num_examples,client_2_domain_weight,client_2_delta_norm,client_3_domain,client_3_relevance,client_3_selected,client_3_loss,client_3_num_examples,client_3_domain_weight,client_3_delta_norm,client_4_domain,client_4_relevance,client_4_selected,client_4_loss,client_4_num_examples,client_4_domain_weight,client_4_delta_norm
1,256,nfcorpus,1.660834,0.160794,acbe39d0a00120b9f7bfb48091638ca8,5,5,1,4,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.026945,0.078000,0.038641,medical,1.0000,1,2.180474,4000,0.954531,0.168524,science,0.4791,1,0.208754,239,0.027324,0.025639,finance,0.0130,1,0.315385,168,0.000521,0.020171,argument,0.0422,1,0.136371,981,0.009881,0.054783,biomedical,0.3212,1,1.562041,101,0.007743,0.017041
2,256,nfcorpus,1.502400,0.130464,9b597154b110469dc7e7ad24db9fa67f,5,5,2,4,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022447,0.062500,0.031508,0.026945,0.078000,0.038641,medical,1.0000,1,1.962187,4000,0.954531,0.136769,science,0.4791,1,0.230378,239,0.027324,0.026182,finance,0.0130,1,0.313849,168,0.000521,0.020157,argument,0.0422,1,0.138117,981,0.009881,0.057518,biomedical,0.3212,1,1.531181,101,0.007743,0.016977
3,256,nfcorpus,1.410488,0.112725,ebcb28a0827072e3dae13be6fe993c78,5,5,2,4,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022249,0.060000,0.030836,0.026945,0.078000,0.038641,medical,1.0000,1,1.834844,4000,0.954531,0.118181,science,0.4791,1,0.254283,239,0.027324,0.026951,finance,0.0130,1,0.317150,168,0.000521,0.020154,argument,0.0422,1,0.139743,981,0.009881,0.060709,biomedical,0.3212,1,1.501472,101,0.007743,0.016965
4,256,nfcorpus,1.350219,0.102383,7c016390c366a55927b96f51c124a152,5,5,4,4,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.023391,0.060000,0.031677,0.026945,0.078000,0.038641,medical,1.0000,1,1.750944,4000,0.954531,0.107317,science,0.4791,1,0.272856,239,0.027324,0.027855,finance,0.0130,1,0.320691,168,0.000521,0.020150,argument,0.0422,1,0.141032,981,0.009881,0.063514,biomedical,0.3212,1,1.486483,101,0.007743,0.016985
5,256,nfcorpus,1.304584,0.097351,6d5c25674edbfa16ab23a55797a21e94,5,5,4,4,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.023176,0.060000,0.031469,0.026945,0.078000,0.038641,medical,1.0000,1,1.687507,4000,0.954531,0.102002,science,0.4791,1,0.282776,239,0.027324,0.028485,finance,0.0130,1,0.322916,168,0.000521,0.020144,argument,0.0422,1,0.141605,981,0.009881,0.064993,biomedical,0.3212,1,1.485974,101,0.007743,0.017015
6,256,nfcorpus,1.264989,0.095293,8566c8e26c8dd741d9ddb17bc3940e36,5,5,4,4,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.023120,0.057500,0.030928,0.026945,0.078000,0.038641,medical,1.0000,1,1.632812,4000,0.954531,0.099813,science,0.4791,1,0.284845,239,0.027324,0.028620,finance,0.0130,1,0.323906,168,0.000521,0.020137,argument,0.0422,1,0.141460,981,0.009881,0.065167,biomedical,0.3212,1,1.495135,101,0.007743,0.017035
7,256,nfcorpus,1.227602,0.094484,3a0cc94ccd5fc58c3fddaaf058eeb1ea,5,5,4,4,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.020575,0.057500,0.029038,0.026945,0.078000,0.038641,medical,1.0000,1,1.581405,4000,0.954531,0.098951,science,0.4791,1,0.282099,239,0.027324,0.028377,finance,0.0130,1,0.324261,168,0.000521,0.020130,argument,0.0422,1,0.140968,981,0.009881,0.064475,biomedical,0.3212,1,1.509886,101,0.007743,0.017036
8,256,nfcorpus,1.190854,0.094015,870733fbdd50a8457592a6852395fe03,5,5,4,4,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.020450,0.057500,0.028928,0.026945,0.078000,0.038641,medical,1.0000,1,1.530918,4000,0.954531,0.098458,science,0.4791,1,0.277332,239,0.027324,0.027972,finance,0.0130,1,0.324484,168,0.000521,0.020125,argument,0.0422,1,0.140482,981,0.009881,0.063378,biomedical,0.3212,1,1.527860,101,0.007743,0.017020
