round,seed,target_dataset,avg_loss,aggregated_delta_norm,aggregated_model_hash,num_selected,num_total,best_round_so_far,selected_best_round,pre_server_val_mrr,pre_server_val_recall_at_k,pre_server_val_ndcg_at_k,pre_final_test_mrr,pre_final_test_recall_at_k,pre_final_test_ndcg_at_k,server_val_mrr,server_val_recall_at_k,server_val_ndcg_at_k,final_test_mrr,final_test_recall_at_k,final_test_ndcg_at_k,client_0_domain,client_0_relevance,client_0_selected,client_0_loss,client_0_num_examples,client_0_domain_weight,client_0_delta_norm,client_1_domain,client_1_relevance,client_1_selected,client_1_loss,client_1_num_examples,client_1_domain_weight,client_1_delta_norm,client_2_domain,client_2_relevance,client_2_selected,client_2_loss,client_2_num_examples,client_2_domain_weight,client_2_delta_norm,client_3_domain,client_3_relevance,client_3_selected,client_3_loss,client_3_num_examples,client_3_domain_weight,client_3_delta_norm,client_4_domain,client_4_relevance,client_4_selected,client_4_loss,client_4_num_examples,client_4_domain_weight,client_4_delta_norm
1,123,nfcorpus,1.672245,0.162738,6e7d3dfc073e6fdbfbe750df015ac742,5,5,1,2,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022100,0.057500,0.030176,0.026074,0.076000,0.037556,medical,1.0000,1,2.203221,4000,0.954531,0.170587,science,0.4791,1,0.173688,239,0.027324,0.026375,finance,0.0130,1,0.286666,168,0.000521,0.020491,argument,0.0422,1,0.114424,981,0.009881,0.056011,biomedical,0.3212,1,1.625256,101,0.007743,0.017014
2,123,nfcorpus,1.511143,0.131337,6ffd728e7310b77c155f81d1ae402f6d,5,5,2,2,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022201,0.060000,0.030783,0.026074,0.076000,0.037556,medical,1.0000,1,1.981015,4000,0.954531,0.137725,science,0.4791,1,0.190661,239,0.027324,0.027553,finance,0.0130,1,0.283655,168,0.000521,0.020518,argument,0.0422,1,0.118010,981,0.009881,0.059127,biomedical,0.3212,1,1.600140,101,0.007743,0.016908
3,123,nfcorpus,1.420378,0.112062,a153db41af3f4d21ff8a639cefbb4016,5,5,2,2,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022156,0.060000,0.030754,0.026074,0.076000,0.037556,medical,1.0000,1,1.854796,4000,0.954531,0.117516,science,0.4791,1,0.211372,239,0.027324,0.028907,finance,0.0130,1,0.284937,168,0.000521,0.020572,argument,0.0422,1,0.121820,981,0.009881,0.062427,biomedical,0.3212,1,1.578018,101,0.007743,0.016890
4,123,nfcorpus,1.361312,0.101598,adf7721b8ed23dce4e16af7be69d9cea,5,5,2,2,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021930,0.057500,0.030065,0.026074,0.076000,0.037556,medical,1.0000,1,1.772256,4000,0.954531,0.106501,science,0.4791,1,0.228566,239,0.027324,0.030131,finance,0.0130,1,0.286581,168,0.000521,0.020617,argument,0.0422,1,0.124923,981,0.009881,0.064882,biomedical,0.3212,1,1.563322,101,0.007743,0.016936
5,123,nfcorpus,1.315939,0.096873,02b16612193d7f38b3fac12be658aa2e,5,5,2,2,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021885,0.057500,0.030020,0.026074,0.076000,0.037556,medical,1.0000,1,1.709141,4000,0.954531,0.101494,science,0.4791,1,0.237744,239,0.027324,0.030818,finance,0.0130,1,0.286848,168,0.000521,0.020641,argument,0.0422,1,0.126616,981,0.009881,0.066115,biomedical,0.3212,1,1.558479,101,0.007743,0.016997
6,123,nfcorpus,1.276005,0.095154,d124ee8ac4a6200824e447297fce27e5,5,5,2,2,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021906,0.057500,0.030028,0.026074,0.076000,0.037556,medical,1.0000,1,1.654047,4000,0.954531,0.099656,science,0.4791,1,0.239738,239,0.027324,0.030865,finance,0.0130,1,0.285862,168,0.000521,0.020649,argument,0.0422,1,0.127073,981,0.009881,0.066148,biomedical,0.3212,1,1.562609,101,0.007743,0.017038
7,123,nfcorpus,1.237983,0.094619,cfbf1981b58205184612ff41d2d82503,5,5,2,2,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021934,0.057500,0.030058,0.026074,0.076000,0.037556,medical,1.0000,1,1.601823,4000,0.954531,0.099082,science,0.4791,1,0.237812,239,0.027324,0.030463,finance,0.0130,1,0.284333,168,0.000521,0.020653,argument,0.0422,1,0.126896,981,0.009881,0.065436,biomedical,0.3212,1,1.573342,101,0.007743,0.017048
8,123,nfcorpus,1.200459,0.094339,4a66e0d29dc8b4a57896f821fc959ebc,5,5,2,2,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022146,0.060000,0.030758,0.026074,0.076000,0.037556,medical,1.0000,1,1.550255,4000,0.954531,0.098792,science,0.4791,1,0.234870,239,0.027324,0.029866,finance,0.0130,1,0.282824,168,0.000521,0.020657,argument,0.0422,1,0.126612,981,0.009881,0.064411,biomedical,0.3212,1,1.588569,101,0.007743,0.017033
