round,seed,target_dataset,avg_loss,aggregated_delta_norm,aggregated_model_hash,num_selected,num_total,best_round_so_far,selected_best_round,pre_server_val_mrr,pre_server_val_recall_at_k,pre_server_val_ndcg_at_k,pre_final_test_mrr,pre_final_test_recall_at_k,pre_final_test_ndcg_at_k,server_val_mrr,server_val_recall_at_k,server_val_ndcg_at_k,final_test_mrr,final_test_recall_at_k,final_test_ndcg_at_k,client_0_domain,client_0_relevance,client_0_selected,client_0_loss,client_0_num_examples,client_0_domain_weight,client_0_delta_norm,client_1_domain,client_1_relevance,client_1_selected,client_1_loss,client_1_num_examples,client_1_domain_weight,client_1_delta_norm,client_2_domain,client_2_relevance,client_2_selected,client_2_loss,client_2_num_examples,client_2_domain_weight,client_2_delta_norm,client_3_domain,client_3_relevance,client_3_selected,client_3_loss,client_3_num_examples,client_3_domain_weight,client_3_delta_norm,client_4_domain,client_4_relevance,client_4_selected,client_4_loss,client_4_num_examples,client_4_domain_weight,client_4_delta_norm
1,123,nfcorpus,1.769772,0.044717,c6ec0b59a7851cead8dcc141950e9f0c,5,5,1,7,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022200,0.057500,0.030264,0.026174,0.076000,0.037644,medical,1.0000,1,2.335860,4000,0.954531,0.046875,science,0.4791,1,0.175270,239,0.027324,0.006612,finance,0.0130,1,0.287170,168,0.000521,0.005125,argument,0.0422,1,0.117812,981,0.009881,0.014439,biomedical,0.3212,1,1.634996,101,0.007743,0.004258
2,123,nfcorpus,1.701831,0.041757,803b3171cd89eb742bc2bb7942db43c2,5,5,1,7,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.026174,0.076000,0.037644,medical,1.0000,1,2.242297,4000,0.954531,0.043777,science,0.4791,1,0.179078,239,0.027324,0.006673,finance,0.0130,1,0.285697,168,0.000521,0.005125,argument,0.0422,1,0.119055,981,0.009881,0.014648,biomedical,0.3212,1,1.629431,101,0.007743,0.004249
3,123,nfcorpus,1.645447,0.039151,e763bbfaf5f08be7309732e511f1ee61,5,5,1,7,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.026174,0.076000,0.037644,medical,1.0000,1,2.164533,4000,0.954531,0.041051,science,0.4791,1,0.183424,239,0.027324,0.006746,finance,0.0130,1,0.284728,168,0.000521,0.005127,argument,0.0422,1,0.120353,981,0.009881,0.014877,biomedical,0.3212,1,1.623654,101,0.007743,0.004241
4,123,nfcorpus,1.598196,0.036858,0aff2c92ffa5a6e0d5204aa4ecd364d5,5,5,1,7,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021985,0.057500,0.030072,0.026174,0.076000,0.037644,medical,1.0000,1,2.099249,4000,0.954531,0.038651,science,0.4791,1,0.188204,239,0.027324,0.006825,finance,0.0130,1,0.284174,168,0.000521,0.005129,argument,0.0422,1,0.121685,981,0.009881,0.015109,biomedical,0.3212,1,1.617910,101,0.007743,0.004235
5,123,nfcorpus,1.558216,0.034841,22e089a72134fe784f4d31cafe981447,5,5,5,7,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022235,0.060000,0.030795,0.026174,0.076000,0.037644,medical,1.0000,1,2.043900,4000,0.954531,0.036540,science,0.4791,1,0.193311,239,0.027324,0.006907,finance,0.0130,1,0.283951,168,0.000521,0.005132,argument,0.0422,1,0.123032,981,0.009881,0.015341,biomedical,0.3212,1,1.612362,101,0.007743,0.004230
6,123,nfcorpus,1.524064,0.033072,25eebd63577ef64c6bcb5d1c71c57a48,5,5,6,7,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022263,0.060000,0.030825,0.026174,0.076000,0.037644,medical,1.0000,1,1.996518,4000,0.954531,0.034687,science,0.4791,1,0.198628,239,0.027324,0.006990,finance,0.0130,1,0.283978,168,0.000521,0.005135,argument,0.0422,1,0.124379,981,0.009881,0.015573,biomedical,0.3212,1,1.607105,101,0.007743,0.004227
7,123,nfcorpus,1.494606,0.031529,677d6f05b655e439726e9fea83cee2ae,5,5,7,7,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022465,0.060000,0.031016,0.026174,0.076000,0.037644,medical,1.0000,1,1.955562,4000,0.954531,0.033070,science,0.4791,1,0.204031,239,0.027324,0.007072,finance,0.0130,1,0.284181,168,0.000521,0.005138,argument,0.0422,1,0.125707,981,0.009881,0.015804,biomedical,0.3212,1,1.602184,101,0.007743,0.004225
8,123,nfcorpus,1.468950,0.030189,b2e324d61b12ad59951410a7969264da,5,5,7,7,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022257,0.060000,0.030842,0.026174,0.076000,0.037644,medical,1.0000,1,1.919821,4000,0.954531,0.031665,science,0.4791,1,0.209393,239,0.027324,0.007152,finance,0.0130,1,0.284493,168,0.000521,0.005142,argument,0.0422,1,0.126997,981,0.009881,0.016026,biomedical,0.3212,1,1.597631,101,0.007743,0.004224
