round,seed,target_dataset,avg_loss,aggregated_delta_norm,aggregated_model_hash,num_selected,num_total,best_round_so_far,selected_best_round,pre_server_val_mrr,pre_server_val_recall_at_k,pre_server_val_ndcg_at_k,pre_final_test_mrr,pre_final_test_recall_at_k,pre_final_test_ndcg_at_k,server_val_mrr,server_val_recall_at_k,server_val_ndcg_at_k,final_test_mrr,final_test_recall_at_k,final_test_ndcg_at_k,client_0_domain,client_0_relevance,client_0_selected,client_0_loss,client_0_num_examples,client_0_domain_weight,client_0_delta_norm,client_1_domain,client_1_relevance,client_1_selected,client_1_loss,client_1_num_examples,client_1_domain_weight,client_1_delta_norm,client_2_domain,client_2_relevance,client_2_selected,client_2_loss,client_2_num_examples,client_2_domain_weight,client_2_delta_norm,client_3_domain,client_3_relevance,client_3_selected,client_3_loss,client_3_num_examples,client_3_domain_weight,client_3_delta_norm,client_4_domain,client_4_relevance,client_4_selected,client_4_loss,client_4_num_examples,client_4_domain_weight,client_4_delta_norm
1,42,nfcorpus,1.748542,0.044116,120b019308f04aa918d0b0df4f47418c,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022166,0.057500,0.030228,0.025899,0.078000,0.037807,medical,1.0000,1,2.307486,4000,0.954531,0.046234,science,0.4791,1,0.171335,239,0.027324,0.006383,finance,0.0130,1,0.280316,168,0.000521,0.005092,argument,0.0422,1,0.127714,981,0.009881,0.013822,biomedical,0.3212,1,1.529433,101,0.007743,0.004320
2,42,nfcorpus,1.683457,0.040989,25a001f1fc64c700dbe49105b2b5753b,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.025899,0.078000,0.037807,medical,1.0000,1,2.217815,4000,0.954531,0.042963,science,0.4791,1,0.174557,239,0.027324,0.006424,finance,0.0130,1,0.278905,168,0.000521,0.005089,argument,0.0422,1,0.129118,981,0.009881,0.014005,biomedical,0.3212,1,1.524695,101,0.007743,0.004313
3,42,nfcorpus,1.629630,0.038349,191d174794898be4d554149951367f10,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.025899,0.078000,0.037807,medical,1.0000,1,2.143539,4000,0.954531,0.040201,science,0.4791,1,0.178259,239,0.027324,0.006473,finance,0.0130,1,0.278146,168,0.000521,0.005087,argument,0.0422,1,0.130625,981,0.009881,0.014201,biomedical,0.3212,1,1.518860,101,0.007743,0.004309
4,42,nfcorpus,1.584338,0.036162,f3af5d53ccb4e20778289e541b4bfca6,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.025899,0.078000,0.037807,medical,1.0000,1,2.080929,4000,0.954531,0.037913,science,0.4791,1,0.182355,239,0.027324,0.006527,finance,0.0130,1,0.277941,168,0.000521,0.005086,argument,0.0422,1,0.132215,981,0.009881,0.014409,biomedical,0.3212,1,1.512227,101,0.007743,0.004306
5,42,nfcorpus,1.545632,0.034339,0678c10718af302152fcc2834e5a3838,5,5,5,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022207,0.060000,0.030765,0.025899,0.078000,0.037807,medical,1.0000,1,2.027317,4000,0.954531,0.036006,science,0.4791,1,0.186760,239,0.027324,0.006581,finance,0.0130,1,0.278190,168,0.000521,0.005085,argument,0.0422,1,0.133859,981,0.009881,0.014628,biomedical,0.3212,1,1.505139,101,0.007743,0.004304
6,42,nfcorpus,1.512144,0.032789,f8b0cf5443ad614de7e290f75e2cb76d,5,5,6,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022370,0.065000,0.031930,0.025899,0.078000,0.037807,medical,1.0000,1,1.980833,4000,0.954531,0.034383,science,0.4791,1,0.191381,239,0.027324,0.006636,finance,0.0130,1,0.278796,168,0.000521,0.005086,argument,0.0422,1,0.135530,981,0.009881,0.014854,biomedical,0.3212,1,1.497942,101,0.007743,0.004305
7,42,nfcorpus,1.482894,0.031442,020db35a355c59ce5117637d94a8af44,5,5,6,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022370,0.065000,0.031930,0.025899,0.078000,0.037807,medical,1.0000,1,1.940143,4000,0.954531,0.032973,science,0.4791,1,0.196123,239,0.027324,0.006693,finance,0.0130,1,0.279671,168,0.000521,0.005086,argument,0.0422,1,0.137196,981,0.009881,0.015085,biomedical,0.3212,1,1.490929,101,0.007743,0.004306
8,42,nfcorpus,1.457151,0.030258,7d9fe6ee2200f44cd8eda47f2cde09d5,5,5,8,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022430,0.065000,0.031987,0.025899,0.078000,0.037807,medical,1.0000,1,1.904256,4000,0.954531,0.031733,science,0.4791,1,0.200885,239,0.027324,0.006752,finance,0.0130,1,0.280732,168,0.000521,0.005087,argument,0.0422,1,0.138824,981,0.009881,0.015317,biomedical,0.3212,1,1.484330,101,0.007743,0.004309
