round,alpha,seed,noise_mode,noise_ratio,avg_loss,aggregated_delta_norm,aggregated_model_hash,pre_mrr,pre_recall_at_k,pre_ndcg_at_k,post_mrr,post_recall_at_k,post_ndcg_at_k,client_0_loss,client_0_num_examples,client_0_quality_score,client_0_size_weight,client_0_weight,client_0_delta_norm,client_0_loss_source,client_0_loss_stage,client_1_loss,client_1_num_examples,client_1_quality_score,client_1_size_weight,client_1_weight,client_1_delta_norm,client_1_loss_source,client_1_loss_stage,client_2_loss,client_2_num_examples,client_2_quality_score,client_2_size_weight,client_2_weight,client_2_delta_norm,client_2_loss_source,client_2_loss_stage
1,1.0,42,shuffle,0.70,0.000701,0.244910,406cc3de7046b49ff7fb29c4e73af4e9,0.049476,0.096667,0.060667,0.049734,0.100000,0.061410,0.000685,502,0.340858,0.334667,0.340858,0.266201,lsr_training_loss,post_local_training,0.000730,503,0.319564,0.335333,0.319564,0.261072,lsr_training_loss,post_local_training,0.000687,495,0.339578,0.330000,0.339578,0.256115,lsr_training_loss,post_local_training
2,1.0,42,shuffle,0.70,0.000343,0.284450,9f243deaa7a54c9c9e655043c0442de0,0.049476,0.096667,0.060667,0.011786,0.036667,0.017637,0.000324,502,0.351713,0.334667,0.351713,0.292942,lsr_training_loss,post_local_training,0.000354,503,0.322152,0.335333,0.322152,0.294815,lsr_training_loss,post_local_training,0.000350,495,0.326135,0.330000,0.326135,0.300374,lsr_training_loss,post_local_training
3,1.0,42,shuffle,0.70,0.000141,0.258465,45af4c3248f6c988a76a2e97a50c0db9,0.049476,0.096667,0.060667,0.000952,0.006667,0.002222,0.000135,502,0.347572,0.334667,0.347572,0.268714,lsr_training_loss,post_local_training,0.000146,503,0.321115,0.335333,0.321115,0.262467,lsr_training_loss,post_local_training,0.000142,495,0.331313,0.330000,0.331313,0.271179,lsr_training_loss,post_local_training
4,1.0,42,shuffle,0.70,0.000060,0.259915,d989447c4bba9de508f0d1c997bc05c8,0.049476,0.096667,0.060667,0.000000,0.000000,0.000000,0.000054,502,0.367194,0.334667,0.367194,0.243646,lsr_training_loss,post_local_training,0.000064,503,0.311280,0.335333,0.311280,0.278183,lsr_training_loss,post_local_training,0.000062,495,0.321526,0.330000,0.321526,0.293922,lsr_training_loss,post_local_training
5,1.0,42,shuffle,0.70,0.000030,0.233818,4197f0ed8f7b31fa3e167b2a9fecdc02,0.049476,0.096667,0.060667,0.000000,0.000000,0.000000,0.000029,502,0.348977,0.334667,0.348977,0.236599,lsr_training_loss,post_local_training,0.000030,503,0.334536,0.335333,0.334536,0.239416,lsr_training_loss,post_local_training,0.000032,495,0.316488,0.330000,0.316488,0.251772,lsr_training_loss,post_local_training
6,1.0,42,shuffle,0.70,0.000023,0.220094,9436e455d2a26ec240aefc68354ec7ed,0.049476,0.096667,0.060667,0.000000,0.000000,0.000000,0.000022,502,0.352694,0.334667,0.352694,0.228140,lsr_training_loss,post_local_training,0.000024,503,0.324147,0.335333,0.324147,0.229196,lsr_training_loss,post_local_training,0.000024,495,0.323159,0.330000,0.323159,0.232719,lsr_training_loss,post_local_training
7,1.0,42,shuffle,0.70,0.000012,0.154885,96c5965a682dba29de15cd92b5a8b5b4,0.049476,0.096667,0.060667,0.000000,0.000000,0.000000,0.000011,502,0.350518,0.334667,0.350518,0.162344,lsr_training_loss,post_local_training,0.000014,503,0.290867,0.335333,0.290867,0.176791,lsr_training_loss,post_local_training,0.000011,495,0.358615,0.330000,0.358615,0.161962,lsr_training_loss,post_local_training
8,1.0,42,shuffle,0.70,0.000007,0.137675,b774e69e39991c1c21e7a234ee220be3,0.049476,0.096667,0.060667,0.000000,0.000000,0.000000,0.000007,502,0.336888,0.334667,0.336888,0.148887,lsr_training_loss,post_local_training,0.000008,503,0.307446,0.335333,0.307446,0.147837,lsr_training_loss,post_local_training,0.000007,495,0.355667,0.330000,0.355667,0.143575,lsr_training_loss,post_local_training
