round,seed,target_dataset,avg_loss,aggregated_delta_norm,aggregated_model_hash,num_selected,num_total,best_round_so_far,selected_best_round,pre_server_val_mrr,pre_server_val_recall_at_k,pre_server_val_ndcg_at_k,pre_final_test_mrr,pre_final_test_recall_at_k,pre_final_test_ndcg_at_k,server_val_mrr,server_val_recall_at_k,server_val_ndcg_at_k,final_test_mrr,final_test_recall_at_k,final_test_ndcg_at_k,client_0_domain,client_0_relevance,client_0_selected,client_0_loss,client_0_num_examples,client_0_domain_weight,client_0_delta_norm,client_1_domain,client_1_relevance,client_1_selected,client_1_loss,client_1_num_examples,client_1_domain_weight,client_1_delta_norm,client_2_domain,client_2_relevance,client_2_selected,client_2_loss,client_2_num_examples,client_2_domain_weight,client_2_delta_norm,client_3_domain,client_3_relevance,client_3_selected,client_3_loss,client_3_num_examples,client_3_domain_weight,client_3_delta_norm,client_4_domain,client_4_relevance,client_4_selected,client_4_loss,client_4_num_examples,client_4_domain_weight,client_4_delta_norm
1,42,nfcorpus,1.654482,0.160000,aecfe1586b6f9ebdaa9a6523ec4c0b20,5,5,1,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022148,0.060000,0.030708,0.025165,0.076000,0.036735,medical,1.0000,1,2.179597,4000,0.954531,0.167686,science,0.4791,1,0.170189,239,0.027324,0.025492,finance,0.0130,1,0.280129,168,0.000521,0.020364,argument,0.0422,1,0.124085,981,0.009881,0.054395,biomedical,0.3212,1,1.520770,101,0.007743,0.017255
2,42,nfcorpus,1.499122,0.130201,7a982116f59b25536656a2dbc056526e,5,5,2,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022357,0.065000,0.031913,0.025165,0.076000,0.036735,medical,1.0000,1,1.965195,4000,0.954531,0.136511,science,0.4791,1,0.184841,239,0.027324,0.026298,finance,0.0130,1,0.278267,168,0.000521,0.020339,argument,0.0422,1,0.128396,981,0.009881,0.057093,biomedical,0.3212,1,1.495227,101,0.007743,0.017192
3,42,nfcorpus,1.407621,0.113009,dc6a270b0ae6b47b2612642c358a3d8f,5,5,2,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021746,0.060000,0.030361,0.025165,0.076000,0.036735,medical,1.0000,1,1.837933,4000,0.954531,0.118499,science,0.4791,1,0.203096,239,0.027324,0.027263,finance,0.0130,1,0.282411,168,0.000521,0.020351,argument,0.0422,1,0.133094,981,0.009881,0.060171,biomedical,0.3212,1,1.466807,101,0.007743,0.017230
4,42,nfcorpus,1.347364,0.102746,3f116e2068d3175840984c74d7907352,5,5,2,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021621,0.057500,0.029748,0.025165,0.076000,0.036735,medical,1.0000,1,1.753628,4000,0.954531,0.107709,science,0.4791,1,0.219171,239,0.027324,0.028318,finance,0.0130,1,0.287672,168,0.000521,0.020369,argument,0.0422,1,0.136775,981,0.009881,0.062803,biomedical,0.3212,1,1.448314,101,0.007743,0.017310
5,42,nfcorpus,1.301707,0.097730,7b5cc5e98bdadcaa5400a0425205f796,5,5,2,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021666,0.057500,0.029792,0.025165,0.076000,0.036735,medical,1.0000,1,1.689991,4000,0.954531,0.102402,science,0.4791,1,0.228618,239,0.027324,0.029097,finance,0.0130,1,0.291261,168,0.000521,0.020381,argument,0.0422,1,0.138656,981,0.009881,0.064245,biomedical,0.3212,1,1.440765,101,0.007743,0.017379
6,42,nfcorpus,1.262068,0.095745,4eafe623a848ed2b61c53d1274336de2,5,5,2,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021874,0.057500,0.029966,0.025165,0.076000,0.036735,medical,1.0000,1,1.635305,4000,0.954531,0.100282,science,0.4791,1,0.231023,239,0.027324,0.029322,finance,0.0130,1,0.292589,168,0.000521,0.020385,argument,0.0422,1,0.138983,981,0.009881,0.064442,biomedical,0.3212,1,1.441154,101,0.007743,0.017418
7,42,nfcorpus,1.224600,0.095029,eff8bebf4c822758829b6a03aefd0d5b,5,5,7,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022402,0.062500,0.031441,0.025165,0.076000,0.036735,medical,1.0000,1,1.584017,4000,0.954531,0.099512,science,0.4791,1,0.228892,239,0.027324,0.029088,finance,0.0130,1,0.292229,168,0.000521,0.020383,argument,0.0422,1,0.138463,981,0.009881,0.063808,biomedical,0.3212,1,1.446837,101,0.007743,0.017431
8,42,nfcorpus,1.187731,0.094632,3115ca1fd6d1549eb27e6db89c132195,5,5,8,8,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022520,0.062500,0.031554,0.025165,0.076000,0.036735,medical,1.0000,1,1.533678,4000,0.954531,0.099091,science,0.4791,1,0.224905,239,0.027324,0.028628,finance,0.0130,1,0.290956,168,0.000521,0.020379,argument,0.0422,1,0.137645,981,0.009881,0.062794,biomedical,0.3212,1,1.456248,101,0.007743,0.017426
