round,seed,target_dataset,avg_loss,aggregated_delta_norm,aggregated_model_hash,num_selected,num_total,best_round_so_far,selected_best_round,pre_server_val_mrr,pre_server_val_recall_at_k,pre_server_val_ndcg_at_k,pre_final_test_mrr,pre_final_test_recall_at_k,pre_final_test_ndcg_at_k,server_val_mrr,server_val_recall_at_k,server_val_ndcg_at_k,final_test_mrr,final_test_recall_at_k,final_test_ndcg_at_k,client_0_domain,client_0_relevance,client_0_selected,client_0_loss,client_0_num_examples,client_0_domain_weight,client_0_delta_norm,client_1_domain,client_1_relevance,client_1_selected,client_1_loss,client_1_num_examples,client_1_domain_weight,client_1_delta_norm,client_2_domain,client_2_relevance,client_2_selected,client_2_loss,client_2_num_examples,client_2_domain_weight,client_2_delta_norm,client_3_domain,client_3_relevance,client_3_selected,client_3_loss,client_3_num_examples,client_3_domain_weight,client_3_delta_norm,client_4_domain,client_4_relevance,client_4_selected,client_4_loss,client_4_num_examples,client_4_domain_weight,client_4_delta_norm
1,123,nfcorpus,1.672245,0.123919,e966b60198a5ef268e954147bd5eea61,5,5,1,2,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022041,0.057500,0.030119,0.026155,0.076000,0.037628,medical,1.0000,1,2.203221,4000,0.728730,0.170587,science,0.4791,1,0.173688,239,0.043542,0.026375,finance,0.0130,1,0.286666,168,0.030607,0.020491,argument,0.0422,1,0.114424,981,0.178721,0.056011,biomedical,0.3212,1,1.625256,101,0.018400,0.017014
2,123,nfcorpus,1.541142,0.106195,1ce5fc894b781673b4ef24e88dddc3bc,5,5,2,2,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022437,0.060000,0.030986,0.026155,0.076000,0.037628,medical,1.0000,1,2.023744,4000,0.728730,0.146404,science,0.4791,1,0.184254,239,0.043542,0.027151,finance,0.0130,1,0.282390,168,0.030607,0.020498,argument,0.0422,1,0.113004,981,0.178721,0.057688,biomedical,0.3212,1,1.604160,101,0.018400,0.016940
3,123,nfcorpus,1.456640,0.092746,51d7cf9d80b35bbe00622a8830d3b908,5,5,2,2,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022340,0.060000,0.030921,0.026155,0.076000,0.037628,medical,1.0000,1,1.907887,4000,0.728730,0.127902,science,0.4791,1,0.197339,239,0.043542,0.028099,finance,0.0130,1,0.280712,168,0.030607,0.020523,argument,0.0422,1,0.111625,981,0.178721,0.059473,biomedical,0.3212,1,1.585374,101,0.018400,0.016910
4,123,nfcorpus,1.398672,0.083609,519ce6b896b4e6f182fc95c258ea73d9,5,5,2,2,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021906,0.057500,0.030031,0.026155,0.076000,0.037628,medical,1.0000,1,1.828335,4000,0.728730,0.115083,science,0.4791,1,0.210276,239,0.043542,0.029031,finance,0.0130,1,0.279948,168,0.030607,0.020548,argument,0.0422,1,0.110097,981,0.178721,0.061027,biomedical,0.3212,1,1.571069,101,0.018400,0.016923
5,123,nfcorpus,1.355220,0.078094,f411209fcfeefc5d700ec9b2cf1b0ea7,5,5,2,2,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021850,0.057500,0.029984,0.026155,0.076000,0.037628,medical,1.0000,1,1.768840,4000,0.728730,0.107081,science,0.4791,1,0.220288,239,0.043542,0.029808,finance,0.0130,1,0.278948,168,0.030607,0.020565,argument,0.0422,1,0.108190,981,0.178721,0.062001,biomedical,0.3212,1,1.562344,101,0.018400,0.016962
6,123,nfcorpus,1.319322,0.075155,e278306d88bc3da7529cab15943b2b1b,5,5,2,2,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021885,0.057500,0.030020,0.026155,0.076000,0.037628,medical,1.0000,1,1.719958,4000,0.728730,0.102628,science,0.4791,1,0.226049,239,0.043542,0.030261,finance,0.0130,1,0.277301,168,0.030607,0.020570,argument,0.0422,1,0.105815,981,0.178721,0.062266,biomedical,0.3212,1,1.559514,101,0.018400,0.017005
7,123,nfcorpus,1.287174,0.073749,ebe2a8795fedf4298b911aa430f2f4f1,5,5,2,2,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021906,0.057500,0.030028,0.026155,0.076000,0.037628,medical,1.0000,1,1.676431,4000,0.728730,0.100400,science,0.4791,1,0.227960,239,0.043542,0.030359,finance,0.0130,1,0.275107,168,0.030607,0.020569,argument,0.0422,1,0.103091,981,0.178721,0.061854,biomedical,0.3212,1,1.561790,101,0.018400,0.017039
8,123,nfcorpus,1.256793,0.073115,41437f65dfae9269e9a5f8fb1376d395,5,5,2,2,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021934,0.057500,0.030058,0.026155,0.076000,0.037628,medical,1.0000,1,1.635433,4000,0.728730,0.099375,science,0.4791,1,0.227299,239,0.043542,0.030177,finance,0.0130,1,0.272636,168,0.030607,0.020564,argument,0.0422,1,0.100222,981,0.178721,0.060967,biomedical,0.3212,1,1.567958,101,0.018400,0.017057
