round,alpha,seed,noisy_client_id,client_split_mode,noise_mode,noise_ratio,avg_loss,avg_train_loss,aggregated_delta_norm,aggregated_model_hash,pre_server_val_mrr,pre_server_val_recall_at_k,pre_server_val_ndcg_at_k,pre_final_test_mrr,pre_final_test_recall_at_k,pre_final_test_ndcg_at_k,pre_probe_mrr,pre_probe_recall_at_k,pre_probe_ndcg_at_k,pre_shared_quality_mrr,pre_shared_quality_recall_at_k,pre_shared_quality_ndcg_at_k,pre_shared_quality_mean_rank,server_val_mrr,server_val_recall_at_k,server_val_ndcg_at_k,post_mrr,post_recall_at_k,post_ndcg_at_k,best_round_so_far,best_server_val_mrr_so_far,best_server_val_ndcg_so_far,selected_best_round,final_test_mrr,final_test_recall_at_k,final_test_ndcg_at_k,client_0_loss,client_0_train_loss,client_0_num_examples,client_0_quality_score,client_0_quality_metric_name,client_0_quality_metric_value,client_0_size_weight,client_0_weight,client_0_delta_norm,client_0_probe_size,client_0_probe_mrr,client_0_probe_recall_at_k,client_0_probe_ndcg_at_k,client_0_shared_quality_size,client_0_shared_quality_mrr,client_0_shared_quality_recall_at_k,client_0_shared_quality_ndcg_at_k,client_0_shared_quality_mean_rank_before,client_0_shared_quality_mean_rank_after,client_0_shared_quality_mean_rank_delta,client_0_shared_quality_mean_positive_delta,client_0_shared_quality_mean_negative_delta,client_0_shared_quality_degradation_rate,client_0_shared_quality_improvement_rate,client_0_loss_source,client_0_loss_stage,client_1_loss,client_1_train_loss,client_1_num_examples,client_1_quality_score,client_1_quality_metric_name,client_1_quality_metric_value,client_1_size_weight,client_1_weight,client_1_delta_norm,client_1_probe_size,client_1_probe_mrr,client_1_probe_recall_at_k,client_1_probe_ndcg_at_k,client_1_shared_quality_size,client_1_shared_quality_mrr,client_1_shared_quality_recall_at_k,client_1_shared_quality_ndcg_at_k,client_1_shared_quality_mean_rank_before,client_1_shared_quality_mean_rank_after,client_1_shared_quality_mean_rank_delta,client_1_shared_quality_mean_positive_delta,client_1_shared_quality_mean_negative_delta,client_1_shared_quality_degradation_rate,client_1_shared_quality_improvement_rate,client_1_loss_source,client_1_loss_stage,client_2_loss,client_2_train_loss,client_2_num_examples,client_2_quality_score,client_2_quality_metric_name,client_2_quality_metric_value,client_2_size_weight,client_2_weight,client_2_delta_norm,client_2_probe_size,client_2_probe_mrr,client_2_probe_recall_at_k,client_2_probe_ndcg_at_k,client_2_shared_quality_size,client_2_shared_quality_mrr,client_2_shared_quality_recall_at_k,client_2_shared_quality_ndcg_at_k,client_2_shared_quality_mean_rank_before,client_2_shared_quality_mean_rank_after,client_2_shared_quality_mean_rank_delta,client_2_shared_quality_mean_positive_delta,client_2_shared_quality_mean_negative_delta,client_2_shared_quality_degradation_rate,client_2_shared_quality_improvement_rate,client_2_loss_source,client_2_loss_stage,client_3_loss,client_3_train_loss,client_3_num_examples,client_3_quality_score,client_3_quality_metric_name,client_3_quality_metric_value,client_3_size_weight,client_3_weight,client_3_delta_norm,client_3_probe_size,client_3_probe_mrr,client_3_probe_recall_at_k,client_3_probe_ndcg_at_k,client_3_shared_quality_size,client_3_shared_quality_mrr,client_3_shared_quality_recall_at_k,client_3_shared_quality_ndcg_at_k,client_3_shared_quality_mean_rank_before,client_3_shared_quality_mean_rank_after,client_3_shared_quality_mean_rank_delta,client_3_shared_quality_mean_positive_delta,client_3_shared_quality_mean_negative_delta,client_3_shared_quality_degradation_rate,client_3_shared_quality_improvement_rate,client_3_loss_source,client_3_loss_stage,client_4_loss,client_4_train_loss,client_4_num_examples,client_4_quality_score,client_4_quality_metric_name,client_4_quality_metric_value,client_4_size_weight,client_4_weight,client_4_delta_norm,client_4_probe_size,client_4_probe_mrr,client_4_probe_recall_at_k,client_4_probe_ndcg_at_k,client_4_shared_quality_size,client_4_shared_quality_mrr,client_4_shared_quality_recall_at_k,client_4_shared_quality_ndcg_at_k,client_4_shared_quality_mean_rank_before,client_4_shared_quality_mean_rank_after,client_4_shared_quality_mean_rank_delta,client_4_shared_quality_mean_positive_delta,client_4_shared_quality_mean_negative_delta,client_4_shared_quality_degradation_rate,client_4_shared_quality_improvement_rate,client_4_loss_source,client_4_loss_stage
1,0.3,42,4,unequal,hard_negative,0.80,0.014563,0.000929,0.101949,b9b03fd011b22b17a87672d4ad392e9a,0.024253,0.065000,0.033658,0.019739,0.072000,0.031826,0.026287,0.071250,0.036573,0.041409,0.090000,0.052784,27.857500,0.024388,0.060000,0.032674,0.024388,0.060000,0.032674,1,0.024388,0.032674,2,0.019727,0.072000,0.031779,0.025000,0.000939,480,0.000000,shared_rank_displacement,-0.025000,0.150000,0.105000,0.058762,120,0.027639,0.058333,0.034929,400,0.042270,0.095000,0.054510,27.857500,27.860000,0.002500,0.047500,0.045000,0.027500,0.025000,shared_rank_displacement,post_local_training_shared_comparison,0.020000,0.001056,480,0.000040,shared_rank_displacement,-0.020000,0.150000,0.105012,0.060934,120,0.038436,0.108333,0.054071,400,0.043478,0.092500,0.054883,27.857500,27.847500,-0.010000,0.050000,0.060000,0.025000,0.030000,shared_rank_displacement,post_local_training_shared_comparison,0.013750,0.001058,480,0.010956,shared_rank_displacement,-0.013750,0.150000,0.108287,0.058701,120,0.019385,0.066667,0.029892,400,0.041770,0.090000,0.053065,27.857500,27.840000,-0.017500,0.045000,0.062500,0.022500,0.030000,shared_rank_displacement,post_local_training_shared_comparison,0.015000,0.000961,480,0.003558,shared_rank_displacement,-0.015000,0.150000,0.106067,0.060176,120,0.027533,0.091667,0.042161,400,0.042478,0.095000,0.054683,27.857500,27.845000,-0.012500,0.042500,0.055000,0.017500,0.030000,shared_rank_displacement,post_local_training_shared_comparison,0.008750,0.000817,1280,0.985446,shared_rank_displacement,-0.008750,0.400000,0.575634,0.140589,320,0.023380,0.056250,0.031043,400,0.046906,0.090000,0.056992,27.857500,27.777500,-0.080000,0.097500,0.177500,0.030000,0.060000,shared_rank_displacement,post_local_training_shared_comparison
2,0.3,42,4,unequal,hard_negative,0.80,0.046750,0.000666,0.075595,6f759eced5ccf580714d95bb36ed4c66,0.024253,0.065000,0.033658,0.019739,0.072000,0.031826,0.026287,0.071250,0.036573,0.041409,0.090000,0.052784,27.857500,0.026867,0.055000,0.033464,0.026867,0.055000,0.033464,2,0.026867,0.033464,2,0.019727,0.072000,0.031779,0.007500,0.000681,480,0.256027,shared_rank_displacement,-0.007500,0.150000,0.181808,0.057249,120,0.026667,0.058333,0.034161,400,0.046906,0.090000,0.056992,27.802500,27.787500,-0.015000,0.030000,0.045000,0.020000,0.025000,shared_rank_displacement,post_local_training_shared_comparison,0.026250,0.000760,480,0.019480,shared_rank_displacement,-0.026250,0.150000,0.110844,0.061277,120,0.038843,0.100000,0.052765,400,0.046385,0.090000,0.056563,27.802500,27.805000,0.002500,0.050000,0.047500,0.035000,0.020000,shared_rank_displacement,post_local_training_shared_comparison,0.008750,0.000771,480,0.215628,shared_rank_displacement,-0.008750,0.150000,0.169688,0.059007,120,0.017533,0.050000,0.024875,400,0.046802,0.090000,0.056891,27.802500,27.782500,-0.020000,0.037500,0.057500,0.027500,0.027500,shared_rank_displacement,post_local_training_shared_comparison,0.002500,0.000677,480,0.508864,shared_rank_displacement,-0.002500,0.150000,0.257659,0.060292,120,0.024974,0.075000,0.036457,400,0.046802,0.090000,0.056891,27.802500,27.775000,-0.027500,0.032500,0.060000,0.022500,0.032500,shared_rank_displacement,post_local_training_shared_comparison,0.100000,0.000581,1280,0.000001,shared_rank_displacement,-0.100000,0.400000,0.280000,0.138064,320,0.023524,0.056250,0.031141,400,0.047971,0.092500,0.058242,27.802500,27.807500,0.005000,0.195000,0.190000,0.055000,0.045000,shared_rank_displacement,post_local_training_shared_comparison
3,0.3,42,4,unequal,hard_negative,0.80,0.189250,0.000528,0.078805,a0b9a58128e0e2cca1a01744ac7561bf,0.024253,0.065000,0.033658,0.019739,0.072000,0.031826,0.026287,0.071250,0.036573,0.041409,0.090000,0.052784,27.857500,0.023943,0.052500,0.030729,0.023943,0.052500,0.030729,2,0.026867,0.033464,2,0.019727,0.072000,0.031779,0.077500,0.000531,480,0.277025,shared_rank_displacement,-0.077500,0.150000,0.188108,0.057670,120,0.027083,0.058333,0.034526,400,0.048023,0.092500,0.058292,27.785000,27.810000,0.025000,0.130000,0.105000,0.047500,0.035000,shared_rank_displacement,post_local_training_shared_comparison,0.096250,0.000597,480,0.116553,shared_rank_displacement,-0.096250,0.150000,0.139966,0.061452,120,0.038125,0.091667,0.050718,400,0.046027,0.090000,0.056240,27.785000,27.820000,0.035000,0.157500,0.122500,0.050000,0.030000,shared_rank_displacement,post_local_training_shared_comparison,0.073750,0.000606,480,0.329396,shared_rank_displacement,-0.073750,0.150000,0.203819,0.060272,120,0.017269,0.050000,0.024606,400,0.047912,0.092500,0.058185,27.785000,27.800000,0.015000,0.132500,0.117500,0.045000,0.037500,shared_rank_displacement,post_local_training_shared_comparison,0.077500,0.000524,480,0.277025,shared_rank_displacement,-0.077500,0.150000,0.188108,0.061094,120,0.025033,0.075000,0.036528,400,0.047831,0.092500,0.058120,27.785000,27.805000,0.020000,0.135000,0.115000,0.050000,0.032500,shared_rank_displacement,post_local_training_shared_comparison,0.351250,0.000473,1280,0.000001,shared_rank_displacement,-0.351250,0.400000,0.280000,0.148983,320,0.025329,0.046875,0.030430,400,0.040475,0.082500,0.050215,27.785000,28.047500,0.262500,0.440000,0.177500,0.082500,0.035000,shared_rank_displacement,post_local_training_shared_comparison
4,0.3,42,4,unequal,hard_negative,0.80,0.613750,0.000437,0.091360,b0cf80f705015fe26c8c5dd03c36ebd6,0.024253,0.065000,0.033658,0.019739,0.072000,0.031826,0.026287,0.071250,0.036573,0.041409,0.090000,0.052784,27.857500,0.018910,0.042500,0.024524,0.018910,0.042500,0.024524,2,0.026867,0.033464,2,0.019727,0.072000,0.031779,0.173750,0.000434,480,0.322708,shared_rank_displacement,-0.173750,0.150000,0.201813,0.062545,120,0.026885,0.050000,0.032458,400,0.043021,0.085000,0.052744,27.850000,28.000000,0.150000,0.197500,0.047500,0.055000,0.035000,shared_rank_displacement,post_local_training_shared_comparison,0.203750,0.000476,480,0.225343,shared_rank_displacement,-0.203750,0.150000,0.172603,0.067335,120,0.036250,0.075000,0.045616,400,0.042604,0.085000,0.052397,27.850000,28.032500,0.182500,0.225000,0.042500,0.060000,0.030000,shared_rank_displacement,post_local_training_shared_comparison,0.210000,0.000497,480,0.209098,shared_rank_displacement,-0.210000,0.150000,0.167730,0.068142,120,0.015866,0.058333,0.025250,400,0.040809,0.082500,0.050498,27.850000,28.035000,0.185000,0.235000,0.050000,0.062500,0.030000,shared_rank_displacement,post_local_training_shared_comparison,0.197500,0.000429,480,0.242849,shared_rank_displacement,-0.197500,0.150000,0.177855,0.068833,120,0.019742,0.066667,0.030962,400,0.041121,0.082500,0.050754,27.850000,28.022500,0.172500,0.222500,0.050000,0.060000,0.030000,shared_rank_displacement,post_local_training_shared_comparison,1.240000,0.000404,1280,0.000001,shared_rank_displacement,-1.240000,0.400000,0.280000,0.174729,320,0.017235,0.040625,0.022504,400,0.022431,0.055000,0.030078,27.850000,29.030000,1.180000,1.300000,0.120000,0.110000,0.022500,shared_rank_displacement,post_local_training_shared_comparison
