round,seed,target_dataset,avg_loss,aggregated_delta_norm,aggregated_model_hash,num_selected,num_total,best_round_so_far,selected_best_round,pre_server_val_mrr,pre_server_val_recall_at_k,pre_server_val_ndcg_at_k,pre_final_test_mrr,pre_final_test_recall_at_k,pre_final_test_ndcg_at_k,server_val_mrr,server_val_recall_at_k,server_val_ndcg_at_k,final_test_mrr,final_test_recall_at_k,final_test_ndcg_at_k,client_0_domain,client_0_relevance,client_0_selected,client_0_loss,client_0_num_examples,client_0_domain_weight,client_0_delta_norm,client_1_domain,client_1_relevance,client_1_selected,client_1_loss,client_1_num_examples,client_1_domain_weight,client_1_delta_norm,client_2_domain,client_2_relevance,client_2_selected,client_2_loss,client_2_num_examples,client_2_domain_weight,client_2_delta_norm,client_3_domain,client_3_relevance,client_3_selected,client_3_loss,client_3_num_examples,client_3_domain_weight,client_3_delta_norm,client_4_domain,client_4_relevance,client_4_selected,client_4_loss,client_4_num_examples,client_4_domain_weight,client_4_delta_norm
1,256,nfcorpus,1.678673,0.088044,3dadf80cc6063ceae8e716d51ceff297,5,5,1,6,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.026960,0.080000,0.039110,medical,1.0000,1,2.209597,4000,0.728730,0.121284,science,0.4791,1,0.179353,239,0.043542,0.013019,finance,0.0130,1,0.316873,168,0.030607,0.009435,argument,0.0422,1,0.128809,981,0.178721,0.031467,biomedical,0.3212,1,1.518682,101,0.018400,0.009713
2,256,nfcorpus,1.575876,0.076412,45d7e4863564dde017f3c0ed8f70cfe9,5,5,1,6,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021898,0.057500,0.029985,0.026960,0.080000,0.039110,medical,1.0000,1,2.068757,4000,0.728730,0.105437,science,0.4791,1,0.188570,239,0.043542,0.013467,finance,0.0130,1,0.314513,168,0.030607,0.009447,argument,0.0422,1,0.128193,981,0.178721,0.032611,biomedical,0.3212,1,1.497947,101,0.018400,0.009635
3,256,nfcorpus,1.502816,0.067811,10c969861c68d664234277a6638423d3,5,5,3,6,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.022235,0.060000,0.030795,0.026960,0.080000,0.039110,medical,1.0000,1,1.968490,4000,0.728730,0.093734,science,0.4791,1,0.200393,239,0.043542,0.014063,finance,0.0130,1,0.314194,168,0.030607,0.009471,argument,0.0422,1,0.127557,981,0.178721,0.033884,biomedical,0.3212,1,1.477082,101,0.018400,0.009588
4,256,nfcorpus,1.449023,0.061185,00032e0862108dd2c486c13016f025a1,5,5,3,6,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021857,0.060000,0.030467,0.026960,0.080000,0.039110,medical,1.0000,1,1.894470,4000,0.728730,0.084698,science,0.4791,1,0.213507,239,0.043542,0.014827,finance,0.0130,1,0.315010,168,0.030607,0.009499,argument,0.0422,1,0.126957,981,0.178721,0.035220,biomedical,0.3212,1,1.458559,101,0.018400,0.009573
5,256,nfcorpus,1.408398,0.055921,df43cd6a800116bd090d55289ebf91fe,5,5,3,6,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.021978,0.060000,0.030584,0.026960,0.080000,0.039110,medical,1.0000,1,1.838397,4000,0.728730,0.077453,science,0.4791,1,0.226707,239,0.043542,0.015722,finance,0.0130,1,0.316316,168,0.030607,0.009527,argument,0.0422,1,0.126367,981,0.178721,0.036544,biomedical,0.3212,1,1.443739,101,0.018400,0.009583
6,256,nfcorpus,1.376833,0.051823,ebbc9c77ba28833baae15c9bee64fb6d,5,5,6,6,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.023645,0.060000,0.031834,0.026960,0.080000,0.039110,medical,1.0000,1,1.794733,4000,0.728730,0.071711,science,0.4791,1,0.238860,239,0.043542,0.016608,finance,0.0130,1,0.317670,168,0.030607,0.009552,argument,0.0422,1,0.125692,981,0.178721,0.037701,biomedical,0.3212,1,1.433121,101,0.018400,0.009612
7,256,nfcorpus,1.351338,0.048784,fa4ddac94dfe4fda5917f114c5ff9ff3,5,5,6,6,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.023624,0.060000,0.031823,0.026960,0.080000,0.039110,medical,1.0000,1,1.759475,4000,0.728730,0.067344,science,0.4791,1,0.249000,239,0.043542,0.017394,finance,0.0130,1,0.318798,168,0.030607,0.009571,argument,0.0422,1,0.124820,981,0.178721,0.038568,biomedical,0.3212,1,1.426527,101,0.018400,0.009654
8,256,nfcorpus,1.329792,0.046624,02f91276aeca320221b5a02a1bb2ace0,5,5,6,6,0.022409,0.057500,0.030438,0.027187,0.080000,0.039210,0.023374,0.057500,0.031101,0.026960,0.080000,0.039110,medical,1.0000,1,1.729780,4000,0.728730,0.064151,science,0.4791,1,0.256586,239,0.043542,0.018018,finance,0.0130,1,0.319580,168,0.030607,0.009583,argument,0.0422,1,0.123687,981,0.178721,0.039079,biomedical,0.3212,1,1.423331,101,0.018400,0.009700
