round,seed,target_dataset,avg_loss,aggregated_delta_norm,aggregated_model_hash,num_selected,num_total,best_round_so_far,selected_best_round,pre_server_val_mrr,pre_server_val_recall_at_k,pre_server_val_ndcg_at_k,pre_final_test_mrr,pre_final_test_recall_at_k,pre_final_test_ndcg_at_k,server_val_mrr,server_val_recall_at_k,server_val_ndcg_at_k,final_test_mrr,final_test_recall_at_k,final_test_ndcg_at_k,client_0_domain,client_0_relevance,client_0_selected,client_0_loss,client_0_num_examples,client_0_domain_weight,client_0_delta_norm,client_1_domain,client_1_relevance,client_1_selected,client_1_loss,client_1_num_examples,client_1_domain_weight,client_1_delta_norm,client_2_domain,client_2_relevance,client_2_selected,client_2_loss,client_2_num_examples,client_2_domain_weight,client_2_delta_norm,client_3_domain,client_3_relevance,client_3_selected,client_3_loss,client_3_num_examples,client_3_domain_weight,client_3_delta_norm,client_4_domain,client_4_relevance,client_4_selected,client_4_loss,client_4_num_examples,client_4_domain_weight,client_4_delta_norm
1,256,nfcorpus,1.657929,0.161817,7e41427ca7bb72e6fc00a5a768733e6d,5,5,1,1,0.024002,0.060000,0.032480,0.018076,0.048000,0.025108,0.023628,0.057500,0.031550,0.018869,0.052000,0.026576,medical,1.0000,1,2.178866,4000,0.954838,0.169515,science,0.4791,1,0.170905,237,0.027104,0.025415,finance,0.0130,1,0.333512,166,0.000515,0.020211,argument,0.0422,1,0.130534,980,0.009875,0.053985,biomedical,0.3212,1,1.511669,100,0.007668,0.017912
2,256,nfcorpus,1.498303,0.130636,b34cbb445534768ad5c1b7076b85a4ee,5,5,1,1,0.024002,0.060000,0.032480,0.018076,0.048000,0.025108,0.022913,0.052500,0.029959,0.018869,0.052000,0.026576,medical,1.0000,1,1.959952,4000,0.954838,0.136908,science,0.4791,1,0.175816,237,0.027104,0.026025,finance,0.0130,1,0.327336,166,0.000515,0.020182,argument,0.0422,1,0.133055,980,0.009875,0.056292,biomedical,0.3212,1,1.489888,100,0.007668,0.017730
3,256,nfcorpus,1.405665,0.112678,e07139dacc6364f9ea151c5ea820cd9b,5,5,1,1,0.024002,0.060000,0.032480,0.018076,0.048000,0.025108,0.023250,0.055000,0.030769,0.018869,0.052000,0.026576,medical,1.0000,1,1.832178,4000,0.954838,0.118110,science,0.4791,1,0.191146,237,0.027104,0.027162,finance,0.0130,1,0.324321,166,0.000515,0.020168,argument,0.0422,1,0.135024,980,0.009875,0.058450,biomedical,0.3212,1,1.470885,100,0.007668,0.017653
4,256,nfcorpus,1.344466,0.102409,fe2a630c5d486f94e3927776ec1a6b71,5,5,1,1,0.024002,0.060000,0.032480,0.018076,0.048000,0.025108,0.022806,0.055000,0.030411,0.018869,0.052000,0.026576,medical,1.0000,1,1.747446,4000,0.954838,0.107322,science,0.4791,1,0.207760,237,0.027104,0.028381,finance,0.0130,1,0.322714,166,0.000515,0.020167,argument,0.0422,1,0.136221,980,0.009875,0.060110,biomedical,0.3212,1,1.456209,100,0.007668,0.017677
